task_id,method,repeat,budget,comparison_status,failure_count_before,failure_count_after,failure_count_delta,failure_pool_count_before,failure_pool_count_after
legacy_regression_seed4179801_merge_blind06,Random,0,20,compared,2.0,0.0,-2.0,7,7
legacy_regression_seed4179801_merge_blind06,Random,1,20,compared,1.0,1.0,0.0,7,7
legacy_regression_seed4179801_merge_blind06,Random,2,20,compared,1.0,2.0,1.0,7,7
legacy_regression_seed4179801_merge_blind06,Random,3,20,compared,2.0,0.0,-2.0,7,7
legacy_regression_seed4179801_merge_blind06,Random,4,20,compared,1.0,3.0,2.0,7,7
legacy_regression_seed4179801_merge_blind06,Random,5,20,compared,2.0,2.0,0.0,7,7
legacy_regression_seed4179801_merge_blind06,Random,6,20,compared,3.0,3.0,0.0,7,7
legacy_regression_seed4179801_merge_blind06,Random,7,20,compared,3.0,0.0,-3.0,7,7
legacy_regression_seed4179801_merge_blind06,Random,8,20,compared,2.0,0.0,-2.0,7,7
legacy_regression_seed4179801_merge_blind06,Random,9,20,compared,1.0,2.0,1.0,7,7
legacy_regression_seed4179801_merge_blind06,HistoryRank-UCB-v2,0,20,compared,7.0,7.0,0.0,7,7
legacy_regression_seed4179801_merge_blind06,HistoryRank-UCB-v2,1,20,before_missing,,7,,,7
legacy_regression_seed4179801_merge_blind06,HistoryRank-UCB-v2,2,20,before_missing,,7,,,7
legacy_regression_seed4179801_merge_blind06,HistoryRank-UCB-v2,3,20,before_missing,,7,,,7
legacy_regression_seed4179801_merge_blind06,HistoryRank-UCB-v2,4,20,before_missing,,7,,,7
legacy_regression_seed4179801_merge_blind06,HistoryRank-UCB-v2,5,20,before_missing,,7,,,7
legacy_regression_seed4179801_merge_blind06,HistoryRank-UCB-v2,6,20,before_missing,,7,,,7
legacy_regression_seed4179801_merge_blind06,HistoryRank-UCB-v2,7,20,before_missing,,7,,,7
legacy_regression_seed4179801_merge_blind06,HistoryRank-UCB-v2,8,20,before_missing,,7,,,7
legacy_regression_seed4179801_merge_blind06,HistoryRank-UCB-v2,9,20,before_missing,,7,,,7
legacy_regression_seed4179801_merge_blind06,FailureDistance-v2,0,20,compared,3.0,7.0,4.0,7,7
legacy_regression_seed4179801_merge_blind06,FailureDistance-v2,1,20,before_missing,,7,,,7
legacy_regression_seed4179801_merge_blind06,FailureDistance-v2,2,20,before_missing,,7,,,7
legacy_regression_seed4179801_merge_blind06,FailureDistance-v2,3,20,before_missing,,7,,,7
legacy_regression_seed4179801_merge_blind06,FailureDistance-v2,4,20,before_missing,,7,,,7
legacy_regression_seed4179801_merge_blind06,FailureDistance-v2,5,20,before_missing,,7,,,7
legacy_regression_seed4179801_merge_blind06,FailureDistance-v2,6,20,before_missing,,7,,,7
legacy_regression_seed4179801_merge_blind06,FailureDistance-v2,7,20,before_missing,,7,,,7
legacy_regression_seed4179801_merge_blind06,FailureDistance-v2,8,20,before_missing,,7,,,7
legacy_regression_seed4179801_merge_blind06,FailureDistance-v2,9,20,before_missing,,7,,,7
legacy_regression_seed4179801_merge_blind06,FBRT-NoMemory,0,20,compared,4.0,3.0,-1.0,7,7
legacy_regression_seed4179801_merge_blind06,FBRT-NoMemory,1,20,before_missing,,4,,,7
legacy_regression_seed4179801_merge_blind06,FBRT-NoMemory,2,20,before_missing,,3,,,7
legacy_regression_seed4179801_merge_blind06,FBRT-NoMemory,3,20,before_missing,,4,,,7
legacy_regression_seed4179801_merge_blind06,FBRT-NoMemory,4,20,before_missing,,4,,,7
legacy_regression_seed4179801_merge_blind06,FBRT-NoMemory,5,20,before_missing,,3,,,7
legacy_regression_seed4179801_merge_blind06,FBRT-NoMemory,6,20,before_missing,,5,,,7
legacy_regression_seed4179801_merge_blind06,FBRT-NoMemory,7,20,before_missing,,5,,,7
legacy_regression_seed4179801_merge_blind06,FBRT-NoMemory,8,20,before_missing,,4,,,7
legacy_regression_seed4179801_merge_blind06,FBRT-NoMemory,9,20,before_missing,,5,,,7
legacy_regression_seed4179801_merge_blind06,FBRT-Memory,0,20,compared,5.0,7.0,2.0,7,7
legacy_regression_seed4179801_merge_blind06,FBRT-Memory,1,20,before_missing,,7,,,7
