method,target_sut,repeat,ndcg_at_10,top_10_recall,spearman,support_indices
Variance-Only Support + Adaptation,SUT-A,0,1.0,0.4,0.9844923091008972,0;104;96;111
DIVA Diagnostic + Adaptation,SUT-A,0,1.0,0.4,0.9844236403589086,0;21;111;67
Variance-Only Support + Adaptation,SUT-B,0,0.9228352867810007,0.7,0.9647386009888299,0;104;96;15
DIVA Diagnostic + Adaptation,SUT-B,0,0.9228352867810007,0.7,0.9535913752060062,0;69;67;15
Variance-Only Support + Adaptation,SUT-C,0,1.0,0.5,0.9884121497894158,0;104;96;15
DIVA Diagnostic + Adaptation,SUT-C,0,1.0,0.5,0.9848814319721663,0;111;96;15
Variance-Only Support + Adaptation,SUT-D,0,1.0,0.7,0.9587014740889946,0;104;96;15
DIVA Diagnostic + Adaptation,SUT-D,0,1.0,0.7,0.9591478209119209,0;21;69;15
Variance-Only Support + Adaptation,SUT-E,0,1.0,0.5,0.987897134224501,0;104;96;15
DIVA Diagnostic + Adaptation,SUT-E,0,1.0,0.5,0.985236220472441,0;21;67;15
Variance-Only Support + Adaptation,SUT-F,0,1.0,0.4,0.9726698406885186,0;59;111;15
DIVA Diagnostic + Adaptation,SUT-F,0,1.0,0.4,0.9726698406885186,0;59;111;15
