method,target_sut,repeat,ndcg_at_10,top_10_recall,spearman
Shared Prior,SUT-A,0,1.0,0.4,0.9760574986266252
Diagnostic Support + Adaptation,SUT-A,0,1.0,0.4,0.9844923091008972
Random Support + Adaptation,SUT-A,0,1.0,0.4,0.9807498626625161
Random Support + Adaptation,SUT-A,1,1.0,0.4,0.9807498626625161
Random Support + Adaptation,SUT-A,2,1.0,0.4,0.9843263596410914
Random Support + Adaptation,SUT-A,3,1.0,0.4,0.9808070866141733
Random Support + Adaptation,SUT-A,4,1.0,0.4,0.9825638619300494
Random Support + Adaptation,SUT-A,5,1.0,0.4,0.9837884544955137
Random Support + Adaptation,SUT-A,6,1.0,0.4,0.9697914759201611
Random Support + Adaptation,SUT-A,7,1.0,0.4,0.9838056216810108
Random Support + Adaptation,SUT-A,8,1.0,0.4,0.9820259567844717
Random Support + Adaptation,SUT-A,9,1.0,0.4,0.9845552554477202
Random Support + Adaptation,SUT-A,10,1.0,0.4,0.9852877220289324
Random Support + Adaptation,SUT-A,11,1.0,0.4,0.9698830342428126
Random Support + Adaptation,SUT-A,12,1.0,0.4,0.9849386559238235
Random Support + Adaptation,SUT-A,13,1.0,0.8,0.9740718275041201
Random Support + Adaptation,SUT-A,14,1.0,0.4,0.9837941768906794
Random Support + Adaptation,SUT-A,15,1.0,0.4,0.9839715711408167
Random Support + Adaptation,SUT-A,16,1.0,0.4,0.9822205182201063
Random Support + Adaptation,SUT-A,17,1.0,0.6,0.967971754257462
Random Support + Adaptation,SUT-A,18,1.0,0.4,0.9776082677165354
Random Support + Adaptation,SUT-A,19,1.0,0.8,0.9781118384911188
Shared Prior,SUT-B,0,0.9228352867810007,0.7,0.9164587529756455
Diagnostic Support + Adaptation,SUT-B,0,0.9228352867810007,0.7,0.9647386009888299
Random Support + Adaptation,SUT-B,0,0.9228352867810007,0.7,0.9626670939388391
Random Support + Adaptation,SUT-B,1,0.9228352867810007,0.7,0.9587014740889946
Random Support + Adaptation,SUT-B,2,0.9228352867810007,0.7,0.9508961270829518
Random Support + Adaptation,SUT-B,3,0.9228352867810007,0.7,0.9497745376304706
Random Support + Adaptation,SUT-B,4,0.9228352867810007,0.7,0.9460778703534152
Random Support + Adaptation,SUT-B,5,0.9228352867810007,0.7,0.9457974729902948
Random Support + Adaptation,SUT-B,6,0.9228352867810007,0.7,0.9405042574620033
Random Support + Adaptation,SUT-B,7,0.9228352867810007,0.7,0.9638516297381432
Random Support + Adaptation,SUT-B,8,0.9228352867810007,0.7,0.9533109778428859
Random Support + Adaptation,SUT-B,9,0.9228352867810007,0.7,0.9661806445705915
Random Support + Adaptation,SUT-B,10,0.9228352867810007,0.7,0.9063987822743087
Random Support + Adaptation,SUT-B,11,0.9228352867810007,0.7,0.9598974546786303
Random Support + Adaptation,SUT-B,12,0.9228352867810007,0.7,0.9529275773667827
Random Support + Adaptation,SUT-B,13,0.9228352867810007,0.7,0.9572365409265702
Random Support + Adaptation,SUT-B,14,0.9228352867810007,0.7,0.9411909448818898
Random Support + Adaptation,SUT-B,15,0.9228352867810007,0.7,0.915709119208936
Random Support + Adaptation,SUT-B,16,0.9228352867810007,0.7,0.9385414759201611
Random Support + Adaptation,SUT-B,17,0.9228352867810007,0.7,0.9628559329793078
Random Support + Adaptation,SUT-B,18,0.9228352867810007,0.7,0.9626728163340048
Random Support + Adaptation,SUT-B,19,0.9228352867810007,0.7,0.9617972898736495
Shared Prior,SUT-C,0,1.0,0.3,0.9880344717084782
Diagnostic Support + Adaptation,SUT-C,0,1.0,0.5,0.9884121497894158
Random Support + Adaptation,SUT-C,0,1.0,0.3,0.9866439296832082
Random Support + Adaptation,SUT-C,1,1.0,0.3,0.986832768723677
Random Support + Adaptation,SUT-C,2,1.0,0.3,0.9877483519501923
Random Support + Adaptation,SUT-C,3,1.0,0.3,0.986586705731551
Random Support + Adaptation,SUT-C,4,1.0,0.6,0.9830159311481413
Random Support + Adaptation,SUT-C,5,1.0,0.3,0.986912882255997
Random Support + Adaptation,SUT-C,6,1.0,0.3,0.9868785478850027
Random Support + Adaptation,SUT-C,7,1.0,0.7,0.9835996154550448
Random Support + Adaptation,SUT-C,8,1.0,0.6,0.9846067570042116
Random Support + Adaptation,SUT-C,9,1.0,0.6,0.9845724226332173
Random Support + Adaptation,SUT-C,10,1.0,0.3,0.9879715253616553
Random Support + Adaptation,SUT-C,11,1.0,0.6,0.9830502655191357
Random Support + Adaptation,SUT-C,12,1.0,0.3,0.9869300494414942
Random Support + Adaptation,SUT-C,13,1.0,0.3,0.9871703900384545
Random Support + Adaptation,SUT-C,14,1.0,0.3,0.9873821186595861
Random Support + Adaptation,SUT-C,15,1.0,0.5,0.9852247756821095
Random Support + Adaptation,SUT-C,16,1.0,0.3,0.9858542391503388
Random Support + Adaptation,SUT-C,17,1.0,0.3,0.9879314685954953
Random Support + Adaptation,SUT-C,18,1.0,0.7,0.9836511170115364
Random Support + Adaptation,SUT-C,19,1.0,0.3,0.7495765427577367
Shared Prior,SUT-D,0,1.0,0.7,0.9344099066105109
Diagnostic Support + Adaptation,SUT-D,0,1.0,0.7,0.9587014740889946
Random Support + Adaptation,SUT-D,0,1.0,0.7,0.9480177623145944
Random Support + Adaptation,SUT-D,1,1.0,0.7,0.9469533968137703
Random Support + Adaptation,SUT-D,2,1.0,0.7,0.9257805347006043
Random Support + Adaptation,SUT-D,3,1.0,0.7,0.7456967588353781
Random Support + Adaptation,SUT-D,4,1.0,0.7,0.9451908991027285
Random Support + Adaptation,SUT-D,5,1.0,0.7,0.9553538729170482
Random Support + Adaptation,SUT-D,6,1.0,0.7,0.9574539919428676
Random Support + Adaptation,SUT-D,7,1.0,0.7,0.824562809009339
Random Support + Adaptation,SUT-D,8,1.0,0.7,0.862445065006409
Random Support + Adaptation,SUT-D,9,1.0,0.7,0.9035375846914484
Random Support + Adaptation,SUT-D,10,1.0,0.7,0.9572079289507416
Random Support + Adaptation,SUT-D,11,1.0,0.7,0.9433425654642007
Random Support + Adaptation,SUT-D,12,1.0,0.7,0.9577858908624794
Random Support + Adaptation,SUT-D,13,1.0,0.7,0.9291281358725508
Random Support + Adaptation,SUT-D,14,1.0,0.7,0.957385323200879
Random Support + Adaptation,SUT-D,15,1.0,0.7,0.9621578007690899
Random Support + Adaptation,SUT-D,16,1.0,0.7,0.8584680003662333
Random Support + Adaptation,SUT-D,17,1.0,0.7,0.9031541842153452
Random Support + Adaptation,SUT-D,18,1.0,0.7,0.9569218091924556
Random Support + Adaptation,SUT-D,19,1.0,0.7,0.7916018128547885
Shared Prior,SUT-E,0,1.0,0.5,0.9813793261307453
Diagnostic Support + Adaptation,SUT-E,0,1.0,0.5,0.987897134224501
Random Support + Adaptation,SUT-E,0,1.0,0.5,0.9812877678080938
Random Support + Adaptation,SUT-E,1,1.0,0.5,0.9897111334920344
