method,target_sut,repeat,ndcg_at_10,top_10_recall,spearman,support_indices
Variance-Only Support + Adaptation,SUT-A,0,1.0,0.4,0.9820030672038088,0;1;81;111
DIVA Diagnostic + Adaptation,SUT-A,0,1.0,0.4,0.9822147958249405,0;1;111;21
Variance-Only Support + Adaptation,SUT-B,0,0.8876969937772436,0.5,0.6942524262955503,1;0;81;111
DIVA Diagnostic + Adaptation,SUT-B,0,0.8876969937772436,0.5,0.5933894891045596,1;0;21;81
Variance-Only Support + Adaptation,SUT-C,0,1.0,0.3,0.9585126350485259,1;0;21;101
DIVA Diagnostic + Adaptation,SUT-C,0,1.0,0.3,0.958672862113166,1;0;29;21
Variance-Only Support + Adaptation,SUT-D,0,1.0,0.4,0.9511135780992492,0;1;81;15
DIVA Diagnostic + Adaptation,SUT-D,0,1.0,0.4,0.9820087895989745,0;1;97;15
Variance-Only Support + Adaptation,SUT-E,0,1.0,0.5,0.8382565006409083,0;1;81;111
DIVA Diagnostic + Adaptation,SUT-E,0,1.0,0.5,0.6867274766526277,0;1;21;15
Variance-Only Support + Adaptation,SUT-F,0,1.0,0.5,0.9710389580662883,0;21;1;75
DIVA Diagnostic + Adaptation,SUT-F,0,1.0,0.5,0.9690361197582861,0;21;1;111
