method,target_sut,ndcg_at_10,top_10_recall,spearman,critical_score_at_20,support_indices
Shared Prior,SUT-A,1.0,0.4,0.9812076542757737,19.0,
Oracle Latent (full target),SUT-A,1.0,0.4,0.9835080571323933,,
Oracle K=4 (ranking upper bound),SUT-A,1.0,0.4,0.9691620124519319,16.5,0;1;2;3
Shared Prior,SUT-B,0.8876969937772436,0.5,0.9497688152353049,14.0,
Oracle Latent (full target),SUT-B,0.8876969937772436,0.5,0.7571358267716536,,
Oracle K=4 (ranking upper bound),SUT-B,0.8876969937772436,0.5,0.7247070133675151,13.0,0;1;2;3
Shared Prior,SUT-C,1.0,0.3,0.975691265336019,20.0,
Oracle Latent (full target),SUT-C,1.0,0.3,0.9786268540560337,,
Oracle K=4 (ranking upper bound),SUT-C,1.0,0.3,0.9479548159677714,17.0,1;0;2;3
Shared Prior,SUT-D,1.0,0.4,0.9740775498992859,19.0,
Oracle Latent (full target),SUT-D,1.0,0.4,0.9793192638710859,,
Oracle K=4 (ranking upper bound),SUT-D,1.0,0.4,0.9537573246658121,16.5,0;1;2;3
Shared Prior,SUT-E,1.0,0.5,0.9841031862296282,17.0,
Oracle Latent (full target),SUT-E,1.0,0.5,0.9431422816334005,,
Oracle K=4 (ranking upper bound),SUT-E,1.0,0.5,0.9365672495879875,15.0,0;1;2;3
Shared Prior,SUT-F,1.0,0.2,0.9689502838308002,20.0,
Oracle Latent (full target),SUT-F,1.0,0.5,0.9704667185497162,,
Oracle K=4 (ranking upper bound),SUT-F,1.0,0.5,0.9594511078557041,17.5,0;1;2;3
