method,target_sut,repeat,ndcg_at_10,top_10_recall,spearman,support_indices
Shared Prior,SUT-A,0,1.0,0.4,0.9812076542757737,
Highest-Risk Support + Adaptation,SUT-A,0,1.0,0.4,0.9812076542757737,7;31;39;55
DIVA Diagnostic + Adaptation,SUT-A,0,1.0,0.4,0.9822147958249405,0;1;111;21
Random Support + Adaptation,SUT-A,0,1.0,0.4,0.984847097601172,40;43;93;10
Random Support + Adaptation,SUT-A,1,1.0,0.4,0.9851103277787951,79;70;26;85
Random Support + Adaptation,SUT-A,2,1.0,0.4,0.9863063083684307,21;80;42;13
Random Support + Adaptation,SUT-A,3,1.0,0.4,0.9815624427760483,5;10;78;20
Random Support + Adaptation,SUT-A,4,1.0,0.4,0.8457814502838308,24;57;95;32
Random Support + Adaptation,SUT-A,5,1.0,0.4,0.9817856161875115,111;82;92;105
Random Support + Adaptation,SUT-A,6,1.0,0.4,0.9622493590917415,121;40;28;35
Random Support + Adaptation,SUT-A,7,1.0,0.4,0.9778772202893243,90;65;7;64
Random Support + Adaptation,SUT-A,8,1.0,0.4,0.9845266434718916,66;83;58;81
Random Support + Adaptation,SUT-A,9,1.0,0.4,0.9846010346090459,69;114;98;109
Random Support + Adaptation,SUT-A,10,1.0,0.4,0.985316334004761,106;41;105;104
Random Support + Adaptation,SUT-A,11,1.0,0.4,0.9824436916315693,81;68;50;72
Random Support + Adaptation,SUT-A,12,1.0,0.4,0.9847612616736862,99;44;3;102
Random Support + Adaptation,SUT-A,13,0.7101338145806502,0.3,0.5985739791247024,4;5;15;47
Random Support + Adaptation,SUT-A,14,1.0,0.4,0.9806525819446987,18;98;36;110
Random Support + Adaptation,SUT-A,15,1.0,0.4,0.9850817158029664,16;69;113;125
Random Support + Adaptation,SUT-A,16,1.0,0.4,0.9863349203442593,39;93;73;22
Random Support + Adaptation,SUT-A,17,0.7119639160350092,0.4,0.9420264145760849,107;75;32;95
Random Support + Adaptation,SUT-A,18,1.0,0.4,0.9786268540560337,58;72;3;95
Random Support + Adaptation,SUT-A,19,1.0,0.4,0.9768872459256547,48;94;51;107
