method,target_sut,repeat,raw_critical_score_at_20,regression_critical_score_at_20,target_specific_failure_count_at_20,queried_indices,raw_curve,regression_curve,target_specific_curve
Shared Prior,SUT-A,0,19.5,3.214285714285714,0.0,7;24;39;55;56;69;85;101;106;117;31;77;125;63;23;74;40;47;11;113,1.000000;2.000000;3.000000;4.000000;5.000000;6.000000;7.000000;8.000000;9.000000;10.000000;11.000000;12.000000;13.000000;14.000000;15.000000;16.000000;16.500000;17.500000;18.500000;19.500000,0.142857;0.285714;0.428571;0.571429;0.714286;0.857143;1.000000;1.142857;1.285714;1.428571;1.571429;1.714286;1.857143;2.000000;2.142857;2.285714;2.357143;2.642857;2.928571;3.214286,0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
Population-Novelty Only,SUT-A,0,2.5,1.1428571428571428,0.0,111;21;83;19;103;119;27;109;61;15;99;71;95;0;105;121;123;41;59;37,0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;1.000000;1.000000;1.500000;1.500000;1.500000;1.500000;2.000000;2.000000;2.500000;2.500000;2.500000;2.500000;2.500000,0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.428571;0.428571;0.642857;0.642857;0.642857;0.642857;0.928571;0.928571;1.142857;1.142857;1.142857;1.142857;1.142857,0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
Bayesian Regression Vulnerability,SUT-A,0,15.0,3.642857142857142,0.0,47;15;71;0;8;11;109;111;113;65;89;105;93;7;24;39;55;56;69;85,1.000000;1.500000;1.500000;2.000000;2.000000;3.000000;4.000000;4.000000;5.000000;6.000000;7.000000;7.000000;8.000000;9.000000;10.000000;11.000000;12.000000;13.000000;14.000000;15.000000,0.285714;0.500000;0.500000;0.785714;0.785714;1.071429;1.500000;1.500000;1.785714;2.071429;2.357143;2.357143;2.642857;2.785714;2.928571;3.071429;3.214286;3.357143;3.500000;3.642857,0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
Random,SUT-A,0,4.5,0.9285714285714287,0.0,20;13;39;37;79;82;64;44;78;42;74;12;21;24;114;8;65;35;81;110,0.000000;0.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;2.000000;2.000000;2.000000;3.000000;3.000000;3.000000;4.000000;4.000000;4.500000;4.500000,0.000000;0.000000;0.142857;0.142857;0.142857;0.142857;0.142857;0.142857;0.142857;0.142857;0.285714;0.285714;0.285714;0.428571;0.428571;0.428571;0.714286;0.714286;0.928571;0.928571,0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
Random,SUT-A,1,2.0,0.5714285714285715,0.0,31;58;3;12;68;108;10;57;115;25;36;119;122;6;66;8;81;61;86;121,1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.500000;1.500000;1.500000;2.000000,0.142857;0.142857;0.142857;0.142857;0.142857;0.142857;0.142857;0.142857;0.142857;0.142857;0.142857;0.142857;0.142857;0.142857;0.142857;0.142857;0.357143;0.357143;0.357143;0.571429,0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
Random,SUT-A,2,4.0,0.8571428571428572,0.0,3;34;75;110;94;61;4;5;41;59;91;77;65;40;15;62;112;43;46;125,0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;1.000000;2.000000;2.500000;3.000000;3.000000;3.000000;3.000000;3.000000;4.000000,0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.142857;0.428571;0.500000;0.714286;0.714286;0.714286;0.714286;0.714286;0.857143,0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
Random,SUT-A,3,4.0,0.7142857142857145,0.0,107;95;66;30;90;48;55;111;51;15;73;28;52;85;100;68;77;3;26;94,0.000000;0.000000;0.000000;0.000000;0.500000;0.500000;1.500000;1.500000;1.500000;2.000000;2.000000;2.000000;2.000000;3.000000;3.000000;3.000000;4.000000;4.000000;4.000000;4.000000,0.000000;0.000000;0.000000;0.000000;0.071429;0.071429;0.214286;0.214286;0.214286;0.428571;0.428571;0.428571;0.428571;0.571429;0.571429;0.571429;0.714286;0.714286;0.714286;0.714286,0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
Random,SUT-A,4,1.5,0.35714285714285715,0.0,3;10;38;58;72;36;44;119;112;126;11;50;90;34;114;127;17;105;120;70,0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;1.000000;1.000000;1.500000;1.500000;1.500000;1.500000;1.500000;1.500000;1.500000;1.500000,0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.285714;0.285714;0.357143;0.357143;0.357143;0.357143;0.357143;0.357143;0.357143;0.357143,0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
Random,SUT-A,5,4.5,0.7857142857142859,0.0,124;101;6;87;62;96;114;5;74;4;23;36;26;15;98;73;64;76;18;55,0.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;2.000000;2.000000;3.000000;3.000000;3.000000;3.500000;3.500000;3.500000;3.500000;3.500000;3.500000;4.500000,0.000000;0.142857;0.142857;0.142857;0.142857;0.142857;0.142857;0.142857;0.285714;0.285714;0.428571;0.428571;0.428571;0.642857;0.642857;0.642857;0.642857;0.642857;0.642857;0.785714,0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
Random,SUT-A,6,3.5,0.9285714285714286,0.0,33;67;11;103;110;104;22;10;93;61;116;60;44;17;85;43;98;92;78;81,0.000000;0.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;2.000000;2.000000;2.000000;2.000000;2.000000;2.000000;3.000000;3.000000;3.000000;3.000000;3.000000;3.500000,0.000000;0.000000;0.285714;0.285714;0.285714;0.285714;0.285714;0.285714;0.571429;0.571429;0.571429;0.571429;0.571429;0.571429;0.714286;0.714286;0.714286;0.714286;0.714286;0.928571,0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
