lineage_id,previous_version,target_version,history_versions,method,repeat,budget_limit,budget_used,eligible_count,regression_count,new_in_archive_count,reintroduced_count,available_regressions,regression_recall,raw_critical_score,stop_reason,protocol_hash,bank_hash,code_commit
fvdm_dev,fvdm_dev_v3,fvdm_dev_v4,fvdm_dev_v1;fvdm_dev_v2;fvdm_dev_v3,Random-Eligible,0,20,20,92,0,0,0,3,0.0,0.0,no_regression_observed_within_budget,7c2d6af31bc73325bd74ddca3cc4f20573634e5cfe8104929a44caec669edc74,9df1b0fbb11fe843ffbc277ec7ccc8cc0bcc133a9b1ca8ba659c2969e332d1f6,1d6e7d244bbae43ec23e728394ef0f4f010d6884
fvdm_dev,fvdm_dev_v3,fvdm_dev_v4,fvdm_dev_v1;fvdm_dev_v2;fvdm_dev_v3,Random-Eligible,1,20,20,92,0,0,0,3,0.0,0.0,no_regression_observed_within_budget,7c2d6af31bc73325bd74ddca3cc4f20573634e5cfe8104929a44caec669edc74,9df1b0fbb11fe843ffbc277ec7ccc8cc0bcc133a9b1ca8ba659c2969e332d1f6,1d6e7d244bbae43ec23e728394ef0f4f010d6884
fvdm_dev,fvdm_dev_v3,fvdm_dev_v4,fvdm_dev_v1;fvdm_dev_v2;fvdm_dev_v3,Random-Eligible,2,20,20,92,1,0,1,3,0.3333333333333333,0.5,budget_exhausted,7c2d6af31bc73325bd74ddca3cc4f20573634e5cfe8104929a44caec669edc74,9df1b0fbb11fe843ffbc277ec7ccc8cc0bcc133a9b1ca8ba659c2969e332d1f6,1d6e7d244bbae43ec23e728394ef0f4f010d6884
fvdm_dev,fvdm_dev_v3,fvdm_dev_v4,fvdm_dev_v1;fvdm_dev_v2;fvdm_dev_v3,Random-Eligible,3,20,20,92,0,0,0,3,0.0,0.0,no_regression_observed_within_budget,7c2d6af31bc73325bd74ddca3cc4f20573634e5cfe8104929a44caec669edc74,9df1b0fbb11fe843ffbc277ec7ccc8cc0bcc133a9b1ca8ba659c2969e332d1f6,1d6e7d244bbae43ec23e728394ef0f4f010d6884
fvdm_dev,fvdm_dev_v3,fvdm_dev_v4,fvdm_dev_v1;fvdm_dev_v2;fvdm_dev_v3,Random-Eligible,4,20,20,92,0,0,0,3,0.0,0.0,no_regression_observed_within_budget,7c2d6af31bc73325bd74ddca3cc4f20573634e5cfe8104929a44caec669edc74,9df1b0fbb11fe843ffbc277ec7ccc8cc0bcc133a9b1ca8ba659c2969e332d1f6,1d6e7d244bbae43ec23e728394ef0f4f010d6884
fvdm_dev,fvdm_dev_v3,fvdm_dev_v4,fvdm_dev_v1;fvdm_dev_v2;fvdm_dev_v3,Random-Eligible,5,20,20,92,1,0,1,3,0.3333333333333333,0.5,budget_exhausted,7c2d6af31bc73325bd74ddca3cc4f20573634e5cfe8104929a44caec669edc74,9df1b0fbb11fe843ffbc277ec7ccc8cc0bcc133a9b1ca8ba659c2969e332d1f6,1d6e7d244bbae43ec23e728394ef0f4f010d6884
fvdm_dev,fvdm_dev_v3,fvdm_dev_v4,fvdm_dev_v1;fvdm_dev_v2;fvdm_dev_v3,Random-Eligible,6,20,20,92,2,0,2,3,0.6666666666666666,1.0,budget_exhausted,7c2d6af31bc73325bd74ddca3cc4f20573634e5cfe8104929a44caec669edc74,9df1b0fbb11fe843ffbc277ec7ccc8cc0bcc133a9b1ca8ba659c2969e332d1f6,1d6e7d244bbae43ec23e728394ef0f4f010d6884
fvdm_dev,fvdm_dev_v3,fvdm_dev_v4,fvdm_dev_v1;fvdm_dev_v2;fvdm_dev_v3,Random-Eligible,7,20,20,92,0,0,0,3,0.0,0.0,no_regression_observed_within_budget,7c2d6af31bc73325bd74ddca3cc4f20573634e5cfe8104929a44caec669edc74,9df1b0fbb11fe843ffbc277ec7ccc8cc0bcc133a9b1ca8ba659c2969e332d1f6,1d6e7d244bbae43ec23e728394ef0f4f010d6884
fvdm_dev,fvdm_dev_v3,fvdm_dev_v4,fvdm_dev_v1;fvdm_dev_v2;fvdm_dev_v3,Random-Eligible,8,20,20,92,1,0,1,3,0.3333333333333333,0.5,budget_exhausted,7c2d6af31bc73325bd74ddca3cc4f20573634e5cfe8104929a44caec669edc74,9df1b0fbb11fe843ffbc277ec7ccc8cc0bcc133a9b1ca8ba659c2969e332d1f6,1d6e7d244bbae43ec23e728394ef0f4f010d6884
fvdm_dev,fvdm_dev_v3,fvdm_dev_v4,fvdm_dev_v1;fvdm_dev_v2;fvdm_dev_v3,Random-Eligible,9,20,20,92,1,0,1,3,0.3333333333333333,0.5,budget_exhausted,7c2d6af31bc73325bd74ddca3cc4f20573634e5cfe8104929a44caec669edc74,9df1b0fbb11fe843ffbc277ec7ccc8cc0bcc133a9b1ca8ba659c2969e332d1f6,1d6e7d244bbae43ec23e728394ef0f4f010d6884
fvdm_dev,fvdm_dev_v3,fvdm_dev_v4,fvdm_dev_v1;fvdm_dev_v2;fvdm_dev_v3,Random-Eligible,10,20,20,92,0,0,0,3,0.0,0.0,no_regression_observed_within_budget,7c2d6af31bc73325bd74ddca3cc4f20573634e5cfe8104929a44caec669edc74,9df1b0fbb11fe843ffbc277ec7ccc8cc0bcc133a9b1ca8ba659c2969e332d1f6,1d6e7d244bbae43ec23e728394ef0f4f010d6884
fvdm_dev,fvdm_dev_v3,fvdm_dev_v4,fvdm_dev_v1;fvdm_dev_v2;fvdm_dev_v3,Random-Eligible,11,20,20,92,0,0,0,3,0.0,0.0,no_regression_observed_within_budget,7c2d6af31bc73325bd74ddca3cc4f20573634e5cfe8104929a44caec669edc74,9df1b0fbb11fe843ffbc277ec7ccc8cc0bcc133a9b1ca8ba659c2969e332d1f6,1d6e7d244bbae43ec23e728394ef0f4f010d6884
fvdm_dev,fvdm_dev_v3,fvdm_dev_v4,fvdm_dev_v1;fvdm_dev_v2;fvdm_dev_v3,Random-Eligible,12,20,20,92,0,0,0,3,0.0,0.0,no_regression_observed_within_budget,7c2d6af31bc73325bd74ddca3cc4f20573634e5cfe8104929a44caec669edc74,9df1b0fbb11fe843ffbc277ec7ccc8cc0bcc133a9b1ca8ba659c2969e332d1f6,1d6e7d244bbae43ec23e728394ef0f4f010d6884
fvdm_dev,fvdm_dev_v3,fvdm_dev_v4,fvdm_dev_v1;fvdm_dev_v2;fvdm_dev_v3,Random-Eligible,13,20,20,92,1,0,1,3,0.3333333333333333,0.5,budget_exhausted,7c2d6af31bc73325bd74ddca3cc4f20573634e5cfe8104929a44caec669edc74,9df1b0fbb11fe843ffbc277ec7ccc8cc0bcc133a9b1ca8ba659c2969e332d1f6,1d6e7d244bbae43ec23e728394ef0f4f010d6884
fvdm_dev,fvdm_dev_v3,fvdm_dev_v4,fvdm_dev_v1;fvdm_dev_v2;fvdm_dev_v3,Random-Eligible,14,20,20,92,0,0,0,3,0.0,0.0,no_regression_observed_within_budget,7c2d6af31bc73325bd74ddca3cc4f20573634e5cfe8104929a44caec669edc74,9df1b0fbb11fe843ffbc277ec7ccc8cc0bcc133a9b1ca8ba659c2969e332d1f6,1d6e7d244bbae43ec23e728394ef0f4f010d6884
fvdm_dev,fvdm_dev_v3,fvdm_dev_v4,fvdm_dev_v1;fvdm_dev_v2;fvdm_dev_v3,Random-Eligible,15,20,20,92,0,0,0,3,0.0,0.0,no_regression_observed_within_budget,7c2d6af31bc73325bd74ddca3cc4f20573634e5cfe8104929a44caec669edc74,9df1b0fbb11fe843ffbc277ec7ccc8cc0bcc133a9b1ca8ba659c2969e332d1f6,1d6e7d244bbae43ec23e728394ef0f4f010d6884
fvdm_dev,fvdm_dev_v3,fvdm_dev_v4,fvdm_dev_v1;fvdm_dev_v2;fvdm_dev_v3,Random-Eligible,16,20,20,92,0,0,0,3,0.0,0.0,no_regression_observed_within_budget,7c2d6af31bc73325bd74ddca3cc4f20573634e5cfe8104929a44caec669edc74,9df1b0fbb11fe843ffbc277ec7ccc8cc0bcc133a9b1ca8ba659c2969e332d1f6,1d6e7d244bbae43ec23e728394ef0f4f010d6884
