target_profile,strategy,runs,mean_estimate,seed_sd_estimate,mean_relative_half_width,max_relative_half_width
SUT-C,AdaTE-QP-H,2,0.3405238279625876,0.03724764658224136,0.27608829359882314,0.32504657188226843
SUT-C,Equal-Mixture-H,2,0.3916754024173929,0.030053822201165606,0.31785673546705073,0.3254841035531396
SUT-C,NDE-phi-H,2,0.390625,0.0,0.1771339009003289,0.1771339009003289
SUT-C,Single-SM-0,2,0.33918688588840756,0.09635029747830151,0.5127896337170593,0.7499110641441205
SUT-C,Single-SM-1,2,0.38356204574209757,0.06484618705907128,0.2802418741551743,0.36310380601409054
SUT-C,Single-SM-2,2,0.25872562175269875,0.007557269262356692,0.25332396626377357,0.2576898168848266
SUT-C,Uniform-QP-H,2,0.34307606506927235,0.0185915904852365,0.20099128116514625,0.2018937272198262
SUT-E,AdaTE-QP-H,2,0.21730149228844886,0.030881977539251797,0.49553509338011725,0.5893850985772205
SUT-E,Equal-Mixture-H,2,0.3227771988764432,0.06493037964896058,0.3947584137401774,0.43476320443481414
SUT-E,NDE-phi-H,2,0.2604166666666667,0.0,0.23900036145342765,0.23900036145342765
SUT-E,Single-SM-0,2,0.1705114937283236,0.013557929200933655,0.3602903265711992,0.36444766905563475
SUT-E,Single-SM-1,2,0.5522931464364125,0.045662791269778735,1.2374076170736856,1.2907944446038024
SUT-E,Single-SM-2,2,0.15434179822817068,0.011239639425606587,0.34137747982905986,0.34359180170889525
SUT-E,Uniform-QP-H,2,0.24662468782915764,0.04894492485648413,0.3651301401285794,0.4445428132739895
SUT-F,AdaTE-QP-H,2,0.5221707524609042,0.019465650117242994,0.22987243716838995,0.24827845155712694
SUT-F,Equal-Mixture-H,2,0.485268188626494,0.0164801938762832,0.21120596283454085,0.24113816506421745
SUT-F,NDE-phi-H,2,0.5130208333333333,0.003682847818679961,0.13817601684803293,0.1388961720021781
SUT-F,Single-SM-0,2,0.42160753669073064,0.09613301459125419,0.422548388854756,0.6244296949335696
SUT-F,Single-SM-1,2,0.6377033374267703,0.18601194020735148,0.5448293871595098,0.7988021093894504
SUT-F,Single-SM-2,2,0.3689876243534197,0.010224390307179948,0.1936875375201484,0.19754497330035456
SUT-F,Uniform-QP-H,2,0.46618846121228774,0.010122044956366953,0.1521884667799398,0.1548914550804662
