method_variant,episode,alpha_0,alpha_1,alpha_2,qp_status,critical_rows,asd,asd_threshold,converged,restore_steps_cumulative
Uniform-Equal-H,1,0.3333333333333333,0.3333333333333333,0.3333333333333333,frozen_equal,1,nan,0.02,False,5
Uniform-Equal-H,2,0.3333333333333333,0.3333333333333333,0.3333333333333333,frozen_equal,6,nan,0.02,False,7
Uniform-Equal-H,3,0.3333333333333333,0.3333333333333333,0.3333333333333333,frozen_equal,9,nan,0.02,False,9
Uniform-Equal-H,4,0.3333333333333333,0.3333333333333333,0.3333333333333333,frozen_equal,11,nan,0.02,False,14
Uniform-Equal-H,5,0.3333333333333333,0.3333333333333333,0.3333333333333333,frozen_equal,12,nan,0.02,False,19
Uniform-Equal-H,6,0.3333333333333333,0.3333333333333333,0.3333333333333333,frozen_equal,14,nan,0.02,False,21
Uniform-Equal-H,7,0.3333333333333333,0.3333333333333333,0.3333333333333333,frozen_equal,18,nan,0.02,False,21
Uniform-Equal-H,8,0.3333333333333333,0.3333333333333333,0.3333333333333333,frozen_equal,20,nan,0.02,False,25
Uniform-Equal-H,9,0.3333333333333333,0.3333333333333333,0.3333333333333333,frozen_equal,22,nan,0.02,False,28
Uniform-Equal-H,10,0.3333333333333333,0.3333333333333333,0.3333333333333333,frozen_equal,24,nan,0.02,False,33
Uniform-Equal-H,11,0.3333333333333333,0.3333333333333333,0.3333333333333333,frozen_equal,26,0.0,0.02,False,38
Uniform-Equal-H,12,0.3333333333333333,0.3333333333333333,0.3333333333333333,frozen_equal,33,0.0,0.02,False,38
Uniform-Equal-H,13,0.3333333333333333,0.3333333333333333,0.3333333333333333,frozen_equal,34,0.0,0.02,False,38
Uniform-Equal-H,14,0.3333333333333333,0.3333333333333333,0.3333333333333333,frozen_equal,40,0.0,0.02,False,39
Uniform-Equal-H,15,0.3333333333333333,0.3333333333333333,0.3333333333333333,frozen_equal,45,0.0,0.02,False,41
Uniform-Equal-H,16,0.3333333333333333,0.3333333333333333,0.3333333333333333,frozen_equal,48,0.0,0.02,False,43
Uniform-Equal-H,17,0.3333333333333333,0.3333333333333333,0.3333333333333333,frozen_equal,52,0.0,0.02,False,43
Uniform-Equal-H,18,0.3333333333333333,0.3333333333333333,0.3333333333333333,frozen_equal,58,0.0,0.02,False,43
Uniform-Equal-H,19,0.3333333333333333,0.3333333333333333,0.3333333333333333,frozen_equal,62,0.0,0.02,False,44
Uniform-Equal-H,20,0.3333333333333333,0.3333333333333333,0.3333333333333333,frozen_equal,64,0.0,0.02,True,44
Uniform-Equal-H,21,0.3333333333333333,0.3333333333333333,0.3333333333333333,frozen_equal,65,0.0,0.02,True,48
Uniform-Equal-H,22,0.3333333333333333,0.3333333333333333,0.3333333333333333,frozen_equal,67,0.0,0.02,True,51
Uniform-Equal-H,23,0.3333333333333333,0.3333333333333333,0.3333333333333333,frozen_equal,68,0.0,0.02,True,51
Uniform-Equal-H,24,0.3333333333333333,0.3333333333333333,0.3333333333333333,frozen_equal,73,0.0,0.02,True,52
Uniform-Equal-H,25,0.3333333333333333,0.3333333333333333,0.3333333333333333,frozen_equal,75,0.0,0.02,True,55
Uniform-Equal-H,26,0.3333333333333333,0.3333333333333333,0.3333333333333333,frozen_equal,76,0.0,0.02,True,60
Uniform-Equal-H,27,0.3333333333333333,0.3333333333333333,0.3333333333333333,frozen_equal,77,0.0,0.02,True,66
Uniform-Equal-H,28,0.3333333333333333,0.3333333333333333,0.3333333333333333,frozen_equal,77,0.0,0.02,True,70
Uniform-Equal-H,29,0.3333333333333333,0.3333333333333333,0.3333333333333333,frozen_equal,77,0.0,0.02,True,72
Uniform-Equal-H,30,0.3333333333333333,0.3333333333333333,0.3333333333333333,frozen_equal,82,0.0,0.02,True,73
Uniform-Equal-H,31,0.3333333333333333,0.3333333333333333,0.3333333333333333,frozen_equal,84,0.0,0.02,True,74
Uniform-Equal-H,32,0.3333333333333333,0.3333333333333333,0.3333333333333333,frozen_equal,89,0.0,0.02,True,76
Uniform-Equal-H,33,0.3333333333333333,0.3333333333333333,0.3333333333333333,frozen_equal,90,0.0,0.02,True,76
Uniform-Equal-H,34,0.3333333333333333,0.3333333333333333,0.3333333333333333,frozen_equal,91,0.0,0.02,True,76
Uniform-Equal-H,35,0.3333333333333333,0.3333333333333333,0.3333333333333333,frozen_equal,91,0.0,0.02,True,81
Uniform-Equal-H,36,0.3333333333333333,0.3333333333333333,0.3333333333333333,frozen_equal,92,0.0,0.02,True,82
Uniform-Equal-H,37,0.3333333333333333,0.3333333333333333,0.3333333333333333,frozen_equal,93,0.0,0.02,True,87
Uniform-Equal-H,38,0.3333333333333333,0.3333333333333333,0.3333333333333333,frozen_equal,94,0.0,0.02,True,92
Uniform-Equal-H,39,0.3333333333333333,0.3333333333333333,0.3333333333333333,frozen_equal,100,0.0,0.02,True,92
Uniform-Equal-H,40,0.3333333333333333,0.3333333333333333,0.3333333333333333,frozen_equal,102,0.0,0.02,True,92
Uniform-Equal-H,41,0.3333333333333333,0.3333333333333333,0.3333333333333333,frozen_equal,105,0.0,0.02,True,94
Uniform-Equal-H,42,0.3333333333333333,0.3333333333333333,0.3333333333333333,frozen_equal,107,0.0,0.02,True,98
Uniform-Equal-H,43,0.3333333333333333,0.3333333333333333,0.3333333333333333,frozen_equal,108,0.0,0.02,True,98
Uniform-Equal-H,44,0.3333333333333333,0.3333333333333333,0.3333333333333333,frozen_equal,109,0.0,0.02,True,102
Uniform-Equal-H,45,0.3333333333333333,0.3333333333333333,0.3333333333333333,frozen_equal,110,0.0,0.02,True,105
Uniform-Equal-H,46,0.3333333333333333,0.3333333333333333,0.3333333333333333,frozen_equal,112,0.0,0.02,True,107
Uniform-Equal-H,47,0.3333333333333333,0.3333333333333333,0.3333333333333333,frozen_equal,113,0.0,0.02,True,113
Uniform-Equal-H,48,0.3333333333333333,0.3333333333333333,0.3333333333333333,frozen_equal,117,0.0,0.02,True,113
Uniform-Equal-H,49,0.3333333333333333,0.3333333333333333,0.3333333333333333,frozen_equal,122,0.0,0.02,True,113
Uniform-Equal-H,50,0.3333333333333333,0.3333333333333333,0.3333333333333333,frozen_equal,127,0.0,0.02,True,113
Uniform-Equal-H,51,0.3333333333333333,0.3333333333333333,0.3333333333333333,frozen_equal,128,0.0,0.02,True,113
Uniform-Equal-H,52,0.3333333333333333,0.3333333333333333,0.3333333333333333,frozen_equal,128,0.0,0.02,True,118
Uniform-Equal-H,53,0.3333333333333333,0.3333333333333333,0.3333333333333333,frozen_equal,132,0.0,0.02,True,118
