strategy,action,p_phi,mean_q,positive_support
AdaTE-QP-H,0,0.1,0.10318854453235918,True
AdaTE-QP-H,1,0.8,0.7940540160618633,True
AdaTE-QP-H,2,0.1,0.10275743940587805,True
Equal-Mixture-H,0,0.1,0.10409385735402885,True
Equal-Mixture-H,1,0.8,0.793744169440003,True
Equal-Mixture-H,2,0.1,0.10216197320605594,True
NDE-phi-H,0,0.1,0.10000000000000965,True
NDE-phi-H,1,0.8,0.8000000000000772,True
NDE-phi-H,2,0.1,0.10000000000000965,True
Single-SM-0,0,0.1,0.10247352207852219,True
Single-SM-0,1,0.8,0.7940949332790648,True
Single-SM-0,2,0.1,0.1034315446425073,True
Single-SM-1,0,0.1,0.10238243149623033,True
Single-SM-1,1,0.8,0.7978493587126796,True
Single-SM-1,2,0.1,0.09976820979118296,True
Single-SM-2,0,0.1,0.10362422988229993,True
Single-SM-2,1,0.8,0.7925638596446043,True
Single-SM-2,2,0.1,0.10381191047319255,True
Uniform-QP-H,0,0.1,0.10337134008185977,True
Uniform-QP-H,1,0.8,0.7951800955661359,True
Uniform-QP-H,2,0.1,0.10144856435209591,True
