snapshot_id,scenario_id,source_profile,seed,action_history,source_state,source_criticality
sc_00000,fast_intrusion_g5_dvm10,SUT-A,20260916,[],"[4, 2, -5, 12, 0, 0, 1, 0, 0, 0]",0.00048403000114982344
sc_00001,fast_intrusion_g5_dvm10,SUT-A,20260916,[0],"[3, 2, -5, 13, 0, 0, 1, 0, 1, 0]",0.002374147661812604
sc_00002,fast_intrusion_g5_dvm10,SUT-A,20260916,"[0, 1]","[3, 2, -5, 13, 0, 0, 1, 0, 2, 0]",0.01651774769822757
sc_00003,fast_intrusion_g5_dvm10,SUT-A,20260916,"[0, 1, 0]","[2, 2, -5, 13, 0, 0, 1, 0, 3, 0]",0.08683179052670799
sc_00004,fast_intrusion_g5_dvm10,SUT-A,20260916,"[0, 1, 0, 2]","[2, 2, -5, 13, 0, 0, 1, 0, 4, 0]",0.22086297194163004
sc_00005,fast_intrusion_g5_dvm10,SUT-A,20260917,[],"[4, 2, -5, 12, 0, 0, 1, 0, 0, 0]",0.00048403000114982344
sc_00006,fast_intrusion_g5_dvm10,SUT-A,20260917,[1],"[3, 2, -5, 13, 0, 0, 1, 0, 1, 0]",0.002374147661812604
sc_00007,fast_intrusion_g5_dvm10,SUT-A,20260917,"[1, 1]","[3, 2, -5, 13, 0, 0, 1, 0, 2, 0]",0.01651774769822757
sc_00008,fast_intrusion_g5_dvm10,SUT-A,20260917,"[1, 1, 1]","[2, 2, -5, 13, 0, 0, 1, 0, 3, 0]",0.08683179052670799
sc_00009,fast_intrusion_g5_dvm10,SUT-A,20260917,"[1, 1, 1, 0]","[2, 2, -5, 13, 0, 0, 1, 0, 4, 0]",0.22086297194163004
sc_00010,fast_intrusion_g5_dvm10,SUT-A,20260918,[],"[4, 2, -5, 12, 0, 0, 1, 0, 0, 0]",0.00048403000114982344
sc_00011,fast_intrusion_g5_dvm10,SUT-A,20260918,[2],"[3, 2, -5, 13, 0, 0, 1, 0, 1, 0]",0.002374147661812604
sc_00012,fast_intrusion_g5_dvm10,SUT-A,20260918,"[2, 2]","[3, 2, -5, 13, 0, 0, 1, 0, 2, 0]",0.01651774769822757
sc_00013,fast_intrusion_g5_dvm10,SUT-A,20260918,"[2, 2, 2]","[2, 2, -5, 13, 0, 0, 1, 0, 3, 0]",0.08683179052670799
sc_00014,fast_intrusion_g5_dvm10,SUT-A,20260918,"[2, 2, 2, 2]","[2, 2, -5, 13, 0, 0, 1, 0, 4, 0]",0.22086297194163004
sc_00015,fast_intrusion_g5_dvm10,SUT-A,20260918,"[2, 2, 2, 2, 0]","[1, 2, -5, 13, 0, 0, 1, 1, 5, 0]",0.5157216389973958
sc_00016,fast_intrusion_g5_dvm10,SUT-A,20260919,[],"[4, 2, -5, 12, 0, 0, 1, 0, 0, 0]",0.00048403000114982344
sc_00017,fast_intrusion_g5_dvm10,SUT-A,20260919,[0],"[3, 2, -5, 13, 0, 0, 1, 0, 1, 0]",0.002374147661812604
sc_00018,fast_intrusion_g5_dvm10,SUT-A,20260919,"[0, 0]","[3, 2, -5, 13, 0, 0, 1, 0, 2, 0]",0.01651774769822757
sc_00019,fast_intrusion_g5_dvm10,SUT-A,20260919,"[0, 0, 0, 2]","[2, 2, -5, 13, 0, 0, 1, 0, 4, 0]",0.22086297194163004
sc_00020,fast_intrusion_g5_dvm10,SUT-A,20260919,"[0, 0, 0, 2, 2]","[1, 2, -5, 13, 0, 0, 1, 1, 5, 0]",0.5157216389973958
sc_00021,fast_intrusion_g5_dvm6,SUT-A,20261016,[],"[3, 2, -3, 12, 0, 0, 1, 0, 0, 0]",0.0004917500887175403
sc_00022,fast_intrusion_g5_dvm6,SUT-A,20261016,[0],"[2, 2, -3, 13, 0, 0, 1, 0, 1, 0]",0.005821875677188238
