strategy,action,p_phi,mean_q,positive_support
AdaTE-QP-H,0,0.1,0.10385502774210971,True
AdaTE-QP-H,1,0.8,0.7943274079865289,True
AdaTE-QP-H,2,0.1,0.10181756427144303,True
Equal-Mixture-H,0,0.1,0.10384274925653682,True
Equal-Mixture-H,1,0.8,0.7930294314478651,True
Equal-Mixture-H,2,0.1,0.10312781929567028,True
NDE-phi-H,0,0.1,0.10000000000000783,True
NDE-phi-H,1,0.8,0.8000000000000627,True
NDE-phi-H,2,0.1,0.10000000000000783,True
Single-SM-0,0,0.1,0.10453188677770166,True
Single-SM-0,1,0.8,0.7909566128894311,True
Single-SM-0,2,0.1,0.10451150033294604,True
Single-SM-1,0,0.1,0.10372207939856976,True
Single-SM-1,1,0.8,0.7951447370188878,True
Single-SM-1,2,0.1,0.10113318358261635,True
Single-SM-2,0,0.1,0.10418251568093462,True
Single-SM-2,1,0.8,0.7933584503442896,True
Single-SM-2,2,0.1,0.10245903397485552,True
Uniform-QP-H,0,0.1,0.10309166143405707,True
Uniform-QP-H,1,0.8,0.7938539472229872,True
Uniform-QP-H,2,0.1,0.10305439134302563,True
