method_variant,episode,alpha_0,alpha_1,alpha_2,qp_status,critical_rows,asd,asd_threshold,converged,restore_steps_cumulative
Uniform-Equal-H,1,0.3333333333333333,0.3333333333333333,0.3333333333333333,frozen_equal,1,nan,0.02,False,2
Uniform-Equal-H,2,0.3333333333333333,0.3333333333333333,0.3333333333333333,frozen_equal,3,nan,0.02,False,2
Uniform-Equal-H,3,0.3333333333333333,0.3333333333333333,0.3333333333333333,frozen_equal,5,nan,0.02,False,7
Uniform-Equal-H,4,0.3333333333333333,0.3333333333333333,0.3333333333333333,frozen_equal,5,nan,0.02,False,13
Uniform-Equal-H,5,0.3333333333333333,0.3333333333333333,0.3333333333333333,frozen_equal,6,nan,0.02,False,13
Uniform-Equal-H,6,0.3333333333333333,0.3333333333333333,0.3333333333333333,frozen_equal,8,nan,0.02,False,15
Uniform-Equal-H,7,0.3333333333333333,0.3333333333333333,0.3333333333333333,frozen_equal,9,nan,0.02,False,15
Uniform-Equal-H,8,0.3333333333333333,0.3333333333333333,0.3333333333333333,frozen_equal,11,nan,0.02,False,18
Uniform-Equal-H,9,0.3333333333333333,0.3333333333333333,0.3333333333333333,frozen_equal,12,nan,0.02,False,21
Uniform-Equal-H,10,0.3333333333333333,0.3333333333333333,0.3333333333333333,frozen_equal,16,nan,0.02,False,22
Uniform-Equal-H,11,0.3333333333333333,0.3333333333333333,0.3333333333333333,frozen_equal,24,0.0,0.02,False,22
Uniform-Equal-H,12,0.3333333333333333,0.3333333333333333,0.3333333333333333,frozen_equal,28,0.0,0.02,False,23
Uniform-Equal-H,13,0.3333333333333333,0.3333333333333333,0.3333333333333333,frozen_equal,31,0.0,0.02,False,26
Uniform-Equal-H,14,0.3333333333333333,0.3333333333333333,0.3333333333333333,frozen_equal,32,0.0,0.02,False,26
Uniform-Equal-H,15,0.3333333333333333,0.3333333333333333,0.3333333333333333,frozen_equal,33,0.0,0.02,False,29
Uniform-Equal-H,16,0.3333333333333333,0.3333333333333333,0.3333333333333333,frozen_equal,35,0.0,0.02,False,33
Uniform-Equal-H,17,0.3333333333333333,0.3333333333333333,0.3333333333333333,frozen_equal,42,0.0,0.02,False,33
Uniform-Equal-H,18,0.3333333333333333,0.3333333333333333,0.3333333333333333,frozen_equal,47,0.0,0.02,False,34
Uniform-Equal-H,19,0.3333333333333333,0.3333333333333333,0.3333333333333333,frozen_equal,48,0.0,0.02,False,34
Uniform-Equal-H,20,0.3333333333333333,0.3333333333333333,0.3333333333333333,frozen_equal,50,0.0,0.02,True,36
Uniform-Equal-H,21,0.3333333333333333,0.3333333333333333,0.3333333333333333,frozen_equal,50,0.0,0.02,True,42
Uniform-Equal-H,22,0.3333333333333333,0.3333333333333333,0.3333333333333333,frozen_equal,53,0.0,0.02,True,45
Uniform-Equal-H,23,0.3333333333333333,0.3333333333333333,0.3333333333333333,frozen_equal,59,0.0,0.02,True,45
Uniform-Equal-H,24,0.3333333333333333,0.3333333333333333,0.3333333333333333,frozen_equal,60,0.0,0.02,True,45
Uniform-Equal-H,25,0.3333333333333333,0.3333333333333333,0.3333333333333333,frozen_equal,61,0.0,0.02,True,50
Uniform-Equal-H,26,0.3333333333333333,0.3333333333333333,0.3333333333333333,frozen_equal,65,0.0,0.02,True,51
Uniform-Equal-H,27,0.3333333333333333,0.3333333333333333,0.3333333333333333,frozen_equal,71,0.0,0.02,True,51
Uniform-Equal-H,28,0.3333333333333333,0.3333333333333333,0.3333333333333333,frozen_equal,72,0.0,0.02,True,57
Uniform-Equal-H,29,0.3333333333333333,0.3333333333333333,0.3333333333333333,frozen_equal,72,0.0,0.02,True,60
Uniform-Equal-H,30,0.3333333333333333,0.3333333333333333,0.3333333333333333,frozen_equal,72,0.0,0.02,True,63
Uniform-Equal-H,31,0.3333333333333333,0.3333333333333333,0.3333333333333333,frozen_equal,73,0.0,0.02,True,68
Uniform-Equal-H,32,0.3333333333333333,0.3333333333333333,0.3333333333333333,frozen_equal,74,0.0,0.02,True,72
