method_variant,episode,alpha_0,alpha_1,alpha_2,qp_status,critical_rows,asd,asd_threshold,converged,restore_steps_cumulative
Uniform-Equal-H,1,0.3333333333333333,0.3333333333333333,0.3333333333333333,frozen_equal,1,nan,0.02,False,2
Uniform-Equal-H,2,0.3333333333333333,0.3333333333333333,0.3333333333333333,frozen_equal,4,nan,0.02,False,2
Uniform-Equal-H,3,0.3333333333333333,0.3333333333333333,0.3333333333333333,frozen_equal,6,nan,0.02,False,7
Uniform-Equal-H,4,0.3333333333333333,0.3333333333333333,0.3333333333333333,frozen_equal,6,nan,0.02,False,13
Uniform-Equal-H,5,0.3333333333333333,0.3333333333333333,0.3333333333333333,frozen_equal,7,nan,0.02,False,13
Uniform-Equal-H,6,0.3333333333333333,0.3333333333333333,0.3333333333333333,frozen_equal,8,nan,0.02,False,19
Uniform-Equal-H,7,0.3333333333333333,0.3333333333333333,0.3333333333333333,frozen_equal,9,nan,0.02,False,19
Uniform-Equal-H,8,0.3333333333333333,0.3333333333333333,0.3333333333333333,frozen_equal,12,nan,0.02,False,20
Uniform-Equal-H,9,0.3333333333333333,0.3333333333333333,0.3333333333333333,frozen_equal,13,nan,0.02,False,20
Uniform-Equal-H,10,0.3333333333333333,0.3333333333333333,0.3333333333333333,frozen_equal,16,nan,0.02,False,23
Uniform-Equal-H,11,0.3333333333333333,0.3333333333333333,0.3333333333333333,frozen_equal,17,0.0,0.02,False,29
Uniform-Equal-H,12,0.3333333333333333,0.3333333333333333,0.3333333333333333,frozen_equal,17,0.0,0.02,False,35
Uniform-Equal-H,13,0.3333333333333333,0.3333333333333333,0.3333333333333333,frozen_equal,24,0.0,0.02,False,35
Uniform-Equal-H,14,0.3333333333333333,0.3333333333333333,0.3333333333333333,frozen_equal,29,0.0,0.02,False,36
Uniform-Equal-H,15,0.3333333333333333,0.3333333333333333,0.3333333333333333,frozen_equal,30,0.0,0.02,False,42
Uniform-Equal-H,16,0.3333333333333333,0.3333333333333333,0.3333333333333333,frozen_equal,31,0.0,0.02,False,42
Uniform-Equal-H,17,0.3333333333333333,0.3333333333333333,0.3333333333333333,frozen_equal,34,0.0,0.02,False,45
Uniform-Equal-H,18,0.3333333333333333,0.3333333333333333,0.3333333333333333,frozen_equal,35,0.0,0.02,False,45
