strategy,action,p_phi,mean_q,positive_support
AdaTE-QP-H,0,0.1,0.10374535131063542,True
AdaTE-QP-H,1,0.8,0.7943892621756824,True
AdaTE-QP-H,2,0.1,0.10186538651375163,True
Equal-Mixture-H,0,0.1,0.10387732904844311,True
Equal-Mixture-H,1,0.8,0.7928821633151116,True
Equal-Mixture-H,2,0.1,0.10324050763650675,True
NDE-phi-H,0,0.1,0.10000000000000653,True
NDE-phi-H,1,0.8,0.8000000000000522,True
NDE-phi-H,2,0.1,0.10000000000000653,True
Single-SM-0,0,0.1,0.10450586529572088,True
Single-SM-0,1,0.8,0.7907087115621855,True
Single-SM-0,2,0.1,0.10478542314216438,True
Single-SM-1,0,0.1,0.10403734652881763,True
Single-SM-1,1,0.8,0.7950485706630458,True
Single-SM-1,2,0.1,0.10091408280819875,True
Single-SM-2,0,0.1,0.10438217957098937,True
Single-SM-2,1,0.8,0.7933174296877226,True
Single-SM-2,2,0.1,0.10230039074135518,True
Uniform-QP-H,0,0.1,0.10352634596091845,True
Uniform-QP-H,1,0.8,0.7937815809161985,True
Uniform-QP-H,2,0.1,0.10269207312293929,True
