method_variant,episode,time_step,state,q_target,q_mixed,gap_scores,visits,critical
Uniform-Equal-H,1,0,"[2, 2, -4, 13, 0, 0, 1, 0, 2, 1]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.1, 0.8, 0.1]","[0, 0, 1]",False
Uniform-Equal-H,1,1,"[2, 2, -3, 13, 0, 0, 1, 0, 3, 1]","[0.0, 0.0, 0.0]","[0.0010936408042907717, 0.0026283424377441405, 0.0033776327451070154]","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[1, 0, 0]",True
Uniform-Equal-H,1,2,"[1, 2, -4, 13, 0, 0, 1, 0, 4, 1]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.1, 0.8, 0.1]","[0, 1, 0]",False
Uniform-Equal-H,1,3,"[1, 2, -4, 13, 0, 0, 1, 1, 5, 1]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.1, 0.8, 0.1]","[0, 1, 0]",False
Uniform-Equal-H,1,4,"[1, 2, -4, 13, 0, 0, 0, 1, 6, 1]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.1, 0.8, 0.1]","[0, 1, 0]",False
Uniform-Equal-H,1,5,"[0, 1, -4, 13, 0, 0, 0, 1, 7, 1]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.1, 0.8, 0.1]","[0, 1, 0]",False
Uniform-Equal-H,2,0,"[2, 2, -1, 12, 0, 0, 1, 0, 0, 0]","[0.0, 0.0, 0.0]","[5.2774144435922315e-05, 1.4617629528045655e-05, 2.1431924263636274e-05]","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[1, 0, 0]",True
Uniform-Equal-H,2,1,"[2, 2, -1, 13, 0, 0, 1, 0, 1, 0]","[0.0, 0.0, 0.0]","[0.00032792926152547204, 0.00032615976929664615, 8.915981854001683e-05]","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[1, 0, 0]",True
Uniform-Equal-H,2,2,"[2, 2, -2, 13, 0, 0, 1, 0, 2, 0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.1, 0.8, 0.1]","[0, 1, 0]",False
Uniform-Equal-H,2,3,"[1, 2, -2, 13, 0, 0, 1, 0, 3, 0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.1, 0.8, 0.1]","[0, 1, 0]",False
