step,scenario_id,anchor_index,target_sut,method_variant,response,task_kind,predicted_score,score_semantics,visible_target_count,history_split_id,selected_reason,observed_event,collision,near_miss,valid,cumulative_cost,cumulative_critical
1,a001,1,SUT-A,Uniform-Mixture-H,vulnerability,failure_discovery,1.0,source_vulnerability_convex_mixture,1,source_profiles_excluding_target,stable_argmax_revealed_only,True,True,False,True,1,1
2,a009,9,SUT-A,Uniform-Mixture-H,vulnerability,failure_discovery,1.0,source_vulnerability_convex_mixture,2,source_profiles_excluding_target,stable_argmax_revealed_only,True,True,False,True,2,2
3,a014,14,SUT-A,Uniform-Mixture-H,vulnerability,failure_discovery,1.0,source_vulnerability_convex_mixture,3,source_profiles_excluding_target,stable_argmax_revealed_only,True,True,False,True,3,3
4,a017,17,SUT-A,Uniform-Mixture-H,vulnerability,failure_discovery,1.0,source_vulnerability_convex_mixture,4,source_profiles_excluding_target,stable_argmax_revealed_only,True,True,False,True,4,4
5,a033,33,SUT-A,Uniform-Mixture-H,vulnerability,failure_discovery,1.0,source_vulnerability_convex_mixture,5,source_profiles_excluding_target,stable_argmax_revealed_only,True,True,False,True,5,5
6,a046,46,SUT-A,Uniform-Mixture-H,vulnerability,failure_discovery,1.0,source_vulnerability_convex_mixture,6,source_profiles_excluding_target,stable_argmax_revealed_only,True,True,False,True,6,6
7,a049,49,SUT-A,Uniform-Mixture-H,vulnerability,failure_discovery,1.0,source_vulnerability_convex_mixture,7,source_profiles_excluding_target,stable_argmax_revealed_only,True,True,False,True,7,7
8,a065,65,SUT-A,Uniform-Mixture-H,vulnerability,failure_discovery,1.0,source_vulnerability_convex_mixture,8,source_profiles_excluding_target,stable_argmax_revealed_only,True,True,False,True,8,8
9,a078,78,SUT-A,Uniform-Mixture-H,vulnerability,failure_discovery,1.0,source_vulnerability_convex_mixture,9,source_profiles_excluding_target,stable_argmax_revealed_only,True,True,False,True,9,9
10,a081,81,SUT-A,Uniform-Mixture-H,vulnerability,failure_discovery,1.0,source_vulnerability_convex_mixture,10,source_profiles_excluding_target,stable_argmax_revealed_only,True,True,False,True,10,10
11,a097,97,SUT-A,Uniform-Mixture-H,vulnerability,failure_discovery,1.0,source_vulnerability_convex_mixture,11,source_profiles_excluding_target,stable_argmax_revealed_only,True,True,False,True,11,11
12,a113,113,SUT-A,Uniform-Mixture-H,vulnerability,failure_discovery,1.0,source_vulnerability_convex_mixture,12,source_profiles_excluding_target,stable_argmax_revealed_only,True,True,False,True,12,12
13,a089,89,SUT-A,Uniform-Mixture-H,vulnerability,failure_discovery,0.9824195749403791,source_vulnerability_convex_mixture,13,source_profiles_excluding_target,stable_argmax_revealed_only,True,True,False,True,13,13
14,a105,105,SUT-A,Uniform-Mixture-H,vulnerability,failure_discovery,0.9823154543124111,source_vulnerability_convex_mixture,14,source_profiles_excluding_target,stable_argmax_revealed_only,True,True,False,True,14,14
15,a057,57,SUT-A,Uniform-Mixture-H,vulnerability,failure_discovery,0.9640585144280037,source_vulnerability_convex_mixture,15,source_profiles_excluding_target,stable_argmax_revealed_only,True,True,False,True,15,15
16,a041,41,SUT-A,Uniform-Mixture-H,vulnerability,failure_discovery,0.9589450214191574,source_vulnerability_convex_mixture,16,source_profiles_excluding_target,stable_argmax_revealed_only,True,True,False,True,16,16
17,a094,94,SUT-A,Uniform-Mixture-H,vulnerability,failure_discovery,0.9171872682658844,source_vulnerability_convex_mixture,17,source_profiles_excluding_target,stable_argmax_revealed_only,True,True,False,True,17,17
18,a110,110,SUT-A,Uniform-Mixture-H,vulnerability,failure_discovery,0.904772114339913,source_vulnerability_convex_mixture,18,source_profiles_excluding_target,stable_argmax_revealed_only,True,False,True,True,18,18
19,a029,29,SUT-A,Uniform-Mixture-H,vulnerability,failure_discovery,0.8700973559605638,source_vulnerability_convex_mixture,19,source_profiles_excluding_target,stable_argmax_revealed_only,True,True,False,True,19,19
20,a077,77,SUT-A,Uniform-Mixture-H,vulnerability,failure_discovery,0.7602844551332046,source_vulnerability_convex_mixture,20,source_profiles_excluding_target,stable_argmax_revealed_only,True,True,False,True,20,20
1,a001,1,SUT-A,AdaTE-Mixture-H-staticK1,vulnerability,failure_discovery,1.0,source_vulnerability_convex_mixture,1,source_profiles_excluding_target,stable_argmax_revealed_only,True,True,False,True,1,1
2,a009,9,SUT-A,AdaTE-Mixture-H-staticK1,vulnerability,failure_discovery,1.0,source_vulnerability_convex_mixture,2,source_profiles_excluding_target,stable_argmax_revealed_only,True,True,False,True,2,2
3,a014,14,SUT-A,AdaTE-Mixture-H-staticK1,vulnerability,failure_discovery,1.0,source_vulnerability_convex_mixture,3,source_profiles_excluding_target,stable_argmax_revealed_only,True,True,False,True,3,3
4,a017,17,SUT-A,AdaTE-Mixture-H-staticK1,vulnerability,failure_discovery,1.0,source_vulnerability_convex_mixture,4,source_profiles_excluding_target,stable_argmax_revealed_only,True,True,False,True,4,4
5,a033,33,SUT-A,AdaTE-Mixture-H-staticK1,vulnerability,failure_discovery,1.0,source_vulnerability_convex_mixture,5,source_profiles_excluding_target,stable_argmax_revealed_only,True,True,False,True,5,5
6,a046,46,SUT-A,AdaTE-Mixture-H-staticK1,vulnerability,failure_discovery,1.0,source_vulnerability_convex_mixture,6,source_profiles_excluding_target,stable_argmax_revealed_only,True,True,False,True,6,6
7,a049,49,SUT-A,AdaTE-Mixture-H-staticK1,vulnerability,failure_discovery,1.0,source_vulnerability_convex_mixture,7,source_profiles_excluding_target,stable_argmax_revealed_only,True,True,False,True,7,7
8,a065,65,SUT-A,AdaTE-Mixture-H-staticK1,vulnerability,failure_discovery,1.0,source_vulnerability_convex_mixture,8,source_profiles_excluding_target,stable_argmax_revealed_only,True,True,False,True,8,8
9,a078,78,SUT-A,AdaTE-Mixture-H-staticK1,vulnerability,failure_discovery,1.0,source_vulnerability_convex_mixture,9,source_profiles_excluding_target,stable_argmax_revealed_only,True,True,False,True,9,9
10,a081,81,SUT-A,AdaTE-Mixture-H-staticK1,vulnerability,failure_discovery,1.0,source_vulnerability_convex_mixture,10,source_profiles_excluding_target,stable_argmax_revealed_only,True,True,False,True,10,10
11,a097,97,SUT-A,AdaTE-Mixture-H-staticK1,vulnerability,failure_discovery,1.0,source_vulnerability_convex_mixture,11,source_profiles_excluding_target,stable_argmax_revealed_only,True,True,False,True,11,11
