target_sut,method_variant,response,critical_count_at_budget,collision_count_at_budget,held_out_response_mse,final_alpha,budget
SUT-A,Uniform-Mixture-H,collision,20,20,0.0416279069767442,"[0.2, 0.2, 0.2, 0.2, 0.2]",20
SUT-A,AdaTE-Mixture-H-staticK4,collision,20,20,0.0416279069767442,"[0.2, 0.2, 0.2, 0.2, 0.2]",20
SUT-A,AdaTE-Mixture-H-sequential,collision,20,20,0.07945736134493148,"[1.9307730021546013e-08, 0.3333333268586183, 0.33333332697503354, 0.0, 0.3333333268586182]",20
SUT-B,Uniform-Mixture-H,collision,17,11,0.07511627906976748,"[0.2, 0.2, 0.2, 0.2, 0.2]",20
SUT-B,AdaTE-Mixture-H-staticK4,collision,17,11,0.07511627906976748,"[0.2, 0.2, 0.2, 0.2, 0.2]",20
SUT-B,AdaTE-Mixture-H-sequential,collision,15,11,4.736443991138376e-34,"[0.0, 0.0, 0.0, 1.0, 4.163336342344337e-17]",20
SUT-C,Uniform-Mixture-H,collision,20,20,0.07232558139534885,"[0.2, 0.2, 0.2, 0.2, 0.2]",20
SUT-C,AdaTE-Mixture-H-staticK4,collision,20,20,0.07232558139534885,"[0.2, 0.2, 0.2, 0.2, 0.2]",20
SUT-C,AdaTE-Mixture-H-sequential,collision,20,20,0.0691214462566375,"[0.3333333272308599, 1.8540251531078134e-08, 0.3333333271144444, 0.0, 0.33333332711444424]",20
SUT-D,Uniform-Mixture-H,collision,20,20,0.07232558139534884,"[0.2, 0.2, 0.2, 0.2, 0.2]",20
SUT-D,AdaTE-Mixture-H-staticK4,collision,20,20,0.07232558139534884,"[0.2, 0.2, 0.2, 0.2, 0.2]",20
SUT-D,AdaTE-Mixture-H-sequential,collision,20,20,0.06395348786725807,"[0.3333333272308599, 1.8540251531078134e-08, 0.3333333271144444, 0.0, 0.33333332711444424]",20
SUT-E,Uniform-Mixture-H,collision,20,14,0.0716279069767442,"[0.2, 0.2, 0.2, 0.2, 0.2]",20
SUT-E,AdaTE-Mixture-H-staticK4,collision,20,14,0.0716279069767442,"[0.2, 0.2, 0.2, 0.2, 0.2]",20
SUT-E,AdaTE-Mixture-H-sequential,collision,13,11,0.023255813953488372,"[0.0, 1.0, 0.0, 0.0, 0.0]",20
SUT-F,Uniform-Mixture-H,collision,20,20,0.1588372093023256,"[0.2, 0.2, 0.2, 0.2, 0.2]",20
SUT-F,AdaTE-Mixture-H-staticK4,collision,20,20,0.1588372093023256,"[0.2, 0.2, 0.2, 0.2, 0.2]",20
SUT-F,AdaTE-Mixture-H-sequential,collision,20,20,0.12080103471498858,"[0.3333333269295215, 1.9560681677709135e-08, 0.333333326813106, 0.33333332669669086, 0.0]",20
