step,target_sut,method_variant,status,residual_norm,iterations,simplex_violation,fallback
4,SUT-A,AdaTE-Mixture-H-staticK4,Optimization terminated successfully,0.0,1,0.0,False
1,SUT-A,AdaTE-Mixture-H-sequential,Optimization terminated successfully,0.0,1,0.0,False
2,SUT-A,AdaTE-Mixture-H-sequential,Optimization terminated successfully,0.0,1,0.0,False
3,SUT-A,AdaTE-Mixture-H-sequential,Optimization terminated successfully,0.0,1,0.0,False
4,SUT-A,AdaTE-Mixture-H-sequential,Optimization terminated successfully,0.0,1,0.0,False
5,SUT-A,AdaTE-Mixture-H-sequential,Optimization terminated successfully,0.0,1,0.0,False
6,SUT-A,AdaTE-Mixture-H-sequential,Optimization terminated successfully,0.0,1,0.0,False
7,SUT-A,AdaTE-Mixture-H-sequential,Optimization terminated successfully,0.0,1,0.0,False
8,SUT-A,AdaTE-Mixture-H-sequential,Optimization terminated successfully,0.0,1,0.0,False
9,SUT-A,AdaTE-Mixture-H-sequential,Optimization terminated successfully,0.0,1,0.0,False
10,SUT-A,AdaTE-Mixture-H-sequential,Optimization terminated successfully,0.0,1,0.0,False
11,SUT-A,AdaTE-Mixture-H-sequential,Optimization terminated successfully,0.0,1,0.0,False
12,SUT-A,AdaTE-Mixture-H-sequential,Optimization terminated successfully,7.4407580097357595e-09,3,0.0,False
13,SUT-A,AdaTE-Mixture-H-sequential,Optimization terminated successfully,1.052282089170455e-08,1,0.0,False
14,SUT-A,AdaTE-Mixture-H-sequential,Optimization terminated successfully,1.2887770919687414e-08,1,0.0,False
15,SUT-A,AdaTE-Mixture-H-sequential,Optimization terminated successfully,1.4881516019471519e-08,1,0.0,False
16,SUT-A,AdaTE-Mixture-H-sequential,Optimization terminated successfully,4.3173396456739415e-08,3,0.0,False
17,SUT-A,AdaTE-Mixture-H-sequential,Optimization terminated successfully,4.729408624693957e-08,1,0.0,False
18,SUT-A,AdaTE-Mixture-H-sequential,Optimization terminated successfully,5.108345158909213e-08,1,0.0,False
19,SUT-A,AdaTE-Mixture-H-sequential,Optimization terminated successfully,5.461050685149588e-08,1,0.0,False
20,SUT-A,AdaTE-Mixture-H-sequential,Optimization terminated successfully,5.792318957809073e-08,1,0.0,False
4,SUT-B,AdaTE-Mixture-H-staticK4,Optimization terminated successfully,1.0,1,0.0,False
1,SUT-B,AdaTE-Mixture-H-sequential,Optimization terminated successfully,0.0,1,0.0,False
2,SUT-B,AdaTE-Mixture-H-sequential,Optimization terminated successfully,0.0,1,0.0,False
3,SUT-B,AdaTE-Mixture-H-sequential,Optimization terminated successfully,1.0,1,0.0,False
4,SUT-B,AdaTE-Mixture-H-sequential,Optimization terminated successfully,1.0,1,0.0,False
5,SUT-B,AdaTE-Mixture-H-sequential,Optimization terminated successfully,1.0,1,0.0,False
6,SUT-B,AdaTE-Mixture-H-sequential,Optimization terminated successfully,1.0,1,0.0,False
7,SUT-B,AdaTE-Mixture-H-sequential,Optimization terminated successfully,1.0,1,0.0,False
8,SUT-B,AdaTE-Mixture-H-sequential,Optimization terminated successfully,1.4142135623730951,1,0.0,False
