step,scenario_id,anchor_index,target_sut,method_variant,response,task_kind,predicted_score,score_semantics,visible_target_count,history_split_id,selected_reason,observed_event,collision,near_miss,valid,cumulative_cost,cumulative_critical
1,a007,7,SUT-A,Uniform-Mixture-H,collision,failure_discovery,1.0,source_collision_convex_mixture,1,source_profiles_excluding_target,stable_argmax_revealed_only,True,True,False,True,1,1
2,a024,24,SUT-A,Uniform-Mixture-H,collision,failure_discovery,1.0,source_collision_convex_mixture,2,source_profiles_excluding_target,stable_argmax_revealed_only,True,True,False,True,2,2
3,a039,39,SUT-A,Uniform-Mixture-H,collision,failure_discovery,1.0,source_collision_convex_mixture,3,source_profiles_excluding_target,stable_argmax_revealed_only,True,True,False,True,3,3
4,a055,55,SUT-A,Uniform-Mixture-H,collision,failure_discovery,1.0,source_collision_convex_mixture,4,source_profiles_excluding_target,stable_argmax_revealed_only,True,True,False,True,4,4
5,a056,56,SUT-A,Uniform-Mixture-H,collision,failure_discovery,1.0,source_collision_convex_mixture,5,source_profiles_excluding_target,stable_argmax_revealed_only,True,True,False,True,5,5
6,a069,69,SUT-A,Uniform-Mixture-H,collision,failure_discovery,1.0,source_collision_convex_mixture,6,source_profiles_excluding_target,stable_argmax_revealed_only,True,True,False,True,6,6
7,a085,85,SUT-A,Uniform-Mixture-H,collision,failure_discovery,1.0,source_collision_convex_mixture,7,source_profiles_excluding_target,stable_argmax_revealed_only,True,True,False,True,7,7
8,a101,101,SUT-A,Uniform-Mixture-H,collision,failure_discovery,1.0,source_collision_convex_mixture,8,source_profiles_excluding_target,stable_argmax_revealed_only,True,True,False,True,8,8
9,a106,106,SUT-A,Uniform-Mixture-H,collision,failure_discovery,1.0,source_collision_convex_mixture,9,source_profiles_excluding_target,stable_argmax_revealed_only,True,True,False,True,9,9
10,a117,117,SUT-A,Uniform-Mixture-H,collision,failure_discovery,1.0,source_collision_convex_mixture,10,source_profiles_excluding_target,stable_argmax_revealed_only,True,True,False,True,10,10
11,a173,173,SUT-A,Uniform-Mixture-H,collision,failure_discovery,1.0,source_collision_convex_mixture,11,source_profiles_excluding_target,stable_argmax_revealed_only,True,True,False,True,11,11
12,a031,31,SUT-A,Uniform-Mixture-H,collision,failure_discovery,0.8,source_collision_convex_mixture,12,source_profiles_excluding_target,stable_argmax_revealed_only,True,True,False,True,12,12
13,a074,74,SUT-A,Uniform-Mixture-H,collision,failure_discovery,0.8,source_collision_convex_mixture,13,source_profiles_excluding_target,stable_argmax_revealed_only,True,True,False,True,13,13
14,a077,77,SUT-A,Uniform-Mixture-H,collision,failure_discovery,0.8,source_collision_convex_mixture,14,source_profiles_excluding_target,stable_argmax_revealed_only,True,True,False,True,14,14
