protocol,target_sut,history_executions,candidate_count,history_label_source
D1-within-SUT-static,SUT-A,99,93,frozen same-SUT history split
D2-LOSO,SUT-A,960,192,other SUTs only
D1-within-SUT-static,SUT-B,99,93,frozen same-SUT history split
D2-LOSO,SUT-B,960,192,other SUTs only
D1-within-SUT-static,SUT-C,99,93,frozen same-SUT history split
D2-LOSO,SUT-C,960,192,other SUTs only
D1-within-SUT-static,SUT-D,99,93,frozen same-SUT history split
D2-LOSO,SUT-D,960,192,other SUTs only
D1-within-SUT-static,SUT-E,99,93,frozen same-SUT history split
D2-LOSO,SUT-E,960,192,other SUTs only
D1-within-SUT-static,SUT-F,99,93,frozen same-SUT history split
D2-LOSO,SUT-F,960,192,other SUTs only
