method,method_variant,task_kind,mode,target_sut,seed,step,scenario_index,scenario_id,selected_reason,visible_target_count_before,collision_offline,critical_offline,cumulative_failures
DETOUR-static,DETOUR-static,failure_discovery,static,SUT-A,0,1,111,cutin:g=28.95514177:dv=-7.63136845:mode=cutin_braking,baseline,0,False,False,0
DETOUR-static,DETOUR-static,failure_discovery,static,SUT-A,0,2,1,cutin:g=38.61031229:dv=-6.85514550:mode=fast_intrusion,baseline,0,False,False,0
DETOUR-static,DETOUR-static,failure_discovery,static,SUT-A,0,3,143,cutin:g=27.90143384:dv=-7.47720103:mode=lead_braking,baseline,0,False,False,0
DETOUR-static,DETOUR-static,failure_discovery,static,SUT-A,0,4,35,cutin:g=21.59106767:dv=-7.00201329:mode=fast_intrusion,baseline,0,False,False,0
DETOUR-static,DETOUR-static,failure_discovery,static,SUT-A,0,5,173,cutin:g=5.17126779:dv=-7.54559272:mode=lead_braking,baseline,0,True,True,1
DETOUR-static,DETOUR-static,failure_discovery,static,SUT-A,0,6,7,cutin:g=5.73452454:dv=-6.10210265:mode=fast_intrusion,baseline,0,True,True,2
DETOUR-static,DETOUR-static,failure_discovery,static,SUT-A,0,7,74,cutin:g=5.31480796:dv=0.62727515:mode=cutin_braking,baseline,0,True,True,3
DETOUR-static,DETOUR-static,failure_discovery,static,SUT-A,0,8,157,cutin:g=9.24356895:dv=-6.31850763:mode=lead_braking,baseline,0,True,True,4
DETOUR-static,DETOUR-static,failure_discovery,static,SUT-A,0,9,153,cutin:g=17.35792079:dv=-4.84670737:mode=lead_braking,baseline,0,False,False,4
DETOUR-static,DETOUR-static,failure_discovery,static,SUT-A,0,10,145,cutin:g=19.73761162:dv=-7.85120456:mode=lead_braking,baseline,0,True,True,5
DETOUR-static,DETOUR-static,failure_discovery,static,SUT-A,0,11,55,cutin:g=7.54585820:dv=-7.77327215:mode=fast_intrusion,baseline,0,True,True,6
DETOUR-static,DETOUR-static,failure_discovery,static,SUT-A,0,12,125,cutin:g=10.90589063:dv=-6.32625904:mode=cutin_braking,baseline,0,True,True,7
DETOUR-static,DETOUR-static,failure_discovery,static,SUT-A,0,13,181,cutin:g=9.49027769:dv=-5.93436483:mode=lead_braking,baseline,0,True,True,8
DETOUR-static,DETOUR-static,failure_discovery,static,SUT-A,0,14,101,cutin:g=7.41312334:dv=-6.92028752:mode=cutin_braking,baseline,0,True,True,9
DETOUR-static,DETOUR-static,failure_discovery,static,SUT-A,0,15,113,cutin:g=15.61763472:dv=-7.91977279:mode=cutin_braking,baseline,0,True,True,10
DETOUR-static,DETOUR-static,failure_discovery,static,SUT-A,0,16,90,cutin:g=7.82403791:dv=-1.49971232:mode=cutin_braking,baseline,0,False,True,10
DETOUR-static,DETOUR-static,failure_discovery,static,SUT-A,0,17,69,cutin:g=9.29587863:dv=-5.28977609:mode=cutin_braking,baseline,0,True,True,11
DETOUR-static,DETOUR-static,failure_discovery,static,SUT-A,0,18,105,cutin:g=21.30260579:dv=-5.99060746:mode=cutin_braking,baseline,0,False,False,11
DETOUR-static,DETOUR-static,failure_discovery,static,SUT-A,0,19,141,cutin:g=7.07997788:dv=-5.21698626:mode=lead_braking,baseline,0,True,True,12
DETOUR-static,DETOUR-static,failure_discovery,static,SUT-A,0,20,66,cutin:g=11.31636085:dv=-2.09831128:mode=cutin_braking,baseline,0,False,False,12
Random,Random,failure_discovery,static,SUT-A,0,1,93,cutin:g=10.19486166:dv=-3.46436394:mode=cutin_braking,baseline,0,True,True,1
