target_sut,seed,min_ratio,max_ratio,min_count,max_count,m_neighbors,w_streak,selected_count,failure_count,failure_ratio,recall,critical_count,stop_reason
SUT-A,0,0.05,0.4,10,20,2,3,20,12,0.6,0.36363636363636365,13,max_count_reached
SUT-A,1,0.05,0.4,10,20,2,3,20,12,0.6,0.36363636363636365,17,max_count_reached
SUT-A,2,0.05,0.4,10,20,2,3,20,12,0.6,0.36363636363636365,16,max_count_reached
SUT-A,3,0.05,0.4,10,20,2,3,20,15,0.75,0.45454545454545453,16,max_count_reached
SUT-A,4,0.05,0.4,10,20,2,3,20,14,0.7,0.42424242424242425,16,max_count_reached
SUT-A,5,0.05,0.4,10,20,2,3,20,13,0.65,0.3939393939393939,16,max_count_reached
SUT-A,6,0.05,0.4,10,20,2,3,20,10,0.5,0.30303030303030304,14,max_count_reached
SUT-A,7,0.05,0.4,10,20,2,3,20,12,0.6,0.36363636363636365,12,max_count_reached
SUT-A,8,0.05,0.4,10,20,2,3,20,10,0.5,0.30303030303030304,15,max_count_reached
SUT-A,9,0.05,0.4,10,20,2,3,20,16,0.8,0.48484848484848486,17,max_count_reached
SUT-A,10,0.05,0.4,10,20,2,3,20,14,0.7,0.42424242424242425,16,max_count_reached
SUT-A,11,0.05,0.4,10,20,2,3,20,9,0.45,0.2727272727272727,12,max_count_reached
SUT-A,12,0.05,0.4,10,20,2,3,20,12,0.6,0.36363636363636365,14,max_count_reached
SUT-A,13,0.05,0.4,10,20,2,3,20,13,0.65,0.3939393939393939,14,max_count_reached
SUT-A,14,0.05,0.4,10,20,2,3,20,12,0.6,0.36363636363636365,15,max_count_reached
SUT-A,15,0.05,0.4,10,20,2,3,20,13,0.65,0.3939393939393939,16,max_count_reached
SUT-A,16,0.05,0.4,10,20,2,3,20,13,0.65,0.3939393939393939,16,max_count_reached
SUT-A,17,0.05,0.4,10,20,2,3,20,10,0.5,0.30303030303030304,12,max_count_reached
SUT-A,18,0.05,0.4,10,20,2,3,20,9,0.45,0.2727272727272727,13,max_count_reached
SUT-A,19,0.05,0.4,10,20,2,3,20,12,0.6,0.36363636363636365,13,max_count_reached
SUT-A,0,0.05,0.4,10,20,2,4,20,12,0.6,0.36363636363636365,13,max_count_reached
SUT-A,1,0.05,0.4,10,20,2,4,20,12,0.6,0.36363636363636365,17,max_count_reached
SUT-A,2,0.05,0.4,10,20,2,4,20,12,0.6,0.36363636363636365,16,max_count_reached
SUT-A,3,0.05,0.4,10,20,2,4,20,15,0.75,0.45454545454545453,16,max_count_reached
SUT-A,4,0.05,0.4,10,20,2,4,20,14,0.7,0.42424242424242425,16,max_count_reached
SUT-A,5,0.05,0.4,10,20,2,4,20,13,0.65,0.3939393939393939,16,max_count_reached
SUT-A,6,0.05,0.4,10,20,2,4,20,10,0.5,0.30303030303030304,14,max_count_reached
SUT-A,7,0.05,0.4,10,20,2,4,20,12,0.6,0.36363636363636365,12,max_count_reached
SUT-A,8,0.05,0.4,10,20,2,4,20,10,0.5,0.30303030303030304,15,max_count_reached
SUT-A,9,0.05,0.4,10,20,2,4,20,16,0.8,0.48484848484848486,17,max_count_reached
SUT-A,10,0.05,0.4,10,20,2,4,20,14,0.7,0.42424242424242425,16,max_count_reached
SUT-A,11,0.05,0.4,10,20,2,4,20,9,0.45,0.2727272727272727,12,max_count_reached
SUT-A,12,0.05,0.4,10,20,2,4,20,12,0.6,0.36363636363636365,14,max_count_reached
SUT-A,13,0.05,0.4,10,20,2,4,20,13,0.65,0.3939393939393939,14,max_count_reached
SUT-A,14,0.05,0.4,10,20,2,4,20,12,0.6,0.36363636363636365,15,max_count_reached
SUT-A,15,0.05,0.4,10,20,2,4,20,13,0.65,0.3939393939393939,16,max_count_reached
SUT-A,16,0.05,0.4,10,20,2,4,20,13,0.65,0.3939393939393939,16,max_count_reached
SUT-A,17,0.05,0.4,10,20,2,4,20,10,0.5,0.30303030303030304,12,max_count_reached
SUT-A,18,0.05,0.4,10,20,2,4,20,9,0.45,0.2727272727272727,13,max_count_reached
SUT-A,19,0.05,0.4,10,20,2,4,20,12,0.6,0.36363636363636365,13,max_count_reached
SUT-A,0,0.05,0.4,10,20,2,5,20,12,0.6,0.36363636363636365,13,max_count_reached
SUT-A,1,0.05,0.4,10,20,2,5,20,12,0.6,0.36363636363636365,17,max_count_reached
SUT-A,2,0.05,0.4,10,20,2,5,20,12,0.6,0.36363636363636365,16,max_count_reached
SUT-A,3,0.05,0.4,10,20,2,5,20,15,0.75,0.45454545454545453,16,max_count_reached
SUT-A,4,0.05,0.4,10,20,2,5,20,14,0.7,0.42424242424242425,16,max_count_reached
SUT-A,5,0.05,0.4,10,20,2,5,20,13,0.65,0.3939393939393939,16,max_count_reached
SUT-A,6,0.05,0.4,10,20,2,5,20,10,0.5,0.30303030303030304,14,max_count_reached
SUT-A,7,0.05,0.4,10,20,2,5,20,12,0.6,0.36363636363636365,12,max_count_reached
SUT-A,8,0.05,0.4,10,20,2,5,20,10,0.5,0.30303030303030304,15,max_count_reached
SUT-A,9,0.05,0.4,10,20,2,5,20,16,0.8,0.48484848484848486,17,max_count_reached
SUT-A,10,0.05,0.4,10,20,2,5,20,14,0.7,0.42424242424242425,16,max_count_reached
SUT-A,11,0.05,0.4,10,20,2,5,20,9,0.45,0.2727272727272727,12,max_count_reached
SUT-A,12,0.05,0.4,10,20,2,5,20,12,0.6,0.36363636363636365,14,max_count_reached
SUT-A,13,0.05,0.4,10,20,2,5,20,13,0.65,0.3939393939393939,14,max_count_reached
SUT-A,14,0.05,0.4,10,20,2,5,20,12,0.6,0.36363636363636365,15,max_count_reached
SUT-A,15,0.05,0.4,10,20,2,5,20,13,0.65,0.3939393939393939,16,max_count_reached
SUT-A,16,0.05,0.4,10,20,2,5,20,13,0.65,0.3939393939393939,16,max_count_reached
SUT-A,17,0.05,0.4,10,20,2,5,20,10,0.5,0.30303030303030304,12,max_count_reached
SUT-A,18,0.05,0.4,10,20,2,5,20,9,0.45,0.2727272727272727,13,max_count_reached
SUT-A,19,0.05,0.4,10,20,2,5,20,12,0.6,0.36363636363636365,13,max_count_reached
SUT-A,0,0.05,0.4,10,20,3,3,20,12,0.6,0.36363636363636365,13,max_count_reached
SUT-A,1,0.05,0.4,10,20,3,3,20,12,0.6,0.36363636363636365,17,max_count_reached
SUT-A,2,0.05,0.4,10,20,3,3,20,12,0.6,0.36363636363636365,16,max_count_reached
SUT-A,3,0.05,0.4,10,20,3,3,20,15,0.75,0.45454545454545453,16,max_count_reached
SUT-A,4,0.05,0.4,10,20,3,3,20,14,0.7,0.42424242424242425,16,max_count_reached
SUT-A,5,0.05,0.4,10,20,3,3,20,13,0.65,0.3939393939393939,16,max_count_reached
SUT-A,6,0.05,0.4,10,20,3,3,20,10,0.5,0.30303030303030304,14,max_count_reached
SUT-A,7,0.05,0.4,10,20,3,3,20,12,0.6,0.36363636363636365,12,max_count_reached
SUT-A,8,0.05,0.4,10,20,3,3,20,10,0.5,0.30303030303030304,15,max_count_reached
SUT-A,9,0.05,0.4,10,20,3,3,20,16,0.8,0.48484848484848486,17,max_count_reached
SUT-A,10,0.05,0.4,10,20,3,3,20,14,0.7,0.42424242424242425,16,max_count_reached
SUT-A,11,0.05,0.4,10,20,3,3,20,9,0.45,0.2727272727272727,12,max_count_reached
SUT-A,12,0.05,0.4,10,20,3,3,20,12,0.6,0.36363636363636365,14,max_count_reached
SUT-A,13,0.05,0.4,10,20,3,3,20,13,0.65,0.3939393939393939,14,max_count_reached
SUT-A,14,0.05,0.4,10,20,3,3,20,12,0.6,0.36363636363636365,15,max_count_reached
SUT-A,15,0.05,0.4,10,20,3,3,20,13,0.65,0.3939393939393939,16,max_count_reached
SUT-A,16,0.05,0.4,10,20,3,3,20,13,0.65,0.3939393939393939,16,max_count_reached
SUT-A,17,0.05,0.4,10,20,3,3,20,10,0.5,0.30303030303030304,12,max_count_reached
SUT-A,18,0.05,0.4,10,20,3,3,20,9,0.45,0.2727272727272727,13,max_count_reached
SUT-A,19,0.05,0.4,10,20,3,3,20,12,0.6,0.36363636363636365,13,max_count_reached
SUT-A,0,0.05,0.4,10,20,3,4,20,12,0.6,0.36363636363636365,13,max_count_reached
SUT-A,1,0.05,0.4,10,20,3,4,20,12,0.6,0.36363636363636365,17,max_count_reached
SUT-A,2,0.05,0.4,10,20,3,4,20,12,0.6,0.36363636363636365,16,max_count_reached
SUT-A,3,0.05,0.4,10,20,3,4,20,15,0.75,0.45454545454545453,16,max_count_reached
SUT-A,4,0.05,0.4,10,20,3,4,20,14,0.7,0.42424242424242425,16,max_count_reached
SUT-A,5,0.05,0.4,10,20,3,4,20,13,0.65,0.3939393939393939,16,max_count_reached
SUT-A,6,0.05,0.4,10,20,3,4,20,10,0.5,0.30303030303030304,14,max_count_reached
SUT-A,7,0.05,0.4,10,20,3,4,20,12,0.6,0.36363636363636365,12,max_count_reached
SUT-A,8,0.05,0.4,10,20,3,4,20,10,0.5,0.30303030303030304,15,max_count_reached
SUT-A,9,0.05,0.4,10,20,3,4,20,16,0.8,0.48484848484848486,17,max_count_reached
SUT-A,10,0.05,0.4,10,20,3,4,20,14,0.7,0.42424242424242425,16,max_count_reached
SUT-A,11,0.05,0.4,10,20,3,4,20,9,0.45,0.2727272727272727,12,max_count_reached
SUT-A,12,0.05,0.4,10,20,3,4,20,12,0.6,0.36363636363636365,14,max_count_reached
SUT-A,13,0.05,0.4,10,20,3,4,20,13,0.65,0.3939393939393939,14,max_count_reached
SUT-A,14,0.05,0.4,10,20,3,4,20,12,0.6,0.36363636363636365,15,max_count_reached
SUT-A,15,0.05,0.4,10,20,3,4,20,13,0.65,0.3939393939393939,16,max_count_reached
SUT-A,16,0.05,0.4,10,20,3,4,20,13,0.65,0.3939393939393939,16,max_count_reached
SUT-A,17,0.05,0.4,10,20,3,4,20,10,0.5,0.30303030303030304,12,max_count_reached
