method,target_sut,seed,step,selected_index,safe_neighbor,safe_neighbor_streak,reason,min_ratio,max_ratio,m_neighbors,w_streak
DETOUR-static,SUT-A,0,1,111,,0,selected,,,,
DETOUR-static,SUT-A,0,2,1,,0,selected,,,,
DETOUR-static,SUT-A,0,3,143,,0,selected,,,,
DETOUR-static,SUT-A,0,4,35,,0,selected,,,,
DETOUR-static,SUT-A,0,5,173,,0,selected,,,,
DETOUR-static,SUT-A,0,6,7,,0,selected,,,,
DETOUR-static,SUT-A,0,7,74,,0,selected,,,,
DETOUR-static,SUT-A,0,8,157,,0,selected,,,,
DETOUR-static,SUT-A,0,9,153,,0,selected,,,,
DETOUR-static,SUT-A,0,10,145,,0,selected,,,,
DETOUR-static,SUT-A,0,11,55,,0,selected,,,,
DETOUR-static,SUT-A,0,12,125,,0,selected,,,,
DETOUR-static,SUT-A,0,13,181,,0,selected,,,,
DETOUR-static,SUT-A,0,14,101,,0,selected,,,,
DETOUR-static,SUT-A,0,15,113,,0,selected,,,,
DETOUR-static,SUT-A,0,16,90,,0,selected,,,,
DETOUR-static,SUT-A,0,17,69,,0,selected,,,,
DETOUR-static,SUT-A,0,18,105,,0,selected,,,,
DETOUR-static,SUT-A,0,19,141,,0,selected,,,,
DETOUR-static,SUT-A,0,20,66,,0,selected,,,,
DETOUR-static,SUT-A,0,20,,,0,budget_reached,,,,
DETOUR-within-SUT-static,SUT-A,0,1,46,,0,selected,,,,
DETOUR-within-SUT-static,SUT-A,0,2,24,,0,selected,,,,
DETOUR-within-SUT-static,SUT-A,0,3,90,,0,selected,,,,
DETOUR-within-SUT-static,SUT-A,0,4,78,,0,selected,,,,
DETOUR-within-SUT-static,SUT-A,0,5,3,,0,selected,,,,
DETOUR-within-SUT-static,SUT-A,0,6,21,,0,selected,,,,
DETOUR-within-SUT-static,SUT-A,0,7,37,,0,selected,,,,
DETOUR-within-SUT-static,SUT-A,0,8,40,,0,selected,,,,
DETOUR-within-SUT-static,SUT-A,0,9,47,,0,selected,,,,
DETOUR-within-SUT-static,SUT-A,0,10,61,,0,selected,,,,
DETOUR-within-SUT-static,SUT-A,0,11,87,,0,selected,,,,
DETOUR-within-SUT-static,SUT-A,0,12,66,,0,selected,,,,
DETOUR-within-SUT-static,SUT-A,0,13,9,,0,selected,,,,
DETOUR-within-SUT-static,SUT-A,0,14,19,,0,selected,,,,
DETOUR-within-SUT-static,SUT-A,0,15,2,,0,selected,,,,
DETOUR-within-SUT-static,SUT-A,0,16,72,,0,selected,,,,
DETOUR-within-SUT-static,SUT-A,0,17,4,,0,selected,,,,
DETOUR-within-SUT-static,SUT-A,0,18,64,,0,selected,,,,
DETOUR-within-SUT-static,SUT-A,0,19,12,,0,selected,,,,
DETOUR-within-SUT-static,SUT-A,0,20,1,,0,selected,,,,
DETOUR-within-SUT-static,SUT-A,0,20,,,0,budget_reached,,,,
DETOUR-static,SUT-A,1,1,24,,0,selected,,,,
DETOUR-static,SUT-A,1,2,113,,0,selected,,,,
DETOUR-static,SUT-A,1,3,151,,0,selected,,,,
DETOUR-static,SUT-A,1,4,0,,0,selected,,,,
DETOUR-static,SUT-A,1,5,121,,0,selected,,,,
DETOUR-static,SUT-A,1,6,99,,0,selected,,,,
DETOUR-static,SUT-A,1,7,109,,0,selected,,,,
DETOUR-static,SUT-A,1,8,165,,0,selected,,,,
DETOUR-static,SUT-A,1,9,23,,0,selected,,,,
DETOUR-static,SUT-A,1,10,63,,0,selected,,,,
DETOUR-static,SUT-A,1,11,101,,0,selected,,,,
DETOUR-static,SUT-A,1,12,143,,0,selected,,,,
DETOUR-static,SUT-A,1,13,145,,0,selected,,,,
DETOUR-static,SUT-A,1,14,40,,0,selected,,,,
DETOUR-static,SUT-A,1,15,138,,0,selected,,,,
DETOUR-static,SUT-A,1,16,69,,0,selected,,,,
DETOUR-static,SUT-A,1,17,161,,0,selected,,,,
DETOUR-static,SUT-A,1,18,55,,0,selected,,,,
DETOUR-static,SUT-A,1,19,185,,0,selected,,,,
DETOUR-static,SUT-A,1,20,89,,0,selected,,,,
DETOUR-static,SUT-A,1,20,,,0,budget_reached,,,,
DETOUR-within-SUT-static,SUT-A,1,1,24,,0,selected,,,,
DETOUR-within-SUT-static,SUT-A,1,2,38,,0,selected,,,,
DETOUR-within-SUT-static,SUT-A,1,3,45,,0,selected,,,,
DETOUR-within-SUT-static,SUT-A,1,4,46,,0,selected,,,,
DETOUR-within-SUT-static,SUT-A,1,5,78,,0,selected,,,,
DETOUR-within-SUT-static,SUT-A,1,6,4,,0,selected,,,,
DETOUR-within-SUT-static,SUT-A,1,7,87,,0,selected,,,,
DETOUR-within-SUT-static,SUT-A,1,8,3,,0,selected,,,,
DETOUR-within-SUT-static,SUT-A,1,9,26,,0,selected,,,,
DETOUR-within-SUT-static,SUT-A,1,10,21,,0,selected,,,,
DETOUR-within-SUT-static,SUT-A,1,11,66,,0,selected,,,,
DETOUR-within-SUT-static,SUT-A,1,12,9,,0,selected,,,,
DETOUR-within-SUT-static,SUT-A,1,13,72,,0,selected,,,,
DETOUR-within-SUT-static,SUT-A,1,14,19,,0,selected,,,,
DETOUR-within-SUT-static,SUT-A,1,15,64,,0,selected,,,,
DETOUR-within-SUT-static,SUT-A,1,16,90,,0,selected,,,,
DETOUR-within-SUT-static,SUT-A,1,17,81,,0,selected,,,,
DETOUR-within-SUT-static,SUT-A,1,18,1,,0,selected,,,,
DETOUR-within-SUT-static,SUT-A,1,19,37,,0,selected,,,,
DETOUR-within-SUT-static,SUT-A,1,20,61,,0,selected,,,,
DETOUR-within-SUT-static,SUT-A,1,20,,,0,budget_reached,,,,
DETOUR-static,SUT-A,2,1,145,,0,selected,,,,
DETOUR-static,SUT-A,2,2,173,,0,selected,,,,
DETOUR-static,SUT-A,2,3,69,,0,selected,,,,
DETOUR-static,SUT-A,2,4,11,,0,selected,,,,
DETOUR-static,SUT-A,2,5,165,,0,selected,,,,
DETOUR-static,SUT-A,2,6,39,,0,selected,,,,
DETOUR-static,SUT-A,2,7,161,,0,selected,,,,
DETOUR-static,SUT-A,2,8,7,,0,selected,,,,
DETOUR-static,SUT-A,2,9,151,,0,selected,,,,
DETOUR-static,SUT-A,2,10,189,,0,selected,,,,
DETOUR-static,SUT-A,2,11,40,,0,selected,,,,
DETOUR-static,SUT-A,2,12,90,,0,selected,,,,
DETOUR-static,SUT-A,2,13,143,,0,selected,,,,
DETOUR-static,SUT-A,2,14,177,,0,selected,,,,
DETOUR-static,SUT-A,2,15,157,,0,selected,,,,
DETOUR-static,SUT-A,2,16,15,,0,selected,,,,
DETOUR-static,SUT-A,2,17,185,,0,selected,,,,
DETOUR-static,SUT-A,2,18,181,,0,selected,,,,
DETOUR-static,SUT-A,2,19,103,,0,selected,,,,
DETOUR-static,SUT-A,2,20,133,,0,selected,,,,
DETOUR-static,SUT-A,2,20,,,0,budget_reached,,,,
DETOUR-within-SUT-static,SUT-A,2,1,90,,0,selected,,,,
DETOUR-within-SUT-static,SUT-A,2,2,78,,0,selected,,,,
DETOUR-within-SUT-static,SUT-A,2,3,66,,0,selected,,,,
DETOUR-within-SUT-static,SUT-A,2,4,72,,0,selected,,,,
DETOUR-within-SUT-static,SUT-A,2,5,37,,0,selected,,,,
DETOUR-within-SUT-static,SUT-A,2,6,64,,0,selected,,,,
DETOUR-within-SUT-static,SUT-A,2,7,87,,0,selected,,,,
DETOUR-within-SUT-static,SUT-A,2,8,3,,0,selected,,,,
DETOUR-within-SUT-static,SUT-A,2,9,81,,0,selected,,,,
DETOUR-within-SUT-static,SUT-A,2,10,21,,0,selected,,,,
DETOUR-within-SUT-static,SUT-A,2,11,38,,0,selected,,,,
DETOUR-within-SUT-static,SUT-A,2,12,61,,0,selected,,,,
DETOUR-within-SUT-static,SUT-A,2,13,9,,0,selected,,,,
DETOUR-within-SUT-static,SUT-A,2,14,24,,0,selected,,,,
DETOUR-within-SUT-static,SUT-A,2,15,32,,0,selected,,,,
DETOUR-within-SUT-static,SUT-A,2,16,46,,0,selected,,,,
DETOUR-within-SUT-static,SUT-A,2,17,63,,0,selected,,,,
DETOUR-within-SUT-static,SUT-A,2,18,75,,0,selected,,,,
DETOUR-within-SUT-static,SUT-A,2,19,2,,0,selected,,,,
DETOUR-within-SUT-static,SUT-A,2,20,19,,0,selected,,,,
DETOUR-within-SUT-static,SUT-A,2,20,,,0,budget_reached,,,,
DETOUR-static,SUT-A,3,1,173,,0,selected,,,,
DETOUR-static,SUT-A,3,2,113,,0,selected,,,,
DETOUR-static,SUT-A,3,3,7,,0,selected,,,,
DETOUR-static,SUT-A,3,4,101,,0,selected,,,,
DETOUR-static,SUT-A,3,5,123,,0,selected,,,,
DETOUR-static,SUT-A,3,6,89,,0,selected,,,,
DETOUR-static,SUT-A,3,7,65,,0,selected,,,,
DETOUR-static,SUT-A,3,8,157,,0,selected,,,,
DETOUR-static,SUT-A,3,9,125,,0,selected,,,,
DETOUR-static,SUT-A,3,10,141,,0,selected,,,,
DETOUR-static,SUT-A,3,11,137,,0,selected,,,,
DETOUR-static,SUT-A,3,12,15,,0,selected,,,,
DETOUR-static,SUT-A,3,13,77,,0,selected,,,,
DETOUR-static,SUT-A,3,14,181,,0,selected,,,,
DETOUR-static,SUT-A,3,15,153,,0,selected,,,,
DETOUR-static,SUT-A,3,16,109,,0,selected,,,,
DETOUR-static,SUT-A,3,17,24,,0,selected,,,,
DETOUR-static,SUT-A,3,18,95,,0,selected,,,,
DETOUR-static,SUT-A,3,19,71,,0,selected,,,,
DETOUR-static,SUT-A,3,20,145,,0,selected,,,,
DETOUR-static,SUT-A,3,20,,,0,budget_reached,,,,
DETOUR-within-SUT-static,SUT-A,3,1,78,,0,selected,,,,
DETOUR-within-SUT-static,SUT-A,3,2,24,,0,selected,,,,
DETOUR-within-SUT-static,SUT-A,3,3,3,,0,selected,,,,
DETOUR-within-SUT-static,SUT-A,3,4,66,,0,selected,,,,
DETOUR-within-SUT-static,SUT-A,3,5,38,,0,selected,,,,
DETOUR-within-SUT-static,SUT-A,3,6,72,,0,selected,,,,
DETOUR-within-SUT-static,SUT-A,3,7,64,,0,selected,,,,
DETOUR-within-SUT-static,SUT-A,3,8,21,,0,selected,,,,
DETOUR-within-SUT-static,SUT-A,3,9,87,,0,selected,,,,
DETOUR-within-SUT-static,SUT-A,3,10,37,,0,selected,,,,
DETOUR-within-SUT-static,SUT-A,3,11,4,,0,selected,,,,
DETOUR-within-SUT-static,SUT-A,3,12,9,,0,selected,,,,
DETOUR-within-SUT-static,SUT-A,3,13,45,,0,selected,,,,
DETOUR-within-SUT-static,SUT-A,3,14,90,,0,selected,,,,
DETOUR-within-SUT-static,SUT-A,3,15,19,,0,selected,,,,
DETOUR-within-SUT-static,SUT-A,3,16,81,,0,selected,,,,
DETOUR-within-SUT-static,SUT-A,3,17,1,,0,selected,,,,
DETOUR-within-SUT-static,SUT-A,3,18,61,,0,selected,,,,
DETOUR-within-SUT-static,SUT-A,3,19,46,,0,selected,,,,
DETOUR-within-SUT-static,SUT-A,3,20,63,,0,selected,,,,
DETOUR-within-SUT-static,SUT-A,3,20,,,0,budget_reached,,,,
DETOUR-static,SUT-A,4,1,74,,0,selected,,,,
DETOUR-static,SUT-A,4,2,59,,0,selected,,,,
DETOUR-static,SUT-A,4,3,138,,0,selected,,,,
DETOUR-static,SUT-A,4,4,23,,0,selected,,,,
DETOUR-static,SUT-A,4,5,65,,0,selected,,,,
DETOUR-static,SUT-A,4,6,145,,0,selected,,,,
DETOUR-static,SUT-A,4,7,69,,0,selected,,,,
DETOUR-static,SUT-A,4,8,85,,0,selected,,,,
DETOUR-static,SUT-A,4,9,173,,0,selected,,,,
DETOUR-static,SUT-A,4,10,39,,0,selected,,,,
DETOUR-static,SUT-A,4,11,181,,0,selected,,,,
DETOUR-static,SUT-A,4,12,98,,0,selected,,,,
DETOUR-static,SUT-A,4,13,77,,0,selected,,,,
DETOUR-static,SUT-A,4,14,71,,0,selected,,,,
DETOUR-static,SUT-A,4,15,162,,0,selected,,,,
DETOUR-static,SUT-A,4,16,31,,0,selected,,,,
DETOUR-static,SUT-A,4,17,106,,0,selected,,,,
DETOUR-static,SUT-A,4,18,157,,0,selected,,,,
DETOUR-static,SUT-A,4,19,11,,0,selected,,,,
DETOUR-static,SUT-A,4,20,15,,0,selected,,,,
DETOUR-static,SUT-A,4,20,,,0,budget_reached,,,,
DETOUR-within-SUT-static,SUT-A,4,1,3,,0,selected,,,,
DETOUR-within-SUT-static,SUT-A,4,2,78,,0,selected,,,,
DETOUR-within-SUT-static,SUT-A,4,3,21,,0,selected,,,,
DETOUR-within-SUT-static,SUT-A,4,4,46,,0,selected,,,,
DETOUR-within-SUT-static,SUT-A,4,5,24,,0,selected,,,,
DETOUR-within-SUT-static,SUT-A,4,6,4,,0,selected,,,,
DETOUR-within-SUT-static,SUT-A,4,7,90,,0,selected,,,,
DETOUR-within-SUT-static,SUT-A,4,8,87,,0,selected,,,,
DETOUR-within-SUT-static,SUT-A,4,9,37,,0,selected,,,,
DETOUR-within-SUT-static,SUT-A,4,10,66,,0,selected,,,,
DETOUR-within-SUT-static,SUT-A,4,11,72,,0,selected,,,,
DETOUR-within-SUT-static,SUT-A,4,12,32,,0,selected,,,,
DETOUR-within-SUT-static,SUT-A,4,13,9,,0,selected,,,,
DETOUR-within-SUT-static,SUT-A,4,14,64,,0,selected,,,,
DETOUR-within-SUT-static,SUT-A,4,15,44,,0,selected,,,,
DETOUR-within-SUT-static,SUT-A,4,16,19,,0,selected,,,,
DETOUR-within-SUT-static,SUT-A,4,17,38,,0,selected,,,,
DETOUR-within-SUT-static,SUT-A,4,18,61,,0,selected,,,,
DETOUR-within-SUT-static,SUT-A,4,19,1,,0,selected,,,,
DETOUR-within-SUT-static,SUT-A,4,20,81,,0,selected,,,,
DETOUR-within-SUT-static,SUT-A,4,20,,,0,budget_reached,,,,
DETOUR-static,SUT-A,5,1,24,,0,selected,,,,
DETOUR-static,SUT-A,5,2,161,,0,selected,,,,
DETOUR-static,SUT-A,5,3,113,,0,selected,,,,
DETOUR-static,SUT-A,5,4,65,,0,selected,,,,
DETOUR-static,SUT-A,5,5,119,,0,selected,,,,
DETOUR-static,SUT-A,5,6,173,,0,selected,,,,
DETOUR-static,SUT-A,5,7,89,,0,selected,,,,
DETOUR-static,SUT-A,5,8,181,,0,selected,,,,
DETOUR-static,SUT-A,5,9,40,,0,selected,,,,
DETOUR-static,SUT-A,5,10,177,,0,selected,,,,
DETOUR-static,SUT-A,5,11,63,,0,selected,,,,
DETOUR-static,SUT-A,5,12,0,,0,selected,,,,
DETOUR-static,SUT-A,5,13,7,,0,selected,,,,
DETOUR-static,SUT-A,5,14,137,,0,selected,,,,
DETOUR-static,SUT-A,5,15,69,,0,selected,,,,
DETOUR-static,SUT-A,5,16,151,,0,selected,,,,
DETOUR-static,SUT-A,5,17,189,,0,selected,,,,
DETOUR-static,SUT-A,5,18,182,,0,selected,,,,
DETOUR-static,SUT-A,5,19,23,,0,selected,,,,
DETOUR-static,SUT-A,5,20,101,,0,selected,,,,
DETOUR-static,SUT-A,5,20,,,0,budget_reached,,,,
DETOUR-within-SUT-static,SUT-A,5,1,24,,0,selected,,,,
DETOUR-within-SUT-static,SUT-A,5,2,90,,0,selected,,,,
DETOUR-within-SUT-static,SUT-A,5,3,3,,0,selected,,,,
DETOUR-within-SUT-static,SUT-A,5,4,66,,0,selected,,,,
DETOUR-within-SUT-static,SUT-A,5,5,37,,0,selected,,,,
DETOUR-within-SUT-static,SUT-A,5,6,61,,0,selected,,,,
DETOUR-within-SUT-static,SUT-A,5,7,46,,0,selected,,,,
DETOUR-within-SUT-static,SUT-A,5,8,78,,0,selected,,,,
DETOUR-within-SUT-static,SUT-A,5,9,38,,0,selected,,,,
DETOUR-within-SUT-static,SUT-A,5,10,4,,0,selected,,,,
DETOUR-within-SUT-static,SUT-A,5,11,72,,0,selected,,,,
DETOUR-within-SUT-static,SUT-A,5,12,64,,0,selected,,,,
DETOUR-within-SUT-static,SUT-A,5,13,21,,0,selected,,,,
DETOUR-within-SUT-static,SUT-A,5,14,87,,0,selected,,,,
DETOUR-within-SUT-static,SUT-A,5,15,81,,0,selected,,,,
DETOUR-within-SUT-static,SUT-A,5,16,32,,0,selected,,,,
DETOUR-within-SUT-static,SUT-A,5,17,2,,0,selected,,,,
DETOUR-within-SUT-static,SUT-A,5,18,44,,0,selected,,,,
DETOUR-within-SUT-static,SUT-A,5,19,63,,0,selected,,,,
DETOUR-within-SUT-static,SUT-A,5,20,9,,0,selected,,,,
DETOUR-within-SUT-static,SUT-A,5,20,,,0,budget_reached,,,,
DETOUR-static,SUT-A,6,1,121,,0,selected,,,,
DETOUR-static,SUT-A,6,2,111,,0,selected,,,,
DETOUR-static,SUT-A,6,3,137,,0,selected,,,,
DETOUR-static,SUT-A,6,4,1,,0,selected,,,,
DETOUR-static,SUT-A,6,5,101,,0,selected,,,,
DETOUR-static,SUT-A,6,6,89,,0,selected,,,,
DETOUR-static,SUT-A,6,7,161,,0,selected,,,,
DETOUR-static,SUT-A,6,8,71,,0,selected,,,,
DETOUR-static,SUT-A,6,9,165,,0,selected,,,,
DETOUR-static,SUT-A,6,10,55,,0,selected,,,,
DETOUR-static,SUT-A,6,11,81,,0,selected,,,,
DETOUR-static,SUT-A,6,12,39,,0,selected,,,,
DETOUR-static,SUT-A,6,13,65,,0,selected,,,,
DETOUR-static,SUT-A,6,14,113,,0,selected,,,,
DETOUR-static,SUT-A,6,15,125,,0,selected,,,,
DETOUR-static,SUT-A,6,16,169,,0,selected,,,,
DETOUR-static,SUT-A,6,17,21,,0,selected,,,,
DETOUR-static,SUT-A,6,18,109,,0,selected,,,,
DETOUR-static,SUT-A,6,19,138,,0,selected,,,,
DETOUR-static,SUT-A,6,20,119,,0,selected,,,,
DETOUR-static,SUT-A,6,20,,,0,budget_reached,,,,
DETOUR-within-SUT-static,SUT-A,6,1,46,,0,selected,,,,
DETOUR-within-SUT-static,SUT-A,6,2,90,,0,selected,,,,
DETOUR-within-SUT-static,SUT-A,6,3,24,,0,selected,,,,
DETOUR-within-SUT-static,SUT-A,6,4,78,,0,selected,,,,
DETOUR-within-SUT-static,SUT-A,6,5,87,,0,selected,,,,
DETOUR-within-SUT-static,SUT-A,6,6,66,,0,selected,,,,
DETOUR-within-SUT-static,SUT-A,6,7,38,,0,selected,,,,
DETOUR-within-SUT-static,SUT-A,6,8,32,,0,selected,,,,
DETOUR-within-SUT-static,SUT-A,6,9,45,,0,selected,,,,
DETOUR-within-SUT-static,SUT-A,6,10,72,,0,selected,,,,
DETOUR-within-SUT-static,SUT-A,6,11,4,,0,selected,,,,
DETOUR-within-SUT-static,SUT-A,6,12,3,,0,selected,,,,
DETOUR-within-SUT-static,SUT-A,6,13,40,,0,selected,,,,
DETOUR-within-SUT-static,SUT-A,6,14,21,,0,selected,,,,
DETOUR-within-SUT-static,SUT-A,6,15,26,,0,selected,,,,
DETOUR-within-SUT-static,SUT-A,6,16,44,,0,selected,,,,
DETOUR-within-SUT-static,SUT-A,6,17,61,,0,selected,,,,
DETOUR-within-SUT-static,SUT-A,6,18,2,,0,selected,,,,
DETOUR-within-SUT-static,SUT-A,6,19,47,,0,selected,,,,
DETOUR-within-SUT-static,SUT-A,6,20,9,,0,selected,,,,
DETOUR-within-SUT-static,SUT-A,6,20,,,0,budget_reached,,,,
DETOUR-static,SUT-A,7,1,39,,0,selected,,,,
DETOUR-static,SUT-A,7,2,71,,0,selected,,,,
DETOUR-static,SUT-A,7,3,55,,0,selected,,,,
DETOUR-static,SUT-A,7,4,111,,0,selected,,,,
DETOUR-static,SUT-A,7,5,123,,0,selected,,,,
DETOUR-static,SUT-A,7,6,182,,0,selected,,,,
DETOUR-static,SUT-A,7,7,41,,0,selected,,,,
DETOUR-static,SUT-A,7,8,113,,0,selected,,,,
DETOUR-static,SUT-A,7,9,11,,0,selected,,,,
DETOUR-static,SUT-A,7,10,177,,0,selected,,,,
DETOUR-static,SUT-A,7,11,173,,0,selected,,,,
DETOUR-static,SUT-A,7,12,133,,0,selected,,,,
DETOUR-static,SUT-A,7,13,157,,0,selected,,,,
DETOUR-static,SUT-A,7,14,74,,0,selected,,,,
DETOUR-static,SUT-A,7,15,89,,0,selected,,,,
DETOUR-static,SUT-A,7,16,179,,0,selected,,,,
DETOUR-static,SUT-A,7,17,117,,0,selected,,,,
DETOUR-static,SUT-A,7,18,181,,0,selected,,,,
DETOUR-static,SUT-A,7,19,109,,0,selected,,,,
DETOUR-static,SUT-A,7,20,98,,0,selected,,,,
DETOUR-static,SUT-A,7,20,,,0,budget_reached,,,,
DETOUR-within-SUT-static,SUT-A,7,1,24,,0,selected,,,,
DETOUR-within-SUT-static,SUT-A,7,2,4,,0,selected,,,,
DETOUR-within-SUT-static,SUT-A,7,3,3,,0,selected,,,,
DETOUR-within-SUT-static,SUT-A,7,4,46,,0,selected,,,,
DETOUR-within-SUT-static,SUT-A,7,5,21,,0,selected,,,,
DETOUR-within-SUT-static,SUT-A,7,6,37,,0,selected,,,,
DETOUR-within-SUT-static,SUT-A,7,7,9,,0,selected,,,,
DETOUR-within-SUT-static,SUT-A,7,8,78,,0,selected,,,,
DETOUR-within-SUT-static,SUT-A,7,9,38,,0,selected,,,,
DETOUR-within-SUT-static,SUT-A,7,10,19,,0,selected,,,,
DETOUR-within-SUT-static,SUT-A,7,11,87,,0,selected,,,,
DETOUR-within-SUT-static,SUT-A,7,12,40,,0,selected,,,,
DETOUR-within-SUT-static,SUT-A,7,13,1,,0,selected,,,,
DETOUR-within-SUT-static,SUT-A,7,14,90,,0,selected,,,,
DETOUR-within-SUT-static,SUT-A,7,15,45,,0,selected,,,,
DETOUR-within-SUT-static,SUT-A,7,16,7,,0,selected,,,,
DETOUR-within-SUT-static,SUT-A,7,17,66,,0,selected,,,,
DETOUR-within-SUT-static,SUT-A,7,18,47,,0,selected,,,,
DETOUR-within-SUT-static,SUT-A,7,19,32,,0,selected,,,,
