task,protocol,method,target_sut,repeat,budget,metric,value,candidate_count,target_feedback
failure_discovery,shared_pool_static,Uniform-Mixture-H,SUT-A,0,5,collision_count,5.0,192,none
failure_discovery,shared_pool_static,Uniform-Mixture-H,SUT-A,0,5,precision,1.0,192,none
failure_discovery,shared_pool_static,Uniform-Mixture-H,SUT-A,0,5,recall,0.15151515151515152,192,none
failure_discovery,shared_pool_static,Uniform-Mixture-H,SUT-A,0,10,collision_count,10.0,192,none
failure_discovery,shared_pool_static,Uniform-Mixture-H,SUT-A,0,10,precision,1.0,192,none
failure_discovery,shared_pool_static,Uniform-Mixture-H,SUT-A,0,10,recall,0.30303030303030304,192,none
failure_discovery,shared_pool_static,Uniform-Mixture-H,SUT-A,0,20,collision_count,20.0,192,none
failure_discovery,shared_pool_static,Uniform-Mixture-H,SUT-A,0,20,precision,1.0,192,none
failure_discovery,shared_pool_static,Uniform-Mixture-H,SUT-A,0,20,recall,0.6060606060606061,192,none
failure_discovery,shared_pool_adaptive,AdaTE-Mixture-H-staticK4,SUT-A,0,5,collision_count,5.0,192,first four target outcomes
failure_discovery,shared_pool_adaptive,AdaTE-Mixture-H-staticK4,SUT-A,0,5,precision,1.0,192,first four target outcomes
failure_discovery,shared_pool_adaptive,AdaTE-Mixture-H-staticK4,SUT-A,0,5,recall,0.15151515151515152,192,first four target outcomes
failure_discovery,shared_pool_adaptive,AdaTE-Mixture-H-staticK4,SUT-A,0,10,collision_count,10.0,192,first four target outcomes
failure_discovery,shared_pool_adaptive,AdaTE-Mixture-H-staticK4,SUT-A,0,10,precision,1.0,192,first four target outcomes
failure_discovery,shared_pool_adaptive,AdaTE-Mixture-H-staticK4,SUT-A,0,10,recall,0.30303030303030304,192,first four target outcomes
failure_discovery,shared_pool_adaptive,AdaTE-Mixture-H-staticK4,SUT-A,0,20,collision_count,20.0,192,first four target outcomes
failure_discovery,shared_pool_adaptive,AdaTE-Mixture-H-staticK4,SUT-A,0,20,precision,1.0,192,first four target outcomes
failure_discovery,shared_pool_adaptive,AdaTE-Mixture-H-staticK4,SUT-A,0,20,recall,0.6060606060606061,192,first four target outcomes
failure_discovery,shared_pool_adaptive,AdaTE-Mixture-H-sequential,SUT-A,0,5,collision_count,5.0,192,previous target outcomes
failure_discovery,shared_pool_adaptive,AdaTE-Mixture-H-sequential,SUT-A,0,5,precision,1.0,192,previous target outcomes
failure_discovery,shared_pool_adaptive,AdaTE-Mixture-H-sequential,SUT-A,0,5,recall,0.15151515151515152,192,previous target outcomes
failure_discovery,shared_pool_adaptive,AdaTE-Mixture-H-sequential,SUT-A,0,10,collision_count,10.0,192,previous target outcomes
failure_discovery,shared_pool_adaptive,AdaTE-Mixture-H-sequential,SUT-A,0,10,precision,1.0,192,previous target outcomes
failure_discovery,shared_pool_adaptive,AdaTE-Mixture-H-sequential,SUT-A,0,10,recall,0.30303030303030304,192,previous target outcomes
failure_discovery,shared_pool_adaptive,AdaTE-Mixture-H-sequential,SUT-A,0,20,collision_count,20.0,192,previous target outcomes
failure_discovery,shared_pool_adaptive,AdaTE-Mixture-H-sequential,SUT-A,0,20,precision,1.0,192,previous target outcomes
failure_discovery,shared_pool_adaptive,AdaTE-Mixture-H-sequential,SUT-A,0,20,recall,0.6060606060606061,192,previous target outcomes
failure_discovery,shared_pool_static,Uniform-Mixture-H,SUT-B,0,5,collision_count,4.0,192,none
failure_discovery,shared_pool_static,Uniform-Mixture-H,SUT-B,0,5,precision,0.8,192,none
failure_discovery,shared_pool_static,Uniform-Mixture-H,SUT-B,0,5,recall,0.36363636363636365,192,none
failure_discovery,shared_pool_static,Uniform-Mixture-H,SUT-B,0,10,collision_count,7.0,192,none
failure_discovery,shared_pool_static,Uniform-Mixture-H,SUT-B,0,10,precision,0.7,192,none
failure_discovery,shared_pool_static,Uniform-Mixture-H,SUT-B,0,10,recall,0.6363636363636364,192,none
failure_discovery,shared_pool_static,Uniform-Mixture-H,SUT-B,0,20,collision_count,11.0,192,none
failure_discovery,shared_pool_static,Uniform-Mixture-H,SUT-B,0,20,precision,0.55,192,none
failure_discovery,shared_pool_static,Uniform-Mixture-H,SUT-B,0,20,recall,1.0,192,none
failure_discovery,shared_pool_adaptive,AdaTE-Mixture-H-staticK4,SUT-B,0,5,collision_count,4.0,192,first four target outcomes
failure_discovery,shared_pool_adaptive,AdaTE-Mixture-H-staticK4,SUT-B,0,5,precision,0.8,192,first four target outcomes
failure_discovery,shared_pool_adaptive,AdaTE-Mixture-H-staticK4,SUT-B,0,5,recall,0.36363636363636365,192,first four target outcomes
failure_discovery,shared_pool_adaptive,AdaTE-Mixture-H-staticK4,SUT-B,0,10,collision_count,7.0,192,first four target outcomes
failure_discovery,shared_pool_adaptive,AdaTE-Mixture-H-staticK4,SUT-B,0,10,precision,0.7,192,first four target outcomes
