task,protocol,method,budget,metric,mean,standard_deviation,records
failure_discovery,shared_pool_adaptive,AdaTE-Mixture-H-sequential,10,collision_count,9.5,1.224744871391589,6
failure_discovery,shared_pool_adaptive,AdaTE-Mixture-H-sequential,10,precision,0.9500000000000001,0.1224744871391589,6
failure_discovery,shared_pool_adaptive,AdaTE-Mixture-H-sequential,10,recall,0.36424526653308736,0.2280297391607824,6
failure_discovery,shared_pool_adaptive,AdaTE-Mixture-H-sequential,20,collision_count,17.0,4.6475800154489,6
failure_discovery,shared_pool_adaptive,AdaTE-Mixture-H-sequential,20,precision,0.85,0.232379000772445,6
failure_discovery,shared_pool_adaptive,AdaTE-Mixture-H-sequential,20,recall,0.5830359876116293,0.254841712280983,6
failure_discovery,shared_pool_adaptive,AdaTE-Mixture-H-sequential,5,collision_count,4.833333333333333,0.408248290463863,6
failure_discovery,shared_pool_adaptive,AdaTE-Mixture-H-sequential,5,precision,0.9666666666666667,0.08164965809277258,6
failure_discovery,shared_pool_adaptive,AdaTE-Mixture-H-sequential,5,recall,0.18969839084230125,0.1257678276214128,6
failure_discovery,shared_pool_adaptive,AdaTE-Mixture-H-staticK4,10,collision_count,9.5,1.224744871391589,6
failure_discovery,shared_pool_adaptive,AdaTE-Mixture-H-staticK4,10,precision,0.9500000000000001,0.1224744871391589,6
failure_discovery,shared_pool_adaptive,AdaTE-Mixture-H-staticK4,10,recall,0.36424526653308736,0.2280297391607824,6
failure_discovery,shared_pool_adaptive,AdaTE-Mixture-H-staticK4,20,collision_count,17.5,3.987480407475377,6
failure_discovery,shared_pool_adaptive,AdaTE-Mixture-H-staticK4,20,precision,0.875,0.19937402037376883,6
failure_discovery,shared_pool_adaptive,AdaTE-Mixture-H-staticK4,20,recall,0.6163693209449627,0.28919673691573067,6
failure_discovery,shared_pool_adaptive,AdaTE-Mixture-H-staticK4,5,collision_count,4.833333333333333,0.408248290463863,6
failure_discovery,shared_pool_adaptive,AdaTE-Mixture-H-staticK4,5,precision,0.9666666666666667,0.08164965809277258,6
failure_discovery,shared_pool_adaptive,AdaTE-Mixture-H-staticK4,5,recall,0.18969839084230125,0.1257678276214128,6
failure_discovery,shared_pool_static,DETOUR-static,10,collision_count,6.225,2.8710742287322972,120
failure_discovery,shared_pool_static,DETOUR-static,10,precision,0.6225,0.28710742287322977,120
failure_discovery,shared_pool_static,DETOUR-static,10,recall,0.18564476973191954,0.07116209916276506,120
