target_sut,rank,scenario_index,scenario_id,mode,predicted_score,collision_offline
SUT-A,1,101,scenario-fe1e4ca2b41ed0fb,cutin_braking,0.9194343090057373,1
SUT-A,2,85,scenario-bad40c3c3ea5ceb4,cutin_braking,0.9139633774757385,1
SUT-A,3,77,scenario-0a415f7712d44321,cutin_braking,0.9095471501350403,1
SUT-A,4,125,scenario-bfa148db24406c10,cutin_braking,0.8987903594970703,1
SUT-A,5,113,scenario-c3670c2537a43922,cutin_braking,0.8981956243515015,1
SUT-A,6,117,scenario-bf6e88fc1aa57a68,cutin_braking,0.8948971033096313,1
SUT-A,7,69,scenario-1bef28d4fcaca6f8,cutin_braking,0.8863146901130676,1
SUT-A,8,65,scenario-d57ab87fcb42e824,cutin_braking,0.8241371512413025,1
SUT-A,9,141,scenario-bee4ba3225c28592,lead_braking,0.8238329887390137,1
SUT-A,10,181,scenario-21f14736d68a13f7,lead_braking,0.8234257102012634,1
SUT-A,11,157,scenario-357668b9f000a36d,lead_braking,0.8229681849479675,1
SUT-A,12,133,scenario-3f73f35437bc98bc,lead_braking,0.8222708106040955,1
SUT-A,13,173,scenario-c1ce45ea0214bf79,lead_braking,0.8205063939094543,1
SUT-A,14,189,scenario-0c0c4204a5bb7640,lead_braking,0.8198930025100708,1
SUT-A,15,106,scenario-d5a9bbf8357611bd,cutin_braking,0.8182178139686584,1
SUT-A,16,185,scenario-7aac12056265a655,lead_braking,0.816771924495697,1
SUT-A,17,145,scenario-20400b6e46c3d578,lead_braking,0.8151812553405762,1
SUT-A,18,55,scenario-0d6eb5fb4112742e,fast_intrusion,0.814956545829773,1
SUT-A,19,7,scenario-01499777d7711e28,fast_intrusion,0.8104638457298279,1
SUT-A,20,137,scenario-31fb577f26ed09ce,lead_braking,0.8042776584625244,1
SUT-A,21,165,scenario-b919431edf1a1ec0,lead_braking,0.7967740893363953,1
SUT-A,22,89,scenario-46088129a30f4cce,cutin_braking,0.7950405478477478,1
SUT-A,23,39,scenario-9e51236c824ccd38,fast_intrusion,0.7906612753868103,1
SUT-A,24,31,scenario-f9b9348eb0531b8e,fast_intrusion,0.7853641510009766,1
SUT-A,25,161,scenario-f1c9b4309b892151,lead_braking,0.779593825340271,0
SUT-A,26,11,scenario-8665931dd5fc8bce,fast_intrusion,0.7687918543815613,1
SUT-A,27,47,scenario-8a0b032a9ebe823b,fast_intrusion,0.7542634606361389,1
SUT-A,28,167,scenario-6e0d5c5ad4aed98c,lead_braking,0.7393919825553894,0
SUT-A,29,109,scenario-8bb053549e21e5e7,cutin_braking,0.7244638204574585,1
SUT-A,30,143,scenario-54d28dd916e5fd0f,lead_braking,0.7015110850334167,0
SUT-A,31,93,scenario-144c9cfa23f8b077,cutin_braking,0.6771794557571411,1
SUT-A,32,63,scenario-b3976f40974c4871,fast_intrusion,0.6244522333145142,1
SUT-A,33,71,scenario-77a103a544cb723f,cutin_braking,0.584551990032196,0
SUT-A,34,81,scenario-5afe12d99afe03bf,cutin_braking,0.5702993273735046,0
SUT-A,35,23,scenario-c3ac9b5365a4ab18,fast_intrusion,0.5455528497695923,1
SUT-A,36,153,scenario-df9da2b185a1d915,lead_braking,0.5450594425201416,0
SUT-A,37,151,scenario-09d12fa8f89dfdc8,lead_braking,0.5386523008346558,0
SUT-A,38,15,scenario-efa59bf3295d6dae,fast_intrusion,0.5273491740226746,0
SUT-A,39,111,scenario-d3f736c0f748bb5b,cutin_braking,0.5233100056648254,0
SUT-A,40,105,scenario-9be6ff23a9babea3,cutin_braking,0.5155172944068909,0
SUT-A,41,179,scenario-0d63f0fd42f1be83,lead_braking,0.5123417973518372,0
SUT-A,42,35,scenario-fe206516d3c60d2c,fast_intrusion,0.5109099745750427,0
SUT-A,43,90,scenario-3378193cffc16f8e,cutin_braking,0.484150767326355,0
SUT-A,44,21,scenario-6b310f1795a31eec,fast_intrusion,0.4740968942642212,0
SUT-A,45,59,scenario-d99c05eefec8adf7,fast_intrusion,0.47167056798934937,0
SUT-A,46,121,scenario-66c58d9a4d79dcb8,cutin_braking,0.44368526339530945,0
SUT-A,47,19,scenario-fd8a7d3791406dfd,fast_intrusion,0.4213506579399109,0
SUT-A,48,24,scenario-c3bc54eadb8f4558,fast_intrusion,0.4125542640686035,1
SUT-A,49,177,scenario-c816188f13699b1a,lead_braking,0.3749367296695709,0
SUT-A,50,40,scenario-4c43b69c194879c3,fast_intrusion,0.3105856478214264,0
SUT-A,51,83,scenario-58e09f5375f2247d,cutin_braking,0.3099403977394104,0
SUT-A,52,74,scenario-babecb5f1fcebd99,cutin_braking,0.29093843698501587,1
SUT-A,53,61,scenario-54ee2e347b15bf17,fast_intrusion,0.2784859240055084,0
SUT-A,54,27,scenario-71d3d263850a2deb,fast_intrusion,0.2765304148197174,0
SUT-A,55,66,scenario-695cad6feff6ca6f,cutin_braking,0.2567492723464966,0
SUT-A,56,0,scenario-469842c2c23d5d92,fast_intrusion,0.2528081238269806,0
SUT-A,57,149,scenario-dda7c8cf94b7fe38,lead_braking,0.2520182728767395,0
SUT-A,58,103,scenario-b61911044bf78287,cutin_braking,0.23124733567237854,0
SUT-A,59,119,scenario-733ef7ec6f0ec3cd,cutin_braking,0.21428197622299194,0
SUT-A,60,37,scenario-a311418630d7f0fd,fast_intrusion,0.15777309238910675,0
SUT-A,61,56,scenario-7d792c2f9d2e2172,fast_intrusion,0.15495511889457703,1
SUT-A,62,99,scenario-ce1be553b2aff244,cutin_braking,0.14760378003120422,0
SUT-A,63,95,scenario-54217bcde54af88f,cutin_braking,0.14618253707885742,0
SUT-A,64,97,scenario-82f938491e4c71b2,cutin_braking,0.13262242078781128,0
SUT-A,65,41,scenario-19fb78e9323e61ec,fast_intrusion,0.12640169262886047,0
SUT-A,66,51,scenario-ba2d6c9bd4c97493,fast_intrusion,0.12180984020233154,0
SUT-A,67,123,scenario-42789dcf0bdaa138,cutin_braking,0.12033720314502716,0
SUT-A,68,169,scenario-ff11a0c0ee6600c9,lead_braking,0.11930710077285767,0
SUT-A,69,98,scenario-dee0c048d0e570d7,cutin_braking,0.10339812189340591,0
SUT-A,70,114,scenario-93f6da08dff06c74,cutin_braking,0.09105470776557922,0
SUT-A,71,138,scenario-58a1e1a3ae8daaca,lead_braking,0.0909714326262474,0
SUT-A,72,73,scenario-4c45c4ed2f1dff5e,cutin_braking,0.09052394330501556,0
SUT-A,73,191,scenario-a5374fc8d99cede9,lead_braking,0.08961473405361176,0
SUT-A,74,5,scenario-da913b98726077cb,fast_intrusion,0.08886788785457611,0
SUT-A,75,126,scenario-950ddf97e1710e5c,cutin_braking,0.08529339730739594,0
SUT-A,76,13,scenario-f1349e6a9cf068e3,fast_intrusion,0.08523745834827423,0
SUT-A,77,43,scenario-0cff04f4cb138f68,fast_intrusion,0.08138135075569153,0
SUT-A,78,79,scenario-b6543b652aa39e42,cutin_braking,0.07950367033481598,0
SUT-A,79,87,scenario-e45b25f8caf82f68,cutin_braking,0.07331625372171402,0
SUT-A,80,75,scenario-61467c0e09ecf1a8,cutin_braking,0.07092940807342529,0
SUT-A,81,86,scenario-67f2e3f689efa5e0,cutin_braking,0.06836450099945068,0
SUT-A,82,122,scenario-10156dd7a91de447,cutin_braking,0.06478165090084076,0
SUT-A,83,72,scenario-280d34364cbc6b6d,cutin_braking,0.06247429922223091,0
SUT-A,84,100,scenario-9a4003ca1c7bde4b,cutin_braking,0.06195611506700516,0
SUT-A,85,88,scenario-c659b7906bc44c9f,cutin_braking,0.06162624433636665,0
SUT-A,86,115,scenario-d95f35794576a733,cutin_braking,0.06158870458602905,0
SUT-A,87,91,scenario-6df57cd4c70f6c79,cutin_braking,0.06135720759630203,0
SUT-A,88,127,scenario-b9f0051de842634a,cutin_braking,0.060789432376623154,0
SUT-A,89,78,scenario-5bd1c8ae3103ba2f,cutin_braking,0.06072702631354332,0
SUT-A,90,76,scenario-5c51a52129f21a06,cutin_braking,0.06043080613017082,0
SUT-A,91,131,scenario-16d47cedaa3163a5,lead_braking,0.05992947891354561,0
SUT-A,92,112,scenario-85f7b90d87046890,cutin_braking,0.059864990413188934,0
SUT-A,93,107,scenario-8692f5914255a749,cutin_braking,0.05966843664646149,0
SUT-A,94,102,scenario-0960ba07db29a03f,cutin_braking,0.05951958894729614,0
SUT-A,95,70,scenario-912c00ba281b2139,cutin_braking,0.0594245009124279,0
SUT-A,96,84,scenario-05cbbadcd693c29e,cutin_braking,0.05930842459201813,0
SUT-A,97,67,scenario-aade0901ee82cbb2,cutin_braking,0.058796580880880356,0
SUT-A,98,104,scenario-703edd2c006752b8,cutin_braking,0.058165404945611954,0
SUT-A,99,120,scenario-b72de359cec81863,cutin_braking,0.05810430645942688,0
SUT-A,100,68,scenario-b9a4766c3f47f8dc,cutin_braking,0.0580955371260643,0
SUT-A,101,96,scenario-086c0ac462d24be0,cutin_braking,0.057911790907382965,0
SUT-A,102,82,scenario-b7d7ce8b562fe978,cutin_braking,0.0579092837870121,0
SUT-A,103,64,scenario-af0947c04f45c4e3,cutin_braking,0.05786634981632233,0
SUT-A,104,116,scenario-94f4428c8adaf474,cutin_braking,0.05785181745886803,0
SUT-A,105,108,scenario-d3b4c179a8162638,cutin_braking,0.05743084102869034,0
SUT-A,106,124,scenario-d39724a06bc9dabd,cutin_braking,0.05740853026509285,0
SUT-A,107,92,scenario-c1f8ba30e4945a87,cutin_braking,0.05709191411733627,0
SUT-A,108,110,scenario-bb00b5dbea49aa0a,cutin_braking,0.05652226507663727,0
SUT-A,109,118,scenario-e6a04a57353f5b64,cutin_braking,0.05642009153962135,0
SUT-A,110,80,scenario-26ddcb03b669f629,cutin_braking,0.05641083046793938,0
SUT-A,111,94,scenario-edf93fd35298ced1,cutin_braking,0.056156814098358154,0
SUT-A,112,155,scenario-4b01d410c83c7d9b,lead_braking,0.0442696176469326,0
