method,budget,target_sut,target_mu,mean_absolute_error,relative_absolute_error,signed_bias,estimate_variance,absolute_error_p99,zero_error_count,repetitions
CMC,5,SUT-E,0.078125,0.09787500000000002,1.2528000000000001,-0.0021249999999999967,0.011248979591836735,0.2238749999999996,0,50
CMC,5,SUT-F,0.3489583333333333,0.14604166666666668,0.41850746268656724,-0.02095833333333329,0.03062857142857144,0.40102083333333316,0,50
CMC,10,SUT-E,0.078125,0.0635,0.8128,-0.0021249999999999962,0.005942857142857143,0.17287499999999983,0,50
CMC,10,SUT-F,0.3489583333333333,0.13579166666666664,0.38913432835820894,-0.0069583333333333,0.02615918367346939,0.3500208333333333,0,50
CMC,20,SUT-E,0.078125,0.05187500000000001,0.6640000000000001,0.006875000000000008,0.003801020408163266,0.1473749999999999,0,50
CMC,20,SUT-F,0.3489583333333333,0.07841666666666669,0.22471641791044783,0.023041666666666693,0.011955102040816332,0.2754791666666666,0,50
FST-RandomSet,5,SUT-E,0.078125,0.03481395974755287,0.4456186847686768,-0.0043727529048919675,0.001975751559484291,0.09453616723418236,0,50
FST-RandomSet,5,SUT-F,0.3489583333333333,0.2139950197686752,0.6132394596356066,0.15814874875048804,0.07012364319038235,0.6510417654986184,0,50
FST-RandomSet,10,SUT-E,0.078125,0.02283177143894136,0.2922466744184494,-0.001838552849367261,0.0008554198685816461,0.09866818305104968,0,50
FST-RandomSet,10,SUT-F,0.3489583333333333,0.09395860275564093,0.26925450341915014,0.047892205022896345,0.014915571763482082,0.38713643418780175,0,50
FST-RandomSet,20,SUT-E,0.078125,0.014785245973616839,0.18925114846229554,-0.007760146111249924,0.00022751412729924596,0.034994999412447214,0,50
FST-RandomSet,20,SUT-F,0.3489583333333333,0.05918610465402405,0.1696079416951137,0.03910697831461829,0.00673937366638835,0.2620235267250487,0,50
FST-Similarity-H,5,SUT-E,0.078125,0.03893403373658657,0.4983556318283081,0.005767248645424843,0.0025283617216573582,0.09573201943188905,0,50
FST-Similarity-H,5,SUT-F,0.3489583333333333,0.1254912765820821,0.35961679259342927,0.013642779539028847,0.045339611204651596,0.6510417207206289,0,50
FST-Similarity-H,10,SUT-E,0.078125,0.025290504666045308,0.32371845972537994,-0.010301783615723252,0.0008020332637584436,0.09300949298776685,0,50
FST-Similarity-H,10,SUT-F,0.3489583333333333,0.12772482373130817,0.3660174053195697,0.07148349020319683,0.04028291546725271,0.651041719649608,0,50
FST-Similarity-H,20,SUT-E,0.078125,0.017254706006497145,0.22086023688316345,-0.011024860329926015,0.0002265608380452705,0.030781682315282506,0,50
FST-Similarity-H,20,SUT-F,0.3489583333333333,0.08622414185975989,0.24709007816528208,0.06262957603360218,0.019108863857419906,0.5211849441115434,0,50
Handcrafted-Similarity,5,SUT-E,0.078125,0.08045325676149796,1.029801686547174,-0.06642174323850204,0.002191518386313877,0.11952037323071663,0,50
Handcrafted-Similarity,5,SUT-F,0.3489583333333333,0.10941595506535486,0.31355019959027064,0.016709840429830515,0.01846847805732282,0.2826191565329944,0,50
Handcrafted-Similarity,10,SUT-E,0.078125,0.01722270872977908,0.22045067174117222,0.0021657659668004475,0.0008644891899887603,0.08381370813414861,0,50
Handcrafted-Similarity,10,SUT-F,0.3489583333333333,0.055387723416977695,0.15872302829939877,0.03500275935298455,0.004578058347353949,0.19475269240124446,0,50
Handcrafted-Similarity,20,SUT-E,0.078125,0.019041063616680818,0.24372561429351447,-0.0027378109241067094,0.0004708940097966728,0.04078505056490064,0,50
Handcrafted-Similarity,20,SUT-F,0.3489583333333333,0.06120031517890399,0.17538000767685918,0.04672637310992888,0.0033456934806012405,0.17554842287278208,0,50
IS,5,SUT-E,0.078125,0.03763573880666035,0.4817374567252525,-0.0013010046042777046,0.0023309677392778535,0.09641925779817269,0,50
IS,5,SUT-F,0.3489583333333333,0.08228821631763177,0.23581100795500448,-0.060592640925054925,0.007015678743925709,0.21393892797424907,0,50
IS,10,SUT-E,0.078125,0.03221752048757737,0.4123842622409903,0.008532910960165025,0.0015009341290486784,0.08366970636571996,0,50
IS,10,SUT-F,0.3489583333333333,0.0885916342833025,0.2538745340655833,-0.0397465068564553,0.025134059515445215,0.5749996717659853,0,50
IS,20,SUT-E,0.078125,0.022444809691757127,0.28729356405449125,0.0013037236105390337,0.0007507989435461941,0.0625058878364776,0,50
IS,20,SUT-F,0.3489583333333333,0.1031569430982459,0.2956139264904957,-0.015414266729090574,0.023025385898222034,0.4508196054814939,0,50
NoSimilarity-Optimized,5,SUT-E,0.078125,0.08337499999999999,1.0672,-0.054125,0.004310204081632654,0.12187500000000001,0,50
NoSimilarity-Optimized,5,SUT-F,0.3489583333333333,0.1350416666666667,0.38698507462686577,0.1350416666666667,0.016473469387755103,0.45104166666666673,0,50
NoSimilarity-Optimized,10,SUT-E,0.078125,0.03187500000000001,0.4080000000000001,0.03187500000000001,0.0009183673469387755,0.12187500000000001,0,50
NoSimilarity-Optimized,10,SUT-F,0.3489583333333333,0.05620833333333333,0.16107462686567164,0.017041666666666715,0.003514285714285713,0.15104166666666669,0,50
NoSimilarity-Optimized,20,SUT-E,0.078125,0.026624999999999996,0.34079999999999994,-0.016124999999999994,0.00046530612244897963,0.028124999999999997,0,50
NoSimilarity-Optimized,20,SUT-F,0.3489583333333333,0.039708333333333325,0.11379104477611938,0.02404166666666667,0.0020622448979591835,0.1010416666666667,0,50
Uniform,5,SUT-E,0.078125,0.10587500000000002,1.3552000000000004,0.005875000000000004,0.014840816326530613,0.321875,0,50
Uniform,5,SUT-F,0.3489583333333333,0.15258333333333338,0.4372537313432837,0.07904166666666672,0.03430204081632654,0.45104166666666673,0,50
Uniform,10,SUT-E,0.078125,0.07212500000000001,0.9232000000000001,0.015875000000000007,0.007514285714285715,0.22187500000000004,0,50
Uniform,10,SUT-F,0.3489583333333333,0.1199583333333333,0.34376119402985067,0.013041666666666707,0.02117959183673469,0.30204166666666643,0,50
Uniform,20,SUT-E,0.078125,0.05175000000000002,0.6624000000000002,0.0018750000000000069,0.0036734693877551023,0.12187500000000001,0,50
Uniform,20,SUT-F,0.3489583333333333,0.06720833333333333,0.19259701492537312,-0.011958333333333307,0.007837755102040817,0.20002083333333334,0,50
