method,budget,repeat,round,position,accepted_index,loss,candidate_evaluations,elapsed_seconds,event
Handcrafted-Similarity,5,0,0,-1,-1,0.3274550915369901,1,0.0,initial
Handcrafted-Similarity,5,0,1,0,168,0.31604295964497936,189,0.0034816999977920204,accepted
Handcrafted-Similarity,5,0,1,1,186,0.1125175351128197,377,0.006548900011694059,accepted
Handcrafted-Similarity,5,0,1,2,-1,0.1125175351128197,565,0.009407700010342523,no_change
Handcrafted-Similarity,5,0,1,3,27,0.10082456303644588,753,0.012201900011859834,accepted
Handcrafted-Similarity,5,0,1,4,21,0.09187698928455482,941,0.015060000005178154,accepted
Handcrafted-Similarity,5,0,2,0,160,0.09118567436547448,1129,0.017779699992388487,accepted
Handcrafted-Similarity,5,0,2,1,-1,0.09118567436547448,1317,0.0206919000193011,no_change
Handcrafted-Similarity,5,0,2,2,93,0.07099870389590021,1505,0.023395199998049065,accepted
Handcrafted-Similarity,5,0,2,3,2,0.057291666666666664,1693,0.02610160000040196,accepted
Handcrafted-Similarity,5,0,2,4,-1,0.057291666666666664,1881,0.028779600019333884,no_change
Handcrafted-Similarity,5,0,3,0,-1,0.057291666666666664,2069,0.0315079000138212,no_change
Handcrafted-Similarity,5,0,3,1,-1,0.057291666666666664,2257,0.03421199999866076,no_change
Handcrafted-Similarity,5,0,3,2,-1,0.057291666666666664,2445,0.037070599995786324,no_change
Handcrafted-Similarity,5,0,3,3,-1,0.057291666666666664,2633,0.04122590000042692,no_change
Handcrafted-Similarity,5,0,3,4,-1,0.057291666666666664,2821,0.04386340000201017,no_change
FST-Similarity-H,5,0,0,-1,-1,0.031246840953826904,1,0.0,initial
FST-Similarity-H,5,0,1,0,82,0.00277651846408844,189,0.1281911999976728,accepted
FST-Similarity-H,5,0,1,1,23,0.002733945846557617,377,0.16566269999020733,accepted
FST-Similarity-H,5,0,1,2,24,0.002573952078819275,565,0.18818379999720491,accepted
FST-Similarity-H,5,0,1,3,-1,0.002573952078819275,753,0.21161369999754243,no_change
FST-Similarity-H,5,0,1,4,146,0.0021517425775527954,941,0.2336766000080388,accepted
FST-Similarity-H,5,0,2,0,-1,0.0021517425775527954,1129,0.25459729999420233,no_change
FST-Similarity-H,5,0,2,1,-1,0.0021517425775527954,1317,0.2763881999999285,no_change
FST-Similarity-H,5,0,2,2,-1,0.0021517425775527954,1505,0.2981464999902528,no_change
FST-Similarity-H,5,0,2,3,-1,0.0021517425775527954,1693,0.3198221999919042,no_change
FST-Similarity-H,5,0,2,4,-1,0.0021517425775527954,1881,0.34273299999767914,no_change
NoSimilarity-Optimized,5,0,0,-1,-1,0.36041666666666666,1,0.0,initial
NoSimilarity-Optimized,5,0,1,0,-1,0.36041666666666666,189,0.00014439999358728528,no_change
NoSimilarity-Optimized,5,0,1,1,1,0.1604166666666667,377,0.0002209999947808683,accepted
