target_sut,model,audit_records,audit_scenarios_unseen_during_training,target_sut_excluded_from_training,accuracy,auprc,brier,cross_entropy,precision,recall,pearson,positive_fraction,top3_hit_rate_in_positive_16_candidate_batches,top3_evaluable_batches
SUT-A,Graph-SEM-H,26,True,True,1.0,1.0,0.01569452720867718,0.10333280754217239,1.0,1.0,0.9782378111822371,0.2692307692307692,1.0,2
SUT-A,RBF-Filter-H,26,True,True,0.8846153846153846,0.9682539682539681,0.08636961182060597,0.2904193169044376,0.7,1.0,0.8159213159364476,0.2692307692307692,1.0,2
SUT-A,MLP-SEM-H,26,True,True,0.8846153846153846,0.9095238095238094,0.10581825234848455,0.35488692591918114,1.0,0.5714285714285714,0.7981081646186919,0.2692307692307692,1.0,2
SUT-A,RandomForest-Filter-H,26,True,True,1.0,1.0,0.03781677601089735,0.14921223721001103,1.0,1.0,0.9090943950875033,0.2692307692307692,1.0,2
SUT-B,Graph-SEM-H,26,True,True,0.8846153846153846,0.8166666666666667,0.10054909782382422,0.3483997556560541,0.5714285714285714,1.0,0.6980762201992867,0.15384615384615385,1.0,2
SUT-B,RBF-Filter-H,26,True,True,0.7692307692307693,0.7333333333333333,0.15754608379891535,0.5056424421012324,0.4,1.0,0.6264041904000868,0.15384615384615385,1.0,2
SUT-B,MLP-SEM-H,26,True,True,0.8846153846153846,0.8166666666666667,0.10176259922626457,0.33439296152023046,0.6,0.75,0.5969718032447953,0.15384615384615385,1.0,2
SUT-B,RandomForest-Filter-H,26,True,True,0.8461538461538461,0.8166666666666667,0.10385979193873432,0.3215712114301922,0.5,1.0,0.683805684967815,0.15384615384615385,1.0,2
SUT-C,Graph-SEM-H,26,True,True,0.8461538461538461,0.8442929292929293,0.11424840803243236,0.43538596739662966,0.8571428571428571,0.6666666666666666,0.7188486197805537,0.34615384615384615,1.0,2
SUT-C,RBF-Filter-H,26,True,True,0.9615384615384616,1.0,0.056454006923186736,0.22775206434395365,0.9,1.0,0.8998229259093922,0.34615384615384615,1.0,2
SUT-C,MLP-SEM-H,26,True,True,0.6923076923076923,0.8379527879527882,0.1669288463159965,0.50158164063031,1.0,0.1111111111111111,0.703475484694567,0.34615384615384615,1.0,2
SUT-C,RandomForest-Filter-H,26,True,True,0.9615384615384616,0.9797979797979799,0.06589365446984188,0.213143966917885,1.0,0.8888888888888888,0.8630346633460262,0.34615384615384615,1.0,2
SUT-D,Graph-SEM-H,26,True,True,0.9615384615384616,1.0,0.03169625468689366,0.15079220509641236,1.0,0.8571428571428571,0.9490013929590556,0.2692307692307692,1.0,2
SUT-D,RBF-Filter-H,26,True,True,0.9230769230769231,0.9682539682539681,0.0819322825546008,0.28087328674634865,0.7777777777777778,1.0,0.8277467667465629,0.2692307692307692,1.0,2
SUT-D,MLP-SEM-H,26,True,True,0.7692307692307693,0.8976190476190475,0.12798170762340857,0.40751227935362705,1.0,0.14285714285714285,0.7658170921481771,0.2692307692307692,1.0,2
SUT-D,RandomForest-Filter-H,26,True,True,1.0,1.0,0.032879522823376875,0.1405027242216485,1.0,1.0,0.9261754176633229,0.2692307692307692,1.0,2
SUT-E,Graph-SEM-H,26,True,True,0.8076923076923077,0.7961904761904761,0.1385762687977907,0.4460452799080886,0.5,1.0,0.6684313740802554,0.19230769230769232,1.0,2
SUT-E,RBF-Filter-H,26,True,True,0.8076923076923077,0.6977777777777777,0.1568852965911809,0.504320737633702,0.5,1.0,0.601719268537113,0.19230769230769232,1.0,2
SUT-E,MLP-SEM-H,26,True,True,0.8076923076923077,0.7961904761904761,0.1127110584279553,0.3627122728379101,0.5,0.4,0.5788879895828198,0.19230769230769232,1.0,2
SUT-E,RandomForest-Filter-H,26,True,True,0.8846153846153846,0.7961904761904761,0.10167399108398355,0.31391953578966764,0.625,1.0,0.6898428125272781,0.19230769230769232,1.0,2
SUT-F,Graph-SEM-H,26,True,True,0.8076923076923077,0.961476948976949,0.17240923413796747,0.5555851074926804,1.0,0.5833333333333334,0.6808168718283163,0.46153846153846156,1.0,2
SUT-F,RBF-Filter-H,26,True,True,0.8461538461538461,0.9546037296037296,0.1000230881072208,0.317095663324177,1.0,0.6666666666666666,0.7969320246477751,0.46153846153846156,1.0,2
SUT-F,MLP-SEM-H,26,True,True,0.5384615384615384,0.47194432817497833,0.24745194520231464,0.6851307157620409,0.0,0.0,0.17769846794443958,0.46153846153846156,1.0,2
SUT-F,RandomForest-Filter-H,26,True,True,0.7692307692307693,0.9880952380952382,0.12361901437523397,0.3720980252321177,1.0,0.5,0.8050954483405891,0.46153846153846156,1.0,2
