target_sut,method,wall_seconds_mean,wall_seconds_std,collisions_mean,collisions_std,critical_mean,critical_std,collisions_per_wall_minute
SUT-A,RMS-H,2.6473651666698665,0.10206377055880045,3.0,0.0,3.3333333333333335,0.5773502691896258,67.99213129574522
SUT-A,2SMS-H,2.7143402333313134,0.08431056002836021,2.3333333333333335,1.5275252316519468,2.3333333333333335,1.5275252316519468,51.577911376341284
SUT-A,2SMS+SEM-H,1.2426618666601523,0.05334547897376179,20.0,0.0,20.0,0.0,965.6689661083649
SUT-B,RMS-H,3.7615750999975717,1.346415142211439,1.0,1.0,2.0,1.0,15.950764880392454
SUT-B,2SMS-H,3.900646400002491,1.4952768477843554,0.3333333333333333,0.5773502691896258,3.0,1.7320508075688772,5.127355301928221
SUT-B,2SMS+SEM-H,2.2543961000046693,0.8713150254949621,15.333333333333334,2.8867513459481287,16.666666666666668,2.3094010767585034,408.09155054788044
SUT-C,RMS-H,5.975945766665973,0.14200234500109055,3.3333333333333335,0.5773502691896258,4.666666666666667,1.1547005383792517,33.46750586586759
SUT-C,2SMS-H,6.43011150000287,0.6347880040825338,2.3333333333333335,1.5275252316519468,2.6666666666666665,1.1547005383792515,21.772561797713387
SUT-C,2SMS+SEM-H,2.938108766664906,0.07569561162174004,20.0,0.0,20.0,0.0,408.425996210528
SUT-D,RMS-H,4.5864433000000036,1.821420676904713,3.6666666666666665,1.1547005383792515,7.0,1.0,47.96745225216233
SUT-D,2SMS-H,4.647814766668792,1.9517513272958094,3.0,1.7320508075688772,4.666666666666667,4.041451884327381,38.72787730071494
SUT-D,2SMS+SEM-H,2.0275923000008333,0.8027108904086249,20.0,0.0,20.0,0.0,591.8349561691997
SUT-E,RMS-H,3.724454000000454,1.7077393543470525,1.6666666666666667,0.5773502691896257,4.0,1.0,26.849573118633714
SUT-E,2SMS-H,4.013059433336214,1.6241360684575543,0.6666666666666666,0.5773502691896258,4.666666666666667,4.618802153517007,9.967457662780344
SUT-E,2SMS+SEM-H,2.0956820999999763,0.8133935855308353,19.666666666666668,0.5773502691896258,20.0,0.0,563.0624988398829
SUT-F,RMS-H,5.048762933336548,0.35344604060946844,5.333333333333333,0.5773502691896258,11.0,2.6457513110645907,63.38186288903911
SUT-F,2SMS-H,5.409270866667309,0.33656097649983396,4.0,3.0,8.0,4.58257569495584,44.3682717903653
SUT-F,2SMS+SEM-H,2.544876433336564,0.1408321673999038,20.0,0.0,20.0,0.0,471.535664474951
