seed,target,coverage,heterogeneity,candidates,events,collisions,severity_sum,historically_safe_target_failures,function_distribution
20261103,Target-exact-global-1,exact,global,500,62,39,50.5,0,cutin_braking:100;fast_intrusion:100;lead_braking:100;slow_lead_following:100;stop_and_go:100
20261103,Target-exact-global-2,exact,global,500,222,132,177.0,0,cutin_braking:100;fast_intrusion:100;lead_braking:100;slow_lead_following:100;stop_and_go:100
20261103,Target-exact-partial-1,exact,partial,500,78,61,69.5,0,cutin_braking:100;fast_intrusion:100;lead_braking:100;slow_lead_following:100;stop_and_go:100
20261103,Target-exact-partial-2,exact,partial,500,141,93,117.0,0,cutin_braking:100;fast_intrusion:100;lead_braking:100;slow_lead_following:100;stop_and_go:100
20261103,Target-exact-full-1,exact,full,500,107,76,91.5,0,cutin_braking:100;fast_intrusion:100;lead_braking:100;slow_lead_following:100;stop_and_go:100
20261103,Target-exact-full-2,exact,full,500,133,78,105.5,0,cutin_braking:100;fast_intrusion:100;lead_braking:100;slow_lead_following:100;stop_and_go:100
20261103,Target-interpolated-global-1,interpolated,global,500,72,51,61.5,0,cutin_braking:100;fast_intrusion:100;lead_braking:100;slow_lead_following:100;stop_and_go:100
20261103,Target-interpolated-global-2,interpolated,global,500,86,71,78.5,0,cutin_braking:100;fast_intrusion:100;lead_braking:100;slow_lead_following:100;stop_and_go:100
20261103,Target-interpolated-partial-1,interpolated,partial,500,79,63,71.0,0,cutin_braking:100;fast_intrusion:100;lead_braking:100;slow_lead_following:100;stop_and_go:100
20261103,Target-interpolated-partial-2,interpolated,partial,500,74,56,65.0,0,cutin_braking:100;fast_intrusion:100;lead_braking:100;slow_lead_following:100;stop_and_go:100
20261103,Target-interpolated-full-1,interpolated,full,500,79,65,72.0,0,cutin_braking:100;fast_intrusion:100;lead_braking:100;slow_lead_following:100;stop_and_go:100
20261103,Target-interpolated-full-2,interpolated,full,500,79,59,69.0,0,cutin_braking:100;fast_intrusion:100;lead_braking:100;slow_lead_following:100;stop_and_go:100
20261103,Target-unseen-global-1,unseen,global,500,64,40,52.0,0,cutin_braking:100;fast_intrusion:100;lead_braking:100;slow_lead_following:100;stop_and_go:100
20261103,Target-unseen-global-2,unseen,global,500,90,51,70.5,0,cutin_braking:100;fast_intrusion:100;lead_braking:100;slow_lead_following:100;stop_and_go:100
20261103,Target-unseen-partial-1,unseen,partial,500,125,89,107.0,0,cutin_braking:100;fast_intrusion:100;lead_braking:100;slow_lead_following:100;stop_and_go:100
20261103,Target-unseen-partial-2,unseen,partial,500,111,83,97.0,1,cutin_braking:100;fast_intrusion:100;lead_braking:100;slow_lead_following:100;stop_and_go:100
20261103,Target-unseen-full-1,unseen,full,500,122,92,107.0,0,cutin_braking:100;fast_intrusion:100;lead_braking:100;slow_lead_following:100;stop_and_go:100
20261103,Target-unseen-full-2,unseen,full,500,92,63,77.5,0,cutin_braking:100;fast_intrusion:100;lead_braking:100;slow_lead_following:100;stop_and_go:100
20261117,Target-exact-global-1,exact,global,500,65,35,50.0,0,cutin_braking:100;fast_intrusion:100;lead_braking:100;slow_lead_following:100;stop_and_go:100
20261117,Target-exact-global-2,exact,global,500,217,140,178.5,0,cutin_braking:100;fast_intrusion:100;lead_braking:100;slow_lead_following:100;stop_and_go:100
20261117,Target-exact-partial-1,exact,partial,500,80,58,69.0,0,cutin_braking:100;fast_intrusion:100;lead_braking:100;slow_lead_following:100;stop_and_go:100
20261117,Target-exact-partial-2,exact,partial,500,136,93,114.5,0,cutin_braking:100;fast_intrusion:100;lead_braking:100;slow_lead_following:100;stop_and_go:100
20261117,Target-exact-full-1,exact,full,500,111,71,91.0,0,cutin_braking:100;fast_intrusion:100;lead_braking:100;slow_lead_following:100;stop_and_go:100
20261117,Target-exact-full-2,exact,full,500,127,86,106.5,0,cutin_braking:100;fast_intrusion:100;lead_braking:100;slow_lead_following:100;stop_and_go:100
20261117,Target-interpolated-global-1,interpolated,global,500,72,49,60.5,0,cutin_braking:100;fast_intrusion:100;lead_braking:100;slow_lead_following:100;stop_and_go:100
20261117,Target-interpolated-global-2,interpolated,global,500,89,74,81.5,0,cutin_braking:100;fast_intrusion:100;lead_braking:100;slow_lead_following:100;stop_and_go:100
20261117,Target-interpolated-partial-1,interpolated,partial,500,81,64,72.5,0,cutin_braking:100;fast_intrusion:100;lead_braking:100;slow_lead_following:100;stop_and_go:100
20261117,Target-interpolated-partial-2,interpolated,partial,500,79,56,67.5,0,cutin_braking:100;fast_intrusion:100;lead_braking:100;slow_lead_following:100;stop_and_go:100
20261117,Target-interpolated-full-1,interpolated,full,500,78,66,72.0,0,cutin_braking:100;fast_intrusion:100;lead_braking:100;slow_lead_following:100;stop_and_go:100
20261117,Target-interpolated-full-2,interpolated,full,500,80,62,71.0,0,cutin_braking:100;fast_intrusion:100;lead_braking:100;slow_lead_following:100;stop_and_go:100
20261117,Target-unseen-global-1,unseen,global,500,66,39,52.5,0,cutin_braking:100;fast_intrusion:100;lead_braking:100;slow_lead_following:100;stop_and_go:100
20261117,Target-unseen-global-2,unseen,global,500,95,53,74.0,0,cutin_braking:100;fast_intrusion:100;lead_braking:100;slow_lead_following:100;stop_and_go:100
20261117,Target-unseen-partial-1,unseen,partial,500,133,95,114.0,0,cutin_braking:100;fast_intrusion:100;lead_braking:100;slow_lead_following:100;stop_and_go:100
20261117,Target-unseen-partial-2,unseen,partial,500,107,76,91.5,1,cutin_braking:100;fast_intrusion:100;lead_braking:100;slow_lead_following:100;stop_and_go:100
20261117,Target-unseen-full-1,unseen,full,500,124,88,106.0,0,cutin_braking:100;fast_intrusion:100;lead_braking:100;slow_lead_following:100;stop_and_go:100
20261117,Target-unseen-full-2,unseen,full,500,89,60,74.5,0,cutin_braking:100;fast_intrusion:100;lead_braking:100;slow_lead_following:100;stop_and_go:100
20261201,Target-exact-global-1,exact,global,500,63,38,50.5,0,cutin_braking:100;fast_intrusion:100;lead_braking:100;slow_lead_following:100;stop_and_go:100
20261201,Target-exact-global-2,exact,global,500,215,135,175.0,0,cutin_braking:100;fast_intrusion:100;lead_braking:100;slow_lead_following:100;stop_and_go:100
20261201,Target-exact-partial-1,exact,partial,500,78,59,68.5,0,cutin_braking:100;fast_intrusion:100;lead_braking:100;slow_lead_following:100;stop_and_go:100
20261201,Target-exact-partial-2,exact,partial,500,135,92,113.5,0,cutin_braking:100;fast_intrusion:100;lead_braking:100;slow_lead_following:100;stop_and_go:100
20261201,Target-exact-full-1,exact,full,500,107,72,89.5,0,cutin_braking:100;fast_intrusion:100;lead_braking:100;slow_lead_following:100;stop_and_go:100
20261201,Target-exact-full-2,exact,full,500,125,84,104.5,0,cutin_braking:100;fast_intrusion:100;lead_braking:100;slow_lead_following:100;stop_and_go:100
20261201,Target-interpolated-global-1,interpolated,global,500,71,51,61.0,0,cutin_braking:100;fast_intrusion:100;lead_braking:100;slow_lead_following:100;stop_and_go:100
20261201,Target-interpolated-global-2,interpolated,global,500,83,72,77.5,0,cutin_braking:100;fast_intrusion:100;lead_braking:100;slow_lead_following:100;stop_and_go:100
20261201,Target-interpolated-partial-1,interpolated,partial,500,77,63,70.0,0,cutin_braking:100;fast_intrusion:100;lead_braking:100;slow_lead_following:100;stop_and_go:100
20261201,Target-interpolated-partial-2,interpolated,partial,500,76,56,66.0,0,cutin_braking:100;fast_intrusion:100;lead_braking:100;slow_lead_following:100;stop_and_go:100
20261201,Target-interpolated-full-1,interpolated,full,500,76,64,70.0,0,cutin_braking:100;fast_intrusion:100;lead_braking:100;slow_lead_following:100;stop_and_go:100
20261201,Target-interpolated-full-2,interpolated,full,500,80,59,69.5,0,cutin_braking:100;fast_intrusion:100;lead_braking:100;slow_lead_following:100;stop_and_go:100
20261201,Target-unseen-global-1,unseen,global,500,65,40,52.5,0,cutin_braking:100;fast_intrusion:100;lead_braking:100;slow_lead_following:100;stop_and_go:100
20261201,Target-unseen-global-2,unseen,global,500,93,55,74.0,0,cutin_braking:100;fast_intrusion:100;lead_braking:100;slow_lead_following:100;stop_and_go:100
20261201,Target-unseen-partial-1,unseen,partial,500,129,96,112.5,0,cutin_braking:100;fast_intrusion:100;lead_braking:100;slow_lead_following:100;stop_and_go:100
20261201,Target-unseen-partial-2,unseen,partial,500,108,81,94.5,1,cutin_braking:100;fast_intrusion:100;lead_braking:100;slow_lead_following:100;stop_and_go:100
20261201,Target-unseen-full-1,unseen,full,500,122,87,104.5,0,cutin_braking:100;fast_intrusion:100;lead_braking:100;slow_lead_following:100;stop_and_go:100
20261201,Target-unseen-full-2,unseen,full,500,87,61,74.0,0,cutin_braking:100;fast_intrusion:100;lead_braking:100;slow_lead_following:100;stop_and_go:100
20261213,Target-exact-global-1,exact,global,500,64,36,50.0,0,cutin_braking:100;fast_intrusion:100;lead_braking:100;slow_lead_following:100;stop_and_go:100
20261213,Target-exact-global-2,exact,global,500,216,133,174.5,0,cutin_braking:100;fast_intrusion:100;lead_braking:100;slow_lead_following:100;stop_and_go:100
20261213,Target-exact-partial-1,exact,partial,500,83,58,70.5,0,cutin_braking:100;fast_intrusion:100;lead_braking:100;slow_lead_following:100;stop_and_go:100
20261213,Target-exact-partial-2,exact,partial,500,143,93,118.0,0,cutin_braking:100;fast_intrusion:100;lead_braking:100;slow_lead_following:100;stop_and_go:100
20261213,Target-exact-full-1,exact,full,500,109,74,91.5,0,cutin_braking:100;fast_intrusion:100;lead_braking:100;slow_lead_following:100;stop_and_go:100
20261213,Target-exact-full-2,exact,full,500,130,80,105.0,0,cutin_braking:100;fast_intrusion:100;lead_braking:100;slow_lead_following:100;stop_and_go:100
20261213,Target-interpolated-global-1,interpolated,global,500,75,49,62.0,0,cutin_braking:100;fast_intrusion:100;lead_braking:100;slow_lead_following:100;stop_and_go:100
20261213,Target-interpolated-global-2,interpolated,global,500,87,68,77.5,0,cutin_braking:100;fast_intrusion:100;lead_braking:100;slow_lead_following:100;stop_and_go:100
20261213,Target-interpolated-partial-1,interpolated,partial,500,83,59,71.0,0,cutin_braking:100;fast_intrusion:100;lead_braking:100;slow_lead_following:100;stop_and_go:100
20261213,Target-interpolated-partial-2,interpolated,partial,500,79,57,68.0,0,cutin_braking:100;fast_intrusion:100;lead_braking:100;slow_lead_following:100;stop_and_go:100
20261213,Target-interpolated-full-1,interpolated,full,500,81,60,70.5,0,cutin_braking:100;fast_intrusion:100;lead_braking:100;slow_lead_following:100;stop_and_go:100
20261213,Target-interpolated-full-2,interpolated,full,500,80,60,70.0,0,cutin_braking:100;fast_intrusion:100;lead_braking:100;slow_lead_following:100;stop_and_go:100
20261213,Target-unseen-global-1,unseen,global,500,66,40,53.0,0,cutin_braking:100;fast_intrusion:100;lead_braking:100;slow_lead_following:100;stop_and_go:100
20261213,Target-unseen-global-2,unseen,global,500,95,51,73.0,0,cutin_braking:100;fast_intrusion:100;lead_braking:100;slow_lead_following:100;stop_and_go:100
20261213,Target-unseen-partial-1,unseen,partial,500,129,90,109.5,0,cutin_braking:100;fast_intrusion:100;lead_braking:100;slow_lead_following:100;stop_and_go:100
20261213,Target-unseen-partial-2,unseen,partial,500,110,79,94.5,1,cutin_braking:100;fast_intrusion:100;lead_braking:100;slow_lead_following:100;stop_and_go:100
20261213,Target-unseen-full-1,unseen,full,500,126,90,108.0,0,cutin_braking:100;fast_intrusion:100;lead_braking:100;slow_lead_following:100;stop_and_go:100
20261213,Target-unseen-full-2,unseen,full,500,91,63,77.0,0,cutin_braking:100;fast_intrusion:100;lead_braking:100;slow_lead_following:100;stop_and_go:100
20261229,Target-exact-global-1,exact,global,500,63,36,49.5,0,cutin_braking:100;fast_intrusion:100;lead_braking:100;slow_lead_following:100;stop_and_go:100
20261229,Target-exact-global-2,exact,global,500,221,137,179.0,0,cutin_braking:100;fast_intrusion:100;lead_braking:100;slow_lead_following:100;stop_and_go:100
20261229,Target-exact-partial-1,exact,partial,500,78,60,69.0,0,cutin_braking:100;fast_intrusion:100;lead_braking:100;slow_lead_following:100;stop_and_go:100
20261229,Target-exact-partial-2,exact,partial,500,139,93,116.0,0,cutin_braking:100;fast_intrusion:100;lead_braking:100;slow_lead_following:100;stop_and_go:100
20261229,Target-exact-full-1,exact,full,500,104,73,88.5,0,cutin_braking:100;fast_intrusion:100;lead_braking:100;slow_lead_following:100;stop_and_go:100
20261229,Target-exact-full-2,exact,full,500,131,83,107.0,0,cutin_braking:100;fast_intrusion:100;lead_braking:100;slow_lead_following:100;stop_and_go:100
20261229,Target-interpolated-global-1,interpolated,global,500,71,50,60.5,0,cutin_braking:100;fast_intrusion:100;lead_braking:100;slow_lead_following:100;stop_and_go:100
20261229,Target-interpolated-global-2,interpolated,global,500,87,71,79.0,0,cutin_braking:100;fast_intrusion:100;lead_braking:100;slow_lead_following:100;stop_and_go:100
20261229,Target-interpolated-partial-1,interpolated,partial,500,78,61,69.5,0,cutin_braking:100;fast_intrusion:100;lead_braking:100;slow_lead_following:100;stop_and_go:100
20261229,Target-interpolated-partial-2,interpolated,partial,500,78,57,67.5,0,cutin_braking:100;fast_intrusion:100;lead_braking:100;slow_lead_following:100;stop_and_go:100
20261229,Target-interpolated-full-1,interpolated,full,500,78,61,69.5,0,cutin_braking:100;fast_intrusion:100;lead_braking:100;slow_lead_following:100;stop_and_go:100
20261229,Target-interpolated-full-2,interpolated,full,500,81,61,71.0,0,cutin_braking:100;fast_intrusion:100;lead_braking:100;slow_lead_following:100;stop_and_go:100
20261229,Target-unseen-global-1,unseen,global,500,64,37,50.5,0,cutin_braking:100;fast_intrusion:100;lead_braking:100;slow_lead_following:100;stop_and_go:100
20261229,Target-unseen-global-2,unseen,global,500,90,53,71.5,0,cutin_braking:100;fast_intrusion:100;lead_braking:100;slow_lead_following:100;stop_and_go:100
20261229,Target-unseen-partial-1,unseen,partial,500,128,100,114.0,0,cutin_braking:100;fast_intrusion:100;lead_braking:100;slow_lead_following:100;stop_and_go:100
20261229,Target-unseen-partial-2,unseen,partial,500,112,81,96.5,1,cutin_braking:100;fast_intrusion:100;lead_braking:100;slow_lead_following:100;stop_and_go:100
20261229,Target-unseen-full-1,unseen,full,500,120,88,104.0,0,cutin_braking:100;fast_intrusion:100;lead_braking:100;slow_lead_following:100;stop_and_go:100
20261229,Target-unseen-full-2,unseen,full,500,89,57,73.0,0,cutin_braking:100;fast_intrusion:100;lead_braking:100;slow_lead_following:100;stop_and_go:100
