method,reference,budget,units,mean_CVS_difference,CVS_bootstrap_low,CVS_bootstrap_high,mean_SeveritySum_difference,SeveritySum_bootstrap_low,SeveritySum_bootstrap_high
CoRe-Marginal,FPS-Marginal,10,54,-0.37037037037037035,-0.6944444444444444,-0.10185185185185185,-0.2777777777777778,-0.6206018518518518,0.037037037037037035
CoRe-Marginal,FPS-Marginal,20,54,-0.21296296296296297,-0.46296296296296297,0.07430555555555429,-0.3611111111111111,-0.8148148148148148,0.0
CoRe-Marginal,FPS-Marginal,30,54,0.046296296296296294,-0.12962962962962962,0.23148148148148148,-0.07407407407407407,-0.6111111111111112,0.4351851851851852
CoRe-Marginal,FPS-Marginal,50,54,0.18518518518518517,-0.018518518518518517,0.37962962962962965,-0.1574074074074074,-0.49074074074074076,0.17615740740740615
CoRe-Marginal,MeanResidual-Marginal,10,54,-0.037037037037037035,-0.6298611111111111,0.5555555555555556,-0.17592592592592593,-0.4444444444444444,0.12962962962962962
CoRe-Marginal,MeanResidual-Marginal,20,54,0.7037037037037037,0.25,1.2314814814814814,-0.21296296296296297,-0.8981481481481481,0.4263888888888864
CoRe-Marginal,MeanResidual-Marginal,30,54,1.2962962962962963,0.4722222222222222,2.389120370370369,0.8240740740740741,0.18518518518518517,1.5002314814814801
CoRe-Marginal,MeanResidual-Marginal,50,54,1.3611111111111112,0.7870370370370371,1.9444444444444444,3.8981481481481484,2.7037037037037037,5.102314814814813
CoRe-Marginal,TargetOnlyGP-Marginal,10,54,6.092592592592593,5.796296296296297,6.444444444444445,6.796296296296297,5.833333333333333,7.518518518518518
CoRe-Marginal,TargetOnlyGP-Marginal,20,54,8.416666666666666,6.916666666666667,9.898379629629629,13.287037037037036,12.074074074074074,14.176157407407405
CoRe-Marginal,TargetOnlyGP-Marginal,30,54,9.824074074074074,8.610879629629629,10.935185185185185,21.89814814814815,20.796064814814816,22.75925925925926
CoRe-Marginal,TargetOnlyGP-Marginal,50,54,10.277777777777779,9.407407407407407,11.212962962962964,36.7037037037037,35.53703703703704,37.69467592592592
