method,repeat,seed,target,coverage,heterogeneity,budget,CollisionCount,CriticalCount,SeveritySum,CVS,CollisionCells,F,NewHistoricalFailureCount,function_queries,queried_indices,NovelFailureModes,EarlyNovelAUC,pool_new_failures,pool_ego_collisions,new_failure_recall,source_safe_candidates,source_safe_failures_in_pool
MarginModeCal,0,20291230,Target-idm_delay07-idm-revision,versioned,idm_delay07,50,23,29,26.0,15.0,23,0.1411093157618741,29,cutin_braking:11;fast_intrusion:10;lead_braking:11;slow_lead_following:12;stop_and_go:6,284;25;160;73;126;307;9;206;65;21;275;254;17;260;276;107;42;144;103;54;268;39;315;142;78;118;92;196;114;291;128;184;222;35;232;162;272;122;58;136;159;176;185;238;319;50;69;190;292;264,5,0.7788235294117647,35,26,0.8285714285714286,,
MarginModeRate,0,20291230,Target-idm_delay07-idm-revision,versioned,idm_delay07,50,23,29,26.0,15.0,23,0.1411093157618741,29,cutin_braking:12;fast_intrusion:10;lead_braking:10;slow_lead_following:10;stop_and_go:8,25;9;21;17;42;54;73;160;206;284;126;65;107;103;78;144;142;254;196;307;275;260;276;268;39;118;315;92;114;128;184;162;222;232;35;291;122;136;159;238;58;176;272;69;223;50;185;319;100;214,5,0.7764705882352941,35,26,0.8285714285714286,,
HistoryMargin-Static,0,20291230,Target-idm_delay07-idm-revision,versioned,idm_delay07,50,23,29,26.0,15.0,23,0.1411093157618741,29,cutin_braking:8;fast_intrusion:12;lead_braking:9;slow_lead_following:15;stop_and_go:6,284;25;160;73;126;307;9;206;65;21;275;254;17;260;107;276;42;144;103;54;268;39;315;142;291;128;78;184;272;196;222;118;92;319;292;35;58;232;264;256;311;50;4;30;162;238;278;136;159;176,5,0.763921568627451,35,26,0.8285714285714286,320,35
HistoryMargin-Residual,0,20291230,Target-idm_delay07-idm-revision,versioned,idm_delay07,50,18,24,21.0,12.5,18,0.10906437649896357,24,cutin_braking:14;fast_intrusion:7;lead_braking:16;slow_lead_following:6;stop_and_go:7,284;307;276;260;315;272;25;160;73;206;126;21;9;5;43;84;214;184;144;188;30;128;69;143;156;107;86;254;226;168;136;172;132;148;78;88;70;65;92;118;123;101;210;244;234;35;152;179;162;131,5,0.5686274509803921,35,26,0.6857142857142857,320,35
TargetOnly-Residual,0,20291230,Target-idm_delay07-idm-revision,versioned,idm_delay07,50,13,15,14.0,10.0,13,0.062403716632477325,15,cutin_braking:16;fast_intrusion:7;lead_braking:10;slow_lead_following:3;stop_and_go:14,0;64;128;156;191;192;256;34;254;226;206;214;210;244;201;241;237;213;225;107;86;73;126;84;78;88;70;65;118;92;101;123;100;185;18;159;131;143;300;3;175;57;166;306;47;169;105;196;246;9,4,0.3411764705882353,35,26,0.42857142857142855,320,35
ModeQuantile-Static,0,20291230,Target-idm_delay07-idm-revision,versioned,idm_delay07,50,23,30,26.5,15.0,23,0.14333789087881446,30,cutin_braking:10;fast_intrusion:10;lead_braking:10;slow_lead_following:10;stop_and_go:10,25;73;160;206;284;9;126;144;254;307;21;65;142;196;275;17;107;128;222;260;42;103;184;232;276;54;78;162;238;268;39;118;136;223;315;35;92;159;214;291;58;114;176;230;272;50;122;185;208;319,5,0.7756862745098039,35,26,0.8571428571428571,,
RandomSafe,0,20291230,Target-idm_delay07-idm-revision,versioned,idm_delay07,50,1,1,1.0,1.0,1,0.008461017992613224,1,cutin_braking:6;fast_intrusion:9;lead_braking:9;slow_lead_following:11;stop_and_go:15,257;314;203;302;318;57;117;315;15;185;265;151;211;42;253;189;3;182;171;98;280;301;43;228;219;11;133;86;196;71;270;67;154;188;279;123;27;239;186;213;34;223;245;306;248;59;194;250;244;221,1,0.029019607843137254,35,26,0.02857142857142857,320,35
RandomSafe,1,20291230,Target-idm_delay07-idm-revision,versioned,idm_delay07,50,5,8,6.5,6.0,5,0.061390076194489045,8,cutin_braking:8;fast_intrusion:10;lead_braking:9;slow_lead_following:13;stop_and_go:10,316;220;192;234;196;115;31;184;171;306;318;99;54;1;36;46;285;103;273;132;179;307;183;208;12;251;276;286;239;9;32;314;226;95;90;110;221;254;154;298;186;121;266;5;91;38;142;139;315;304,5,0.18196078431372548,35,26,0.22857142857142856,320,35
RandomSafe,2,20291230,Target-idm_delay07-idm-revision,versioned,idm_delay07,50,4,8,6.0,5.5,4,0.04935769236430077,8,cutin_braking:14;fast_intrusion:6;lead_braking:11;slow_lead_following:9;stop_and_go:10,267;246;55;296;75;49;153;291;198;292;126;195;160;68;305;121;138;251;64;139;199;92;78;80;54;252;237;166;230;104;88;136;244;62;59;294;262;314;41;83;190;217;189;143;164;95;110;268;155;72,5,0.1607843137254902,35,26,0.22857142857142856,320,35
RandomSafe,3,20291230,Target-idm_delay07-idm-revision,versioned,idm_delay07,50,1,3,2.0,2.0,1,0.023918599432375037,3,cutin_braking:12;fast_intrusion:8;lead_braking:14;slow_lead_following:4;stop_and_go:12,139;59;20;213;79;247;108;138;0;296;286;26;127;248;74;120;50;177;9;214;151;156;185;226;140;234;28;105;268;117;37;319;204;114;169;249;170;124;172;200;245;130;142;133;132;100;106;250;109;237,3,0.047058823529411764,35,26,0.08571428571428572,320,35
RandomSafe,4,20291230,Target-idm_delay07-idm-revision,versioned,idm_delay07,50,5,6,5.5,4.5,5,0.030181284096258223,6,cutin_braking:6;fast_intrusion:13;lead_braking:8;slow_lead_following:14;stop_and_go:9,212;271;263;56;154;58;285;185;114;35;302;30;103;295;157;34;298;218;145;217;6;19;140;183;124;81;147;128;314;192;8;57;201;7;290;89;281;226;286;311;265;256;17;220;23;96;246;319;254;9,4,0.07058823529411765,35,26,0.17142857142857143,320,35
RandomSafe,5,20291230,Target-idm_delay07-idm-revision,versioned,idm_delay07,50,5,6,5.5,5.5,5,0.05229453932233705,6,cutin_braking:13;fast_intrusion:5;lead_braking:10;slow_lead_following:9;stop_and_go:13,146;237;191;315;117;195;236;317;41;40;303;139;74;99;188;203;258;219;103;286;228;201;229;273;143;73;10;186;157;158;75;314;124;39;234;206;30;109;132;104;250;270;247;275;108;178;121;72;239;115,4,0.09411764705882353,35,26,0.17142857142857143,320,35
RandomSafe,6,20291230,Target-idm_delay07-idm-revision,versioned,idm_delay07,50,2,5,3.5,2.5,2,0.02976069301680233,5,cutin_braking:4;fast_intrusion:9;lead_braking:12;slow_lead_following:11;stop_and_go:14,128;133;312;140;77;17;269;280;24;230;44;207;163;155;108;309;232;260;9;23;26;315;228;226;179;193;253;115;235;129;300;227;224;137;7;229;219;265;172;46;306;147;141;259;58;194;317;130;202;119,4,0.15764705882352942,35,26,0.14285714285714285,320,35
RandomSafe,7,20291230,Target-idm_delay07-idm-revision,versioned,idm_delay07,50,5,7,6.0,4.5,5,0.04623508831476991,7,cutin_braking:13;fast_intrusion:9;lead_braking:10;slow_lead_following:8;stop_and_go:10,23;225;207;72;15;117;107;268;104;179;223;126;98;178;26;170;121;147;276;193;65;239;9;292;130;291;277;22;175;93;270;143;161;218;200;302;233;74;237;157;75;245;5;272;50;173;73;115;19;61,3,0.17254901960784313,35,26,0.2,320,35
RandomSafe,8,20291230,Target-idm_delay07-idm-revision,versioned,idm_delay07,50,2,3,2.5,2.5,2,0.01629123042700614,3,cutin_braking:7;fast_intrusion:9;lead_braking:15;slow_lead_following:8;stop_and_go:11,288;174;172;298;58;169;250;121;214;280;224;48;26;100;242;14;252;157;99;2;221;131;314;270;318;213;167;130;163;200;1;91;68;165;161;184;292;141;207;255;19;208;128;75;283;139;28;59;78;137,2,0.0196078431372549,35,26,0.08571428571428572,320,35
RandomSafe,9,20291230,Target-idm_delay07-idm-revision,versioned,idm_delay07,50,4,6,5.0,5.0,4,0.06291974464296249,6,cutin_braking:7;fast_intrusion:9;lead_braking:10;slow_lead_following:12;stop_and_go:12,95;290;26;14;88;281;142;40;114;211;309;181;189;56;289;107;237;171;18;274;239;208;229;173;224;148;312;188;216;308;77;74;178;243;199;275;268;257;11;30;198;62;38;310;307;176;230;245;154;103,3,0.058823529411764705,35,26,0.17142857142857143,320,35
MarginModeCal,0,20291230,Target-idm_brake3-idm-revision,versioned,idm_brake3,50,14,17,15.5,8.5,14,0.08882190691380586,17,cutin_braking:11;fast_intrusion:5;lead_braking:6;slow_lead_following:21;stop_and_go:7,284;25;160;73;126;307;9;206;65;275;254;107;144;103;142;78;118;92;196;222;21;260;114;128;232;276;17;122;184;238;42;162;268;69;223;315;291;272;319;292;264;256;311;278;303;288;299;294;302;314,5,0.5333333333333333,22,17,0.7727272727272727,,
MarginModeRate,0,20291230,Target-idm_brake3-idm-revision,versioned,idm_brake3,50,15,18,16.5,9.5,15,0.09261601003091721,18,cutin_braking:14;fast_intrusion:7;lead_braking:11;slow_lead_following:8;stop_and_go:10,25;9;73;126;65;107;103;160;206;284;78;144;142;254;196;222;307;275;118;92;114;232;128;260;21;122;238;184;162;276;69;17;136;223;268;100;42;159;176;214;315;86;54;185;230;291;88;39;190;208,5,0.5419607843137255,22,17,0.8181818181818182,,
