seed,target,coverage,heterogeneity,budget,CollisionCount,CriticalCount,SeveritySum,CVS,CollisionCells,F,NewHistoricalFailureCount,function_queries,queried_indices,method,repeat,selection_seconds
20271215,Target-idm_mobil-leaveoneout,leave_one_out,idm_mobil,10,0,8,4.0,4.0,0,0.07778963534760952,0,cutin_braking:1;fast_intrusion:1;lead_braking:1;slow_lead_following:6;stop_and_go:1,415;465;456;478;101;386;295;435;461;18,NoComposition,0,0.6284776000538841
20271215,Target-idm_mobil-leaveoneout,leave_one_out,idm_mobil,20,0,15,7.5,7.0,0,0.10129413078491224,0,cutin_braking:2;fast_intrusion:2;lead_braking:3;slow_lead_following:8;stop_and_go:5,415;465;456;478;101;386;295;435;461;18;468;64;371;273;309;379;434;156;225;329,NoComposition,0,0.6284776000538841
20271215,Target-idm_mobil-leaveoneout,leave_one_out,idm_mobil,30,0,25,12.5,11.5,0,0.11633710721873906,0,cutin_braking:2;fast_intrusion:2;lead_braking:4;slow_lead_following:13;stop_and_go:9,415;465;456;478;101;386;295;435;461;18;468;64;371;273;309;379;434;156;225;329;394;407;497;404;318;372;414;287;408;301,NoComposition,0,0.6284776000538841
20271215,Target-idm_mobil-leaveoneout,leave_one_out,idm_mobil,50,0,43,21.5,16.0,0,0.13185389705657188,0,cutin_braking:3;fast_intrusion:3;lead_braking:6;slow_lead_following:18;stop_and_go:20,415;465;456;478;101;386;295;435;461;18;468;64;371;273;309;379;434;156;225;329;394;407;497;404;318;372;414;287;408;301;359;475;293;2;313;306;480;405;385;389;384;345;416;323;354;488;253;339;399;196,NoComposition,0,0.6284776000538841
20271215,Target-idm_mobil-leaveoneout,leave_one_out,idm_mobil,10,0,8,4.0,4.0,0,0.07582561255783021,0,cutin_braking:1;fast_intrusion:1;lead_braking:1;slow_lead_following:6;stop_and_go:1,435;405;456;478;468;415;306;273;101;2,NoNull,0,0.6312879000324756
20271215,Target-idm_mobil-leaveoneout,leave_one_out,idm_mobil,20,0,17,8.5,7.5,0,0.10248747000054928,0,cutin_braking:1;fast_intrusion:1;lead_braking:1;slow_lead_following:12;stop_and_go:5,435;405;456;478;468;415;306;273;101;2;433;497;428;407;466;488;309;379;371;386,NoNull,0,0.6312879000324756
20271215,Target-idm_mobil-leaveoneout,leave_one_out,idm_mobil,30,0,26,13.0,11.0,0,0.11539754769374064,0,cutin_braking:1;fast_intrusion:1;lead_braking:4;slow_lead_following:15;stop_and_go:9,435;405;456;478;468;415;306;273;101;2;433;497;428;407;466;488;309;379;371;386;225;329;239;318;372;394;482;493;287;416,NoNull,0,0.6312879000324756
20271215,Target-idm_mobil-leaveoneout,leave_one_out,idm_mobil,50,0,44,22.0,14.5,0,0.1310803166490697,0,cutin_braking:1;fast_intrusion:1;lead_braking:6;slow_lead_following:22;stop_and_go:20,435;405;456;478;468;415;306;273;101;2;433;497;428;407;466;488;309;379;371;386;225;329;239;318;372;394;482;493;287;416;338;359;301;293;457;430;400;313;385;474;389;384;345;477;323;354;253;339;485;436,NoNull,0,0.6312879000324756
20271215,Target-idm_mobil-leaveoneout,leave_one_out,idm_mobil,10,0,3,1.5,1.5,0,0.02419359574195424,0,cutin_braking:0;fast_intrusion:3;lead_braking:4;slow_lead_following:1;stop_and_go:2,206;25;214;91;336;289;267;342;478;11,Random,0,0.00023740006145089865
20271215,Target-idm_mobil-leaveoneout,leave_one_out,idm_mobil,20,0,7,3.5,3.5,0,0.06050732884758264,0,cutin_braking:2;fast_intrusion:4;lead_braking:7;slow_lead_following:3;stop_and_go:4,206;25;214;91;336;289;267;342;478;11;265;427;103;271;493;118;301;299;39;362,Random,0,0.00023740006145089865
