seed,target,regime,candidates,critical_events,collisions,critical_rate,all_source_safe_target_failures
20271117,idm_mobil,gap_q1,125,49,0,0.392,0
20271117,idm_mobil,gap_q2,125,41,0,0.328,0
20271117,idm_mobil,gap_q3,125,34,0,0.272,0
20271117,idm_mobil,gap_q4,125,32,0,0.256,0
20271117,idm_mobil,all,500,156,0,0.312,0
20271117,vi_ttc,gap_q1,125,125,1,1.0,71
20271117,vi_ttc,gap_q2,125,125,0,1.0,83
20271117,vi_ttc,gap_q3,125,125,0,1.0,91
20271117,vi_ttc,gap_q4,125,125,0,1.0,93
20271117,vi_ttc,all,500,500,1,1.0,338
20271117,mcts_cv,gap_q1,125,3,0,0.024,0
20271117,mcts_cv,gap_q2,125,4,0,0.032,0
20271117,mcts_cv,gap_q3,125,1,0,0.008,0
20271117,mcts_cv,gap_q4,125,0,0,0.0,0
20271117,mcts_cv,all,500,8,0,0.016,0
20271117,ppo_ece,gap_q1,125,19,0,0.152,0
20271117,ppo_ece,gap_q2,125,17,0,0.136,0
20271117,ppo_ece,gap_q3,125,15,0,0.12,0
20271117,ppo_ece,gap_q4,125,9,0,0.072,0
20271117,ppo_ece,all,500,60,0,0.12,0
20271201,idm_mobil,gap_q1,125,46,0,0.368,0
20271201,idm_mobil,gap_q2,125,48,0,0.384,0
20271201,idm_mobil,gap_q3,125,37,0,0.296,0
20271201,idm_mobil,gap_q4,125,31,0,0.248,0
20271201,idm_mobil,all,500,162,0,0.324,0
20271201,vi_ttc,gap_q1,125,125,0,1.0,75
20271201,vi_ttc,gap_q2,125,125,0,1.0,77
20271201,vi_ttc,gap_q3,125,125,0,1.0,88
20271201,vi_ttc,gap_q4,125,125,0,1.0,94
20271201,vi_ttc,all,500,500,0,1.0,334
20271201,mcts_cv,gap_q1,125,5,1,0.04,0
20271201,mcts_cv,gap_q2,125,0,0,0.0,0
20271201,mcts_cv,gap_q3,125,0,0,0.0,0
20271201,mcts_cv,gap_q4,125,1,0,0.008,0
20271201,mcts_cv,all,500,6,1,0.012,0
20271201,ppo_ece,gap_q1,125,19,0,0.152,0
20271201,ppo_ece,gap_q2,125,18,0,0.144,0
20271201,ppo_ece,gap_q3,125,12,0,0.096,0
20271201,ppo_ece,gap_q4,125,8,0,0.064,0
20271201,ppo_ece,all,500,57,0,0.114,0
20271215,idm_mobil,gap_q1,125,49,0,0.392,0
20271215,idm_mobil,gap_q2,125,46,0,0.368,0
20271215,idm_mobil,gap_q3,125,37,0,0.296,0
20271215,idm_mobil,gap_q4,125,35,0,0.28,0
20271215,idm_mobil,all,500,167,0,0.334,0
20271215,vi_ttc,gap_q1,125,125,0,1.0,74
20271215,vi_ttc,gap_q2,125,125,0,1.0,79
20271215,vi_ttc,gap_q3,125,125,0,1.0,88
20271215,vi_ttc,gap_q4,125,123,0,0.984,88
20271215,vi_ttc,all,500,498,0,0.996,329
20271215,mcts_cv,gap_q1,125,6,1,0.048,0
20271215,mcts_cv,gap_q2,125,3,0,0.024,0
20271215,mcts_cv,gap_q3,125,1,0,0.008,0
20271215,mcts_cv,gap_q4,125,2,0,0.016,0
20271215,mcts_cv,all,500,12,1,0.024,0
20271215,ppo_ece,gap_q1,125,16,0,0.128,0
20271215,ppo_ece,gap_q2,125,18,0,0.144,0
20271215,ppo_ece,gap_q3,125,10,0,0.08,0
20271215,ppo_ece,gap_q4,125,9,0,0.072,0
20271215,ppo_ece,all,500,53,0,0.106,0
20271229,idm_mobil,gap_q1,125,49,0,0.392,0
20271229,idm_mobil,gap_q2,125,46,0,0.368,0
20271229,idm_mobil,gap_q3,125,35,0,0.28,0
20271229,idm_mobil,gap_q4,125,32,0,0.256,0
20271229,idm_mobil,all,500,162,0,0.324,0
20271229,vi_ttc,gap_q1,125,125,1,1.0,74
20271229,vi_ttc,gap_q2,125,125,0,1.0,77
20271229,vi_ttc,gap_q3,125,125,0,1.0,90
20271229,vi_ttc,gap_q4,125,124,0,0.992,92
20271229,vi_ttc,all,500,499,1,0.998,333
20271229,mcts_cv,gap_q1,125,5,0,0.04,0
20271229,mcts_cv,gap_q2,125,3,0,0.024,0
20271229,mcts_cv,gap_q3,125,1,0,0.008,0
20271229,mcts_cv,gap_q4,125,0,0,0.0,0
20271229,mcts_cv,all,500,9,0,0.018,0
20271229,ppo_ece,gap_q1,125,20,0,0.16,0
20271229,ppo_ece,gap_q2,125,23,0,0.184,0
20271229,ppo_ece,gap_q3,125,14,0,0.112,0
20271229,ppo_ece,gap_q4,125,9,0,0.072,0
20271229,ppo_ece,all,500,66,0,0.132,0
20280112,idm_mobil,gap_q1,125,52,0,0.416,0
20280112,idm_mobil,gap_q2,125,44,0,0.352,0
20280112,idm_mobil,gap_q3,125,33,0,0.264,0
20280112,idm_mobil,gap_q4,125,35,0,0.28,0
20280112,idm_mobil,all,500,164,0,0.328,0
20280112,vi_ttc,gap_q1,125,125,1,1.0,70
20280112,vi_ttc,gap_q2,125,125,0,1.0,81
20280112,vi_ttc,gap_q3,125,125,0,1.0,92
20280112,vi_ttc,gap_q4,125,125,0,1.0,90
20280112,vi_ttc,all,500,500,1,1.0,333
20280112,mcts_cv,gap_q1,125,6,0,0.048,0
20280112,mcts_cv,gap_q2,125,4,0,0.032,0
20280112,mcts_cv,gap_q3,125,0,0,0.0,0
20280112,mcts_cv,gap_q4,125,0,0,0.0,0
20280112,mcts_cv,all,500,10,0,0.02,0
20280112,ppo_ece,gap_q1,125,17,0,0.136,0
20280112,ppo_ece,gap_q2,125,18,0,0.144,0
20280112,ppo_ece,gap_q3,125,13,0,0.104,0
20280112,ppo_ece,gap_q4,125,10,0,0.08,0
20280112,ppo_ece,all,500,58,0,0.116,0
