method,reference,budget,units,mean_CVS_difference,CVS_bootstrap_low,CVS_bootstrap_high,mean_SeveritySum_difference,SeveritySum_bootstrap_low,SeveritySum_bootstrap_high
CoRe-Marginal,FPS-Marginal,10,12,0.041666666666666664,-0.16666666666666666,0.25,-0.041666666666666664,-0.2916666666666667,0.20833333333333334
CoRe-Marginal,FPS-Marginal,20,12,0.20833333333333334,-0.08333333333333333,0.5416666666666666,0.125,-0.125,0.375
CoRe-Marginal,FPS-Marginal,30,12,0.16666666666666666,-0.2916666666666667,0.7083333333333334,0.08333333333333333,-0.2916666666666667,0.5
CoRe-Marginal,FPS-Marginal,50,12,0.8333333333333334,-0.08333333333333333,1.625,0.3333333333333333,-0.9583333333333334,1.3333333333333333
CoRe-Marginal,MeanResidual-Marginal,10,12,-0.375,-0.75,0.0,-0.4583333333333333,-0.7916666666666666,-0.16666666666666666
CoRe-Marginal,MeanResidual-Marginal,20,12,-0.20833333333333334,-0.75,0.375,-0.16666666666666666,-0.5427083333333332,0.25
CoRe-Marginal,MeanResidual-Marginal,30,12,0.3333333333333333,-0.2916666666666667,1.0,-0.16666666666666666,-0.625,0.375
CoRe-Marginal,MeanResidual-Marginal,50,12,0.875,-0.08333333333333333,1.75,-0.125,-1.4166666666666667,1.25
CoRe-Marginal,TargetOnlyGP-Marginal,10,12,0.7083333333333334,0.25,1.1666666666666667,0.6666666666666666,0.20729166666666674,1.125
CoRe-Marginal,TargetOnlyGP-Marginal,20,12,1.7083333333333333,0.75,2.6666666666666665,1.875,0.75,3.0427083333333274
CoRe-Marginal,TargetOnlyGP-Marginal,30,12,2.1666666666666665,1.0833333333333333,3.25,2.7916666666666665,1.2916666666666667,4.541666666666667
CoRe-Marginal,TargetOnlyGP-Marginal,50,12,2.6666666666666665,1.2916666666666667,3.9166666666666665,5.0,2.875,7.333333333333333
