trial,residual_length,residual_amplitude,observation_noise,lambda,include_null,compositional,coverage_length,B_ref,units,mean_CVS20,mean_SeveritySum20
1,0.15,0.15,0.05,0,True,True,0.2,50,8,5.3125,5.625
2,0.15,0.25,0.05,0.1,True,True,0.2,50,8,5.5625,5.8125
3,0.15,0.5,0.05,0.3,True,True,0.2,50,8,4.8125,5.5
4,0.3,0.15,0.05,0.1,True,True,0.2,50,8,5.6875,6.0
5,0.3,0.25,0.05,0,True,True,0.2,50,8,5.5625,5.8125
6,0.3,0.5,0.05,0.3,True,True,0.2,50,8,5.3125,5.9375
7,0.6,0.15,0.05,0,True,True,0.2,50,8,5.6875,5.9375
8,0.6,0.25,0.05,0.1,True,True,0.2,50,8,5.4375,6.0
9,0.6,0.5,0.05,0.3,True,True,0.2,50,8,5.3125,5.75
10,0.15,0.5,0.05,0.1,True,True,0.2,50,8,4.8125,5.3125
11,0.3,0.25,0.05,0.1,True,True,0.2,50,8,5.6875,5.9375
12,0.6,0.15,0.05,0.3,True,True,0.2,50,8,5.625,6.1875
