method,reference,budget,units,mean_CVS_difference,CVS_bootstrap_low,CVS_bootstrap_high,mean_SeveritySum_difference,SeveritySum_bootstrap_low,SeveritySum_bootstrap_high
CoRe-Marginal,FPS-Marginal,10,9,0.7777777777777778,0.16666666666666666,1.4444444444444444,0.7777777777777778,0.16666666666666666,1.3888888888888888
CoRe-Marginal,FPS-Marginal,20,9,0.7777777777777778,0.2222222222222222,1.3333333333333333,1.3888888888888888,0.3888888888888889,2.4444444444444446
CoRe-Marginal,FPS-Marginal,30,9,0.3333333333333333,-0.3902777777777777,1.1111111111111112,1.8888888888888888,0.16666666666666666,3.6666666666666665
CoRe-Marginal,FPS-Marginal,50,9,1.1666666666666667,0.2777777777777778,2.1666666666666665,3.111111111111111,1.3333333333333333,5.111111111111111
CoRe-Marginal,MeanResidual-Marginal,10,9,0.4444444444444444,0.05555555555555555,0.8888888888888888,0.16666666666666666,-0.4444444444444444,0.7222222222222222
CoRe-Marginal,MeanResidual-Marginal,20,9,0.6666666666666666,-0.9444444444444444,2.4444444444444446,-0.4444444444444444,-1.1111111111111112,0.2777777777777778
CoRe-Marginal,MeanResidual-Marginal,30,9,0.7777777777777778,-1.1111111111111112,2.5,-1.7222222222222223,-2.611111111111111,-0.8333333333333334
CoRe-Marginal,MeanResidual-Marginal,50,9,0.8333333333333334,-0.5555555555555556,2.388888888888889,-0.4444444444444444,-2.723611111111111,1.8347222222222146
CoRe-Marginal,TargetOnlyGP-Marginal,10,9,4.722222222222222,3.888888888888889,5.666666666666667,4.833333333333333,4.111111111111111,5.666666666666667
CoRe-Marginal,TargetOnlyGP-Marginal,20,9,6.833333333333333,4.722222222222222,8.722222222222221,8.722222222222221,6.722222222222222,10.833333333333334
CoRe-Marginal,TargetOnlyGP-Marginal,30,9,6.5,4.722222222222222,8.666666666666666,11.0,8.722222222222221,13.555555555555555
CoRe-Marginal,TargetOnlyGP-Marginal,50,9,6.722222222222222,5.222222222222222,8.555555555555555,14.444444444444445,11.722222222222221,17.72222222222222
