seed,target,regime,candidates,critical_events,collisions,critical_rate,all_source_safe_target_failures
20281209,idm_mobil,gap_q1,80,19,11,0.2375,0
20281209,idm_mobil,gap_q2,80,2,0,0.025,0
20281209,idm_mobil,gap_q3,80,0,0,0.0,0
20281209,idm_mobil,gap_q4,80,0,0,0.0,0
20281209,idm_mobil,all,320,21,11,0.065625,0
20281209,mcts_cv,gap_q1,80,31,18,0.3875,7
20281209,mcts_cv,gap_q2,80,9,5,0.1125,4
20281209,mcts_cv,gap_q3,80,1,0,0.0125,1
20281209,mcts_cv,gap_q4,80,0,0,0.0,0
20281209,mcts_cv,all,320,41,23,0.128125,12
20281209,ppo_ece,gap_q1,80,12,1,0.15,0
20281209,ppo_ece,gap_q2,80,1,0,0.0125,0
20281209,ppo_ece,gap_q3,80,0,0,0.0,0
20281209,ppo_ece,gap_q4,80,0,0,0.0,0
20281209,ppo_ece,all,320,13,1,0.040625,0
20281209,vi_ttc,gap_q1,80,42,23,0.525,17
20281209,vi_ttc,gap_q2,80,22,2,0.275,17
20281209,vi_ttc,gap_q3,80,10,0,0.125,10
20281209,vi_ttc,gap_q4,80,0,0,0.0,0
20281209,vi_ttc,all,320,74,25,0.23125,44
