seed,target,method,query,candidate_index,original_index,mode,ego_collision,background_collision,near_miss,completed,min_ttc,min_clearance
20300905,idm_delay07,ModeQuantile-Static,1,25,28,fast_intrusion,True,True,False,False,0.8125436480615422,0.0
20300905,idm_delay07,ModeQuantile-Static,2,97,163,cutin_braking,True,True,False,False,0.861788193806056,0.004094233751743559
20300905,idm_delay07,ModeQuantile-Static,3,159,287,lead_braking,True,True,False,False,0.8636282558011908,0.0
20300905,idm_delay07,ModeQuantile-Static,4,193,385,stop_and_go,True,True,False,False,0.9731801650742624,0.0
20300905,idm_delay07,ModeQuantile-Static,5,257,513,slow_lead_following,True,True,False,False,0.7253568839271135,0.0
20300905,idm_delay07,ModeQuantile-Static,6,33,36,fast_intrusion,True,True,False,False,1.3601862276891277,0.0
20300905,idm_delay07,ModeQuantile-Static,7,82,147,cutin_braking,True,True,False,False,1.315642189537442,0.0
20300905,idm_delay07,ModeQuantile-Static,8,175,303,lead_braking,True,True,False,False,1.1824265379759789,0.0
20300905,idm_delay07,ModeQuantile-Static,9,225,417,stop_and_go,True,True,False,False,1.48694876955318,0.0
20300905,idm_delay07,ModeQuantile-Static,10,281,537,slow_lead_following,True,True,False,False,1.1234029342691445,0.0
20300905,idm_delay07,ModeQuantile-Static,11,21,24,fast_intrusion,True,True,False,False,1.3357806591124544,0.0
20300905,idm_delay07,ModeQuantile-Static,12,117,183,cutin_braking,True,True,False,False,1.288406346299855,0.0
20300905,idm_delay07,ModeQuantile-Static,13,143,271,lead_braking,True,True,False,False,0.8179783170420626,0.0
20300905,idm_delay07,ModeQuantile-Static,14,241,433,stop_and_go,True,True,False,False,1.7247183577497136,0.0
20300905,idm_delay07,ModeQuantile-Static,15,273,529,slow_lead_following,True,True,False,False,1.1883491086590776,0.0
20300905,idm_delay07,ModeQuantile-Static,16,62,67,fast_intrusion,True,True,False,False,1.4668205765085436,1.4210854715202004e-14
20300905,idm_delay07,ModeQuantile-Static,17,105,171,cutin_braking,True,True,False,False,1.3319795622420214,0.0
20300905,idm_delay07,ModeQuantile-Static,18,135,263,lead_braking,False,False,False,True,1.9701806315051718,3.2296718759745886
20300905,idm_delay07,ModeQuantile-Static,19,247,439,stop_and_go,False,False,False,True,3.0750311770433685,11.527644070982944
20300905,idm_delay07,ModeQuantile-Static,20,297,553,slow_lead_following,False,False,True,True,1.5275318668597848,0.6428206354755872
20300905,idm_delay07,ModeQuantile-Static,21,48,52,fast_intrusion,False,False,True,True,1.5754704669111739,0.9233892906681263
20300905,idm_delay07,ModeQuantile-Static,22,98,164,cutin_braking,True,True,False,False,1.4379868394828994,0.0
20300905,idm_delay07,ModeQuantile-Static,23,165,293,lead_braking,False,False,False,True,2.4855783716047632,20.50120339961083
20300905,idm_delay07,ModeQuantile-Static,24,219,411,stop_and_go,False,False,False,True,3.050765698058619,18.94144046316117
20300905,idm_delay07,ModeQuantile-Static,25,277,533,slow_lead_following,False,False,True,True,1.509267653871105,0.5066429087175379
20300905,idm_delay07,ModeQuantile-Static,26,63,68,fast_intrusion,False,False,False,True,1.7370130356300892,2.32022507873927
20300905,idm_delay07,ModeQuantile-Static,27,75,140,cutin_braking,True,True,False,False,0.7078231237411882,0.0
20300905,idm_delay07,ModeQuantile-Static,28,167,295,lead_braking,True,True,False,False,0.7202862915422991,0.0
20300905,idm_delay07,ModeQuantile-Static,29,233,425,stop_and_go,True,True,False,False,0.9554062420724542,0.0
20300905,idm_delay07,ModeQuantile-Static,30,312,569,slow_lead_following,False,False,True,True,1.5724832814507381,0.9853062951139009
20300905,idm_delay07,ModeQuantile-Static,31,4,4,fast_intrusion,False,False,False,True,1.6069328322123984,1.0462853900718585
20300905,idm_delay07,ModeQuantile-Static,32,113,179,cutin_braking,False,False,True,True,1.4235276540629906,0.8996631314001604
20300905,idm_delay07,ModeQuantile-Static,33,187,315,lead_braking,False,False,True,True,1.1373216007199145,1.0426593188929303
20300905,idm_delay07,ModeQuantile-Static,34,236,428,stop_and_go,False,False,False,True,3.3467366247449117,19.938643042000535
20300905,idm_delay07,ModeQuantile-Static,35,293,549,slow_lead_following,False,False,False,True,1.707673444135463,2.076962338531473
20300905,idm_delay07,ModeQuantile-Static,36,37,40,fast_intrusion,False,False,False,True,1.8839725660138176,3.6181792691868395
20300905,idm_delay07,ModeQuantile-Static,37,67,131,cutin_braking,True,True,False,False,1.3508963435308354,0.0
20300905,idm_delay07,ModeQuantile-Static,38,179,307,lead_braking,False,False,False,True,2.018427476047475,7.67442685629311
20300905,idm_delay07,ModeQuantile-Static,39,209,401,stop_and_go,True,True,False,False,1.157553898300542,0.0
20300905,idm_delay07,ModeQuantile-Static,40,270,526,slow_lead_following,False,False,True,True,1.617053537662918,0.7439245190042953
20300905,idm_delay07,ModeQuantile-Static,41,29,32,fast_intrusion,False,False,False,True,2.1155748168066943,4.953803365713327
20300905,idm_delay07,ModeQuantile-Static,42,109,175,cutin_braking,False,False,True,True,1.3407328442790465,2.4376842846385784
20300905,idm_delay07,ModeQuantile-Static,43,185,313,lead_braking,False,False,False,True,1.7176539592224793,10.33458013062588
20300905,idm_delay07,ModeQuantile-Static,44,199,391,stop_and_go,False,False,False,True,3.9160829436294518,14.442462944395857
20300905,idm_delay07,ModeQuantile-Static,45,289,545,slow_lead_following,False,False,False,True,1.7564970201755299,1.921481088047429
20300905,idm_delay07,ModeQuantile-Static,46,32,35,fast_intrusion,False,False,False,True,2.110631566806056,3.073824543247852
20300905,idm_delay07,ModeQuantile-Static,47,71,135,cutin_braking,False,False,False,True,2.0192650587967966,4.7122041774688626
20300905,idm_delay07,ModeQuantile-Static,48,183,311,lead_braking,False,False,False,True,1.5721249935910755,3.118211337670388
20300905,idm_delay07,ModeQuantile-Static,49,250,442,stop_and_go,False,False,False,True,4.16952096314382,11.70114800483168
20300905,idm_delay07,ModeQuantile-Static,50,265,521,slow_lead_following,False,False,False,True,1.8484358080478913,3.1744328540062696
20300905,idm_brake3,ModeQuantile-Static,1,25,28,fast_intrusion,True,True,False,False,1.493155070627856,0.0
20300905,idm_brake3,ModeQuantile-Static,2,97,163,cutin_braking,True,True,False,False,1.1932821214917544,0.0016011637595738648
20300905,idm_brake3,ModeQuantile-Static,3,159,287,lead_braking,True,True,False,False,0.6637292635550204,0.0
20300905,idm_brake3,ModeQuantile-Static,4,193,385,stop_and_go,True,True,False,False,1.4288565874879389,0.0
20300905,idm_brake3,ModeQuantile-Static,5,257,513,slow_lead_following,True,True,False,False,1.2153580603412022,0.0
20300905,idm_brake3,ModeQuantile-Static,6,33,36,fast_intrusion,False,False,False,True,2.1156513781509587,1.5490683349087817
20300905,idm_brake3,ModeQuantile-Static,7,82,147,cutin_braking,False,False,True,True,1.6950731347312888,0.11280543715093927
20300905,idm_brake3,ModeQuantile-Static,8,175,303,lead_braking,True,True,False,False,0.9944605481032637,0.0
20300905,idm_brake3,ModeQuantile-Static,9,225,417,stop_and_go,True,True,False,False,1.5125586201136494,0.0
20300905,idm_brake3,ModeQuantile-Static,10,281,537,slow_lead_following,False,False,True,True,1.9007019391869286,0.2763976803046688
20300905,idm_brake3,ModeQuantile-Static,11,21,24,fast_intrusion,False,False,False,True,2.1381657345256846,1.6814013597289943
20300905,idm_brake3,ModeQuantile-Static,12,117,183,cutin_braking,False,False,True,True,1.6298364974782555,0.9915355295389929
20300905,idm_brake3,ModeQuantile-Static,13,143,271,lead_braking,True,True,False,False,0.8720697380438178,0.0
20300905,idm_brake3,ModeQuantile-Static,14,241,433,stop_and_go,False,False,False,True,2.645375569819022,1.9842687607495435
20300905,idm_brake3,ModeQuantile-Static,15,273,529,slow_lead_following,False,False,True,True,2.0115974268667287,0.9186341323005536
20300905,idm_brake3,ModeQuantile-Static,16,62,67,fast_intrusion,False,False,False,True,2.4069245757245015,2.137446037879286
20300905,idm_brake3,ModeQuantile-Static,17,105,171,cutin_braking,True,True,False,False,1.9119305353582678,2.842170943040401e-14
20300905,idm_brake3,ModeQuantile-Static,18,135,263,lead_braking,False,False,False,True,2.855414370527405,5.239435658707421
20300905,idm_brake3,ModeQuantile-Static,19,247,439,stop_and_go,False,False,False,True,1.8534344851164541,9.883916369587922
20300905,idm_brake3,ModeQuantile-Static,20,297,553,slow_lead_following,False,False,False,True,2.2932463996450827,2.7161960090437987
20300905,idm_brake3,ModeQuantile-Static,21,48,52,fast_intrusion,False,False,False,True,2.4311196610437693,3.283011956003321
20300905,idm_brake3,ModeQuantile-Static,22,98,164,cutin_braking,False,False,True,True,2.5113695539543865,0.32225383018536036
20300905,idm_brake3,ModeQuantile-Static,23,165,293,lead_braking,False,False,False,True,2.5452445948966984,22.046310523857244
20300905,idm_brake3,ModeQuantile-Static,24,219,411,stop_and_go,False,False,False,True,2.946978017692661,20.871393544029615
20300905,idm_brake3,ModeQuantile-Static,25,277,533,slow_lead_following,False,False,False,True,2.2135761885388296,2.184125813096699
20300905,idm_brake3,ModeQuantile-Static,26,63,68,fast_intrusion,False,False,False,True,2.5389057195664537,4.40110147523233
20300905,idm_brake3,ModeQuantile-Static,27,75,140,cutin_braking,False,False,True,True,0.97660294277913,0.3556145006713507
20300905,idm_brake3,ModeQuantile-Static,28,167,295,lead_braking,True,True,False,False,0.878767799085526,0.0
20300905,idm_brake3,ModeQuantile-Static,29,233,425,stop_and_go,True,True,False,False,0.8214197908248342,0.0
20300905,idm_brake3,ModeQuantile-Static,30,312,569,slow_lead_following,False,False,False,True,2.3869006695844144,3.367564667717133
20300905,idm_brake3,ModeQuantile-Static,31,4,4,fast_intrusion,False,False,False,True,2.513601848072969,3.6246572527921614
20300905,idm_brake3,ModeQuantile-Static,32,113,179,cutin_braking,False,False,False,True,1.8193890090957423,2.863042462855958
20300905,idm_brake3,ModeQuantile-Static,33,187,315,lead_braking,False,False,True,True,1.4051477767953722,2.905581314174711
20300905,idm_brake3,ModeQuantile-Static,34,236,428,stop_and_go,False,False,False,True,3.2237593117412007,21.712890952539396
20300905,idm_brake3,ModeQuantile-Static,35,293,549,slow_lead_following,False,False,False,True,2.4612777000315864,3.902382439726722
20300905,idm_brake3,ModeQuantile-Static,36,37,40,fast_intrusion,False,False,False,True,2.6785872436741567,5.4811776172419115
20300905,idm_brake3,ModeQuantile-Static,37,67,131,cutin_braking,False,False,False,True,1.5783303445417383,1.452797519000626
20300905,idm_brake3,ModeQuantile-Static,38,179,307,lead_braking,False,False,False,True,1.6548126528450358,7.925473056535708
20300905,idm_brake3,ModeQuantile-Static,39,209,401,stop_and_go,True,True,False,False,0.8745307023644258,0.0
20300905,idm_brake3,ModeQuantile-Static,40,270,526,slow_lead_following,False,False,False,True,2.535492629478094,3.28229716301891
20300905,idm_brake3,ModeQuantile-Static,41,29,32,fast_intrusion,False,False,False,True,3.031071376526476,7.4822769390148265
20300905,idm_brake3,ModeQuantile-Static,42,109,175,cutin_braking,False,False,False,True,1.578297350514428,4.00275245759002
20300905,idm_brake3,ModeQuantile-Static,43,185,313,lead_braking,False,False,False,True,1.9407065404952115,12.411042792464102
20300905,idm_brake3,ModeQuantile-Static,44,199,391,stop_and_go,False,False,False,True,3.1980365052301365,15.152303403498081
20300905,idm_brake3,ModeQuantile-Static,45,289,545,slow_lead_following,False,False,False,True,2.6558031344182544,4.517892765433231
20300905,idm_brake3,ModeQuantile-Static,46,32,35,fast_intrusion,False,False,False,True,3.1572306755062103,5.385115803607707
20300905,idm_brake3,ModeQuantile-Static,47,71,135,cutin_braking,False,False,False,True,2.5653931333095157,6.767376828111338
20300905,idm_brake3,ModeQuantile-Static,48,183,311,lead_braking,False,False,False,True,2.2337664195124867,5.626012833499132
20300905,idm_brake3,ModeQuantile-Static,49,250,442,stop_and_go,False,False,False,True,2.630437076430908,10.718700398961488
20300905,idm_brake3,ModeQuantile-Static,50,265,521,slow_lead_following,False,False,False,True,2.6983553744315434,5.633403845131582
20300905,idm_delay07_brake3,ModeQuantile-Static,1,25,28,fast_intrusion,True,True,False,False,0.7468470484492838,0.0
20300905,idm_delay07_brake3,ModeQuantile-Static,2,97,163,cutin_braking,True,True,False,False,0.7358543624804317,0.004094233751715137
20300905,idm_delay07_brake3,ModeQuantile-Static,3,159,287,lead_braking,True,True,False,False,0.6956786729780166,0.0
20300905,idm_delay07_brake3,ModeQuantile-Static,4,193,385,stop_and_go,True,True,False,False,0.8420634530374628,0.0
20300905,idm_delay07_brake3,ModeQuantile-Static,5,257,513,slow_lead_following,True,True,False,False,0.6302995952324328,0.0
20300905,idm_delay07_brake3,ModeQuantile-Static,6,33,36,fast_intrusion,True,True,False,False,0.9401781946992053,0.0003073438243745841
20300905,idm_delay07_brake3,ModeQuantile-Static,7,82,147,cutin_braking,True,True,False,False,0.8770088864591955,0.0
20300905,idm_delay07_brake3,ModeQuantile-Static,8,175,303,lead_braking,True,True,False,False,0.9321336659192002,0.0
20300905,idm_delay07_brake3,ModeQuantile-Static,9,225,417,stop_and_go,True,True,False,False,1.4670103908472956,0.0
20300905,idm_delay07_brake3,ModeQuantile-Static,10,281,537,slow_lead_following,True,True,False,False,0.7870570766429016,0.0
20300905,idm_delay07_brake3,ModeQuantile-Static,11,21,24,fast_intrusion,True,True,False,False,0.9232169376039421,0.0
20300905,idm_delay07_brake3,ModeQuantile-Static,12,117,183,cutin_braking,True,True,False,False,0.7339518803988826,0.0
20300905,idm_delay07_brake3,ModeQuantile-Static,13,143,271,lead_braking,True,True,False,False,0.6610945946572078,0.0
20300905,idm_delay07_brake3,ModeQuantile-Static,14,241,433,stop_and_go,True,True,False,False,1.1074676290108738,0.0
20300905,idm_delay07_brake3,ModeQuantile-Static,15,273,529,slow_lead_following,True,True,False,False,0.9068064482594042,0.0
20300905,idm_delay07_brake3,ModeQuantile-Static,16,62,67,fast_intrusion,True,True,False,False,1.4289528323640865,0.0
20300905,idm_delay07_brake3,ModeQuantile-Static,17,105,171,cutin_braking,True,True,False,False,1.2482515426945031,0.0
20300905,idm_delay07_brake3,ModeQuantile-Static,18,135,263,lead_braking,True,True,False,False,1.1068383205920782,0.0
20300905,idm_delay07_brake3,ModeQuantile-Static,19,247,439,stop_and_go,True,True,False,False,0.6937219872487276,0.0
20300905,idm_delay07_brake3,ModeQuantile-Static,20,297,553,slow_lead_following,True,True,False,False,0.9255829415904973,0.0
20300905,idm_delay07_brake3,ModeQuantile-Static,21,48,52,fast_intrusion,True,True,False,False,1.3903422277655852,0.0
20300905,idm_delay07_brake3,ModeQuantile-Static,22,98,164,cutin_braking,True,True,False,False,1.435662398817211,0.0
20300905,idm_delay07_brake3,ModeQuantile-Static,23,165,293,lead_braking,False,False,False,True,1.76569045561388,14.192393669059896
20300905,idm_delay07_brake3,ModeQuantile-Static,24,219,411,stop_and_go,False,False,False,True,2.3576637046021514,16.556533039753987
20300905,idm_delay07_brake3,ModeQuantile-Static,25,277,533,slow_lead_following,True,True,False,False,0.8175428791923691,0.0
20300905,idm_delay07_brake3,ModeQuantile-Static,26,63,68,fast_intrusion,True,True,False,False,1.3673959261438298,0.0
20300905,idm_delay07_brake3,ModeQuantile-Static,27,75,140,cutin_braking,True,True,False,False,0.5099705836561019,0.0
20300905,idm_delay07_brake3,ModeQuantile-Static,28,167,295,lead_braking,True,True,False,False,0.5548287678754205,0.0
20300905,idm_delay07_brake3,ModeQuantile-Static,29,233,425,stop_and_go,True,True,False,False,0.638722626747748,0.0
20300905,idm_delay07_brake3,ModeQuantile-Static,30,312,569,slow_lead_following,True,True,False,False,1.0983457880679455,0.0
20300905,idm_delay07_brake3,ModeQuantile-Static,31,4,4,fast_intrusion,True,True,False,False,1.499138616024853,0.00013590707720823048
20300905,idm_delay07_brake3,ModeQuantile-Static,32,113,179,cutin_braking,True,True,False,False,0.7135371035272122,0.0
20300905,idm_delay07_brake3,ModeQuantile-Static,33,187,315,lead_braking,True,True,False,False,0.542579513124569,0.0
20300905,idm_delay07_brake3,ModeQuantile-Static,34,236,428,stop_and_go,False,False,False,True,2.426974163128545,16.808882499169925
20300905,idm_delay07_brake3,ModeQuantile-Static,35,293,549,slow_lead_following,True,True,False,False,0.9816769424970193,0.0
20300905,idm_delay07_brake3,ModeQuantile-Static,36,37,40,fast_intrusion,True,True,False,False,1.520745425309213,2.842170943040401e-14
20300905,idm_delay07_brake3,ModeQuantile-Static,37,67,131,cutin_braking,True,True,False,False,0.7802976405861217,0.0
20300905,idm_delay07_brake3,ModeQuantile-Static,38,179,307,lead_braking,True,True,False,False,0.6736017914653794,0.0
