seed,target,method,query,index,mode,ego_collision,near_miss,background_collision,event,completed,min_ttc,min_clearance,response,selection_seconds,elapsed_seconds
20330814,fvdm_delay05_brake3,TargetGP-Marginal,1,259,slow_lead_following,False,False,False,False,True,53.67962217414329,9.620486518039158,4.236612810130212e-09,0.0013998000649735332,0.14918060007039458
20330814,fvdm_delay05_brake3,TargetGP-Marginal,2,292,slow_lead_following,True,False,True,True,False,0.8074017168322628,0.0,1.1910102348573397,0.0016796001000329852,0.03847969998605549
20330814,fvdm_delay05_brake3,TargetGP-Marginal,3,276,slow_lead_following,True,False,True,True,False,1.646518059693215,0.0,1.1444049585172342,0.0016135999467223883,0.05216570000629872
20330814,fvdm_delay05_brake3,TargetGP-Marginal,4,282,slow_lead_following,True,False,True,True,False,1.6653378466186881,0.0,1.143501903844781,0.0016706000315025449,0.0471160999732092
20330814,fvdm_delay05_brake3,TargetGP-Marginal,5,309,slow_lead_following,False,False,False,False,True,5.518026577692379,3.143494194314272,0.039730482939822336,0.0016174999764189124,0.14826539997011423
20330814,fvdm_delay05_brake3,TargetGP-Marginal,6,125,cutin_braking,False,False,False,False,True,4.947658989712236,10.189084485086966,0.04804995767798864,0.0035171000054106116,0.14460740005597472
20330814,fvdm_delay05_brake3,TargetGP-Marginal,7,13,fast_intrusion,False,False,False,False,True,inf,5.449903183321855,0.0,0.0018753999611362815,0.14945310004986823
20330814,fvdm_delay05_brake3,TargetGP-Marginal,8,319,slow_lead_following,False,False,False,False,True,7.339276400971982,10.716966564981504,0.02165064943230011,0.002083199913613498,0.15268549998290837
20330814,fvdm_delay05_brake3,TargetGP-Marginal,9,245,stop_and_go,False,False,False,False,True,4.041716467854305,11.515300331924152,0.06498926453429081,0.0021782000549137592,0.14742709998972714
20330814,fvdm_delay05_brake3,TargetGP-Marginal,10,150,lead_braking,False,False,False,False,True,2.371072659057627,8.528153844932348,0.11342063767819917,0.002729099942371249,0.16060129995457828
20330814,fvdm_delay05_brake3,TargetGP-Marginal,11,300,slow_lead_following,False,False,False,False,True,2.171332508593818,1.6130145716126094,0.12122925410309662,0.002661900012753904,0.14568170008715242
20330814,fvdm_delay05_brake3,TargetGP-Marginal,12,296,slow_lead_following,False,False,False,False,True,2.9548153382839493,5.972648804895385,0.0933655535717408,0.0022699000546708703,0.14642520004417747
20330814,fvdm_delay05_brake3,TargetGP-Marginal,13,303,slow_lead_following,False,False,False,False,True,inf,15.30061022578738,0.0,0.002317700069397688,0.16491550009232014
20330814,fvdm_delay05_brake3,TargetGP-Marginal,14,23,fast_intrusion,False,False,False,False,True,inf,11.07459348891409,0.0,0.002290199976414442,0.1571171999676153
20330814,fvdm_delay05_brake3,TargetGP-Marginal,15,231,stop_and_go,False,False,False,False,True,9.108854935159586,3.805217936821279,0.012003231911393282,0.0025119000347331166,0.1645233000162989
20330814,fvdm_delay05_brake3,TargetGP-Marginal,16,139,lead_braking,False,False,False,False,True,5.342468920741513,11.401281313365331,0.042124854905288125,0.0023707000073045492,0.1605858999537304
20330814,fvdm_delay05_brake3,TargetGP-Marginal,17,234,stop_and_go,False,False,False,False,True,2.0420690144946714,3.488708446423942,0.12656692838077874,0.002406400046311319,0.1585476000327617
20330814,fvdm_delay05_brake3,TargetGP-Marginal,18,0,fast_intrusion,False,False,False,False,True,3.8593066692343596,8.681015272918216,0.0690634302600956,0.002684399951249361,0.14640470000449568
20330814,fvdm_delay05_brake3,TargetGP-Marginal,19,268,slow_lead_following,True,False,True,True,False,0.7234169910056936,0.0,1.1964331010873137,0.002880799933336675,0.03166169999167323
20330814,fvdm_delay05_brake3,TargetGP-Marginal,20,4,fast_intrusion,False,False,False,False,True,2.532782436343833,3.494705248158681,0.10746874979743169,0.0025501999771222472,0.1492642000084743
20330814,fvdm_delay05_brake3,TargetGP-Marginal,21,112,cutin_braking,False,False,False,False,True,5.090037469317732,7.091993365302756,0.045822798972586364,0.0025683999992907047,0.15654260001610965
20330814,fvdm_delay05_brake3,TargetGP-Marginal,22,118,cutin_braking,False,False,False,False,True,2.4829532881299534,4.579946586736611,0.10926868201902634,0.0024184000212699175,0.16204900003504008
20330814,fvdm_delay05_brake3,TargetGP-Marginal,23,40,fast_intrusion,False,False,False,False,True,4.492882827858133,8.616972506771248,0.05591503512000169,0.0024004000006243587,0.15437719994224608
20330814,fvdm_delay05_brake3,TargetGP-Marginal,24,215,stop_and_go,False,False,False,False,True,8.192727393494977,2.82082949876785,0.016290005930918044,0.0030388999730348587,0.1485744999954477
20330814,fvdm_delay05_brake3,TargetGP-Marginal,25,115,cutin_braking,False,False,False,False,True,306.70927340630044,2.0,9.936307252183757e-46,0.0026359999319538474,0.1432195999659598
