seed,target,method,query,index,mode,ego_collision,near_miss,background_collision,event,completed,min_ttc,min_clearance,response,selection_seconds,elapsed_seconds
20330814,vi_ttc,ModeQuantile-Static,1,28,fast_intrusion,True,False,True,True,False,0.4039676636326893,0.0,1.2185041549151185,0.00011000002268701792,0.17984250001609325
20330814,vi_ttc,ModeQuantile-Static,2,66,cutin_braking,True,False,True,True,False,0.4434194361432864,0.1655606891606872,1.2156495074676001,0.00010200007818639278,0.16206790006253868
20330814,vi_ttc,ModeQuantile-Static,3,168,lead_braking,True,False,True,True,False,0.47790796358506676,0.0,1.2131845587054024,0.00010579999070614576,0.06518779997713864
20330814,vi_ttc,ModeQuantile-Static,4,204,stop_and_go,True,False,True,True,False,0.4586635027074351,1.4210854715202004e-14,1.2145564949964371,0.00010379997547715902,0.08595239999704063
20330814,vi_ttc,ModeQuantile-Static,5,266,slow_lead_following,True,False,True,True,False,0.5276550890698888,0.0,1.209678601262333,0.00010770000517368317,0.05286210007034242
20330814,vi_ttc,ModeQuantile-Static,6,176,lead_braking,True,False,True,True,False,0.4895651551929588,0.0,1.2123577882996277,0.00010450009722262621,0.1502830000827089
20330814,vi_ttc,ModeQuantile-Static,7,106,cutin_braking,True,False,True,True,False,0.42708818994357517,0.004855184071120772,1.2168266503286875,0.00010890001431107521,0.1483039999147877
20330814,vi_ttc,ModeQuantile-Static,8,274,slow_lead_following,True,False,True,True,False,0.41798725965204353,0.0,1.2174854238087127,0.00010900001507252455,0.07748620002530515
20330814,vi_ttc,ModeQuantile-Static,9,52,fast_intrusion,True,False,True,True,False,0.454940381493303,0.0,1.2148229335721428,0.00011370005086064339,0.1590777999954298
20330814,vi_ttc,ModeQuantile-Static,10,252,stop_and_go,True,False,True,True,False,0.5572391723086276,0.0,1.2076210466830757,0.00010599999222904444,0.20367009995970875
20330814,vi_ttc,ModeQuantile-Static,11,138,lead_braking,True,False,True,True,False,0.3280481560141404,0.0,1.22410429194095,5.709996912628412e-05,0.2249683999689296
20330814,vi_ttc,ModeQuantile-Static,12,86,cutin_braking,True,False,True,True,False,0.4045897597668311,0.0,1.218458849415988,5.479995161294937e-05,0.17233530001249164
20330814,vi_ttc,ModeQuantile-Static,13,268,slow_lead_following,True,False,True,True,False,0.4090128679620903,0.0,1.218136997696061,5.530007183551788e-05,0.0788206000579521
20330814,vi_ttc,ModeQuantile-Static,14,50,fast_intrusion,True,False,True,True,False,0.5073550784596259,0.015400659698366494,1.2111022384152412,5.4699950851500034e-05,0.12481710000429302
20330814,vi_ttc,ModeQuantile-Static,15,198,stop_and_go,True,False,True,True,False,0.3971583859860314,0.0,1.219000670006063,6.250001024454832e-05,0.11093759990762919
20330814,vi_ttc,ModeQuantile-Static,16,188,lead_braking,True,False,True,True,False,0.4255689252795371,0.0,1.216936483826721,5.3200055845081806e-05,0.2055537000996992
20330814,vi_ttc,ModeQuantile-Static,17,90,cutin_braking,True,False,True,True,False,0.49683435332083203,0.001957207217766433,1.2118438542534327,5.8299978263676167e-05,0.16964860004372895
20330814,vi_ttc,ModeQuantile-Static,18,292,slow_lead_following,True,False,True,True,False,0.39539722032092345,0.0,1.2191292732378523,5.7200086303055286e-05,0.09110960003454238
20330814,vi_ttc,ModeQuantile-Static,19,26,fast_intrusion,False,True,False,True,True,0.6923959224265565,0.7099370797146937,0.6984748272161192,5.579995922744274e-05,0.5736958999186754
20330814,vi_ttc,ModeQuantile-Static,20,200,stop_and_go,True,False,True,True,False,0.6123371979935978,0.0,1.203842679728269,5.7999975979328156e-05,0.1876168999588117
20330814,vi_ttc,ModeQuantile-Static,21,152,lead_braking,True,False,True,True,False,0.5974609059311703,1.4210854715202004e-14,1.2048559978006095,5.689996760338545e-05,0.20346270001027733
20330814,vi_ttc,ModeQuantile-Static,22,114,cutin_braking,False,True,False,True,True,0.7997593408343046,0.8019456009142696,0.6914974458468662,5.64999645575881e-05,0.5599132999777794
20330814,vi_ttc,ModeQuantile-Static,23,316,slow_lead_following,True,False,True,True,False,0.4428135290434485,0.0,1.215693066388779,5.589995998889208e-05,0.09269799990579486
20330814,vi_ttc,ModeQuantile-Static,24,34,fast_intrusion,True,False,True,True,False,0.6068903178213807,0.0,1.2042131181322608,5.6200078688561916e-05,0.1275885000359267
20330814,vi_ttc,ModeQuantile-Static,25,212,stop_and_go,True,False,True,True,False,0.4419761450141179,0.0,1.2157532807684919,5.64999645575881e-05,0.2255834999959916
20330814,vi_ttc,ModeQuantile-Static,26,182,lead_braking,True,False,True,True,False,0.4492929156430749,0.0,1.2152277161789946,5.9299985878169537e-05,0.25636629993095994
20330814,vi_ttc,ModeQuantile-Static,27,80,cutin_braking,True,False,True,True,False,0.5670188071084089,0.0031100209647518806,1.206945329321869,5.630007945001125e-05,0.14090960007160902
20330814,vi_ttc,ModeQuantile-Static,28,290,slow_lead_following,True,False,True,True,False,2.2033383796754418,0.0,1.1199427794693995,5.48000680282712e-05,0.49975210009142756
20330814,vi_ttc,ModeQuantile-Static,29,8,fast_intrusion,False,True,False,True,True,0.934808188883199,1.5509749818487406,0.6830680951430521,5.680008325725794e-05,0.5501077000517398
20330814,vi_ttc,ModeQuantile-Static,30,156,lead_braking,True,False,True,True,False,0.5109063416130777,0.0,1.2108524930626845,5.4699950851500034e-05,0.27616979996673763
20330814,vi_ttc,ModeQuantile-Static,31,210,stop_and_go,True,False,True,True,False,0.3459330571306578,0.0,1.2227722387922553,5.7299970649182796e-05,0.21606480004265904
20330814,vi_ttc,ModeQuantile-Static,32,104,cutin_braking,True,False,True,True,False,0.6378318920126096,0.006531456404333808,1.2021177174247701,5.859998054802418e-05,0.14085139997769147
20330814,vi_ttc,ModeQuantile-Static,33,304,slow_lead_following,True,False,True,True,False,0.36069042869347695,2.842170943040401e-14,1.2216790854410284,5.7699973694980145e-05,0.11138130002655089
20330814,vi_ttc,ModeQuantile-Static,34,44,fast_intrusion,False,True,False,True,True,0.8052850851926616,1.2099421619099096,0.6911450485124173,5.91999851167202e-05,0.5971328999148682
20330814,vi_ttc,ModeQuantile-Static,35,186,lead_braking,True,False,True,True,False,0.47663332560119936,0.0,1.2132751556624601,5.6299963034689426e-05,0.3025542999384925
20330814,vi_ttc,ModeQuantile-Static,36,224,stop_and_go,True,False,True,True,False,0.5451082976105432,0.0,1.2084622880029943,7.680000271648169e-05,0.24131529999431223
20330814,vi_ttc,ModeQuantile-Static,37,102,cutin_braking,False,True,False,True,True,1.063706870613026,1.4842034325696614,0.6753689360878083,5.9299985878169537e-05,0.5781162999337539
20330814,vi_ttc,ModeQuantile-Static,38,276,slow_lead_following,True,False,True,True,False,0.4417499698623396,0.0,1.2157695473920098,5.6399963796138763e-05,0.11262679996434599
20330814,vi_ttc,ModeQuantile-Static,39,32,fast_intrusion,False,True,False,True,True,1.2744038097627202,1.7686283712210125,0.6634749304404215,5.859998054802418e-05,0.572321999934502
20330814,vi_ttc,ModeQuantile-Static,40,130,lead_braking,True,False,True,True,False,0.4640335724462015,2.842170943040401e-14,1.2141727774169104,5.439994856715202e-05,0.3221627000020817
20330814,vi_ttc,ModeQuantile-Static,41,246,stop_and_go,True,False,True,True,False,0.32280412261151215,0.0,1.2244963713182107,5.6299963034689426e-05,0.2252167999977246
20330814,vi_ttc,ModeQuantile-Static,42,126,cutin_braking,False,True,False,True,True,0.7941259245440762,0.9485076878209033,0.6918573786266224,5.7900091633200645e-05,0.6131128000561148
20330814,vi_ttc,ModeQuantile-Static,43,282,slow_lead_following,False,False,False,False,True,2.6116515543387027,3.6419453901286687,0.1046802430763913,6.200000643730164e-05,0.5773574999766424
20330814,vi_ttc,ModeQuantile-Static,44,4,fast_intrusion,False,True,False,True,True,1.119269328611467,1.5391999504888056,0.6721508524672011,6.470002699643373e-05,0.5615080000134185
20330814,vi_ttc,ModeQuantile-Static,45,136,lead_braking,True,False,True,True,False,0.36648396452090376,0.0,1.221251396637785,5.6399963796138763e-05,0.17839759995695204
20330814,vi_ttc,ModeQuantile-Static,46,78,cutin_braking,False,True,False,True,True,1.0768986908075664,1.4361350676839002,0.67459948391591,5.8399979025125504e-05,0.5773287999909371
20330814,vi_ttc,ModeQuantile-Static,47,244,stop_and_go,True,False,True,True,False,0.7340965254591059,0.0,1.1957350729035157,5.7699973694980145e-05,0.28502780001144856
20330814,vi_ttc,ModeQuantile-Static,48,280,slow_lead_following,True,False,True,True,False,0.42841955143587623,0.0,1.2167304467929627,0.00010710000060498714,0.12761640001554042
20330814,vi_ttc,ModeQuantile-Static,49,184,lead_braking,True,False,True,True,False,0.35822043064400344,0.0,1.2218616762334134,5.7399971410632133e-05,0.2641979999607429
20330814,vi_ttc,ModeQuantile-Static,50,16,fast_intrusion,False,True,False,True,True,1.2584773652442904,1.6949760106666234,0.664345096308068,5.4699950851500034e-05,0.5543680000118911
