seed,target,method,query,index,mode,ego_collision,near_miss,background_collision,event,completed,min_ttc,min_clearance,response,selection_seconds,elapsed_seconds
20330420,vi_ttc,MeanGP-Marginal,1,308,slow_lead_following,True,False,True,True,False,0.4411853209024876,0.0,1.2158101625642768,0.002548999967984855,0.07793489994946867
20330420,vi_ttc,MeanGP-Marginal,2,276,slow_lead_following,False,False,False,False,True,3.273085461071797,6.848512214315008,0.08396771929181317,0.0020704000489786267,0.5793302000965923
20330420,vi_ttc,MeanGP-Marginal,3,260,slow_lead_following,True,False,True,True,False,0.3925134146880269,0.0,1.2193400165896005,0.0021289000287652016,0.08383710007183254
20330420,vi_ttc,MeanGP-Marginal,4,294,slow_lead_following,True,False,True,True,False,0.4628117784992023,0.0,1.2142600201821718,0.0024796000216156244,0.06262650003191084
20330420,vi_ttc,MeanGP-Marginal,5,300,slow_lead_following,True,False,True,True,False,0.4068177502149727,0.0,1.218296668236525,0.002307899994775653,0.0897239000769332
20330420,vi_ttc,MeanGP-Marginal,6,266,slow_lead_following,False,False,False,False,True,2.0428876463525905,1.684710365415171,0.1265323958526538,0.0021244999952614307,0.5848213999997824
20330420,vi_ttc,MeanGP-Marginal,7,76,cutin_braking,True,False,True,True,False,0.4033414780783283,0.0,1.2185497677237584,0.0021738000214099884,0.17104260006453842
20330420,vi_ttc,MeanGP-Marginal,8,52,fast_intrusion,False,True,False,True,True,0.6583935483757819,0.7291855013869916,0.7007371622292047,0.002794699976220727,0.5979455000488088
20330420,vi_ttc,MeanGP-Marginal,9,210,stop_and_go,True,False,True,True,False,0.4770735821677375,0.0,1.2132438593629966,0.0026689000660553575,0.058062100084498525
20330420,vi_ttc,MeanGP-Marginal,10,151,lead_braking,True,False,True,True,False,0.4246284116733679,0.0,1.2170045050602174,0.002664799918420613,0.20827940001618117
20330420,vi_ttc,MeanGP-Marginal,11,104,cutin_braking,False,True,False,True,True,0.5509696282919385,0.44043167006667894,0.7080553968181968,0.0030255999881774187,0.5723196999169886
20330420,vi_ttc,MeanGP-Marginal,12,124,cutin_braking,False,True,False,True,True,0.5687501064503552,0.1917566922977847,0.7068259356720493,0.005041699972935021,0.5744095999980345
20330420,vi_ttc,MeanGP-Marginal,13,234,stop_and_go,True,False,True,True,False,0.5724502371190088,0.0,1.2065709985919009,0.002876599901355803,0.26075400004629046
20330420,vi_ttc,MeanGP-Marginal,14,252,stop_and_go,True,False,True,True,False,0.3733583461083768,1.4210854715202004e-14,1.2207449882244008,0.002921000006608665,0.2370580000570044
20330420,vi_ttc,MeanGP-Marginal,15,244,stop_and_go,True,False,True,True,False,0.611971329958827,0.0,1.203867541084446,0.0030362000688910484,0.2823494999902323
20330420,vi_ttc,MeanGP-Marginal,16,192,stop_and_go,True,False,True,True,False,0.3061381603069231,0.0,1.225746991253287,0.0031939001055434346,0.2686568000353873
20330420,vi_ttc,MeanGP-Marginal,17,220,stop_and_go,True,False,True,True,False,0.33331704823182945,0.0,1.2237110435859804,0.0028212000615894794,0.25140210008248687
20330420,vi_ttc,MeanGP-Marginal,18,235,stop_and_go,True,False,True,True,False,0.5516270568852764,0.0,1.208009807957994,0.0028114999877288938,0.3531935000792146
20330420,vi_ttc,MeanGP-Marginal,19,215,stop_and_go,False,False,False,False,True,3.223530378509365,9.444393658087932,0.08536624727450291,0.003268200089223683,0.5750292000593618
20330420,vi_ttc,MeanGP-Marginal,20,204,stop_and_go,True,False,True,True,False,0.34502049484661906,0.0,1.222840013614208,0.002841199981048703,0.1161524000344798
20330420,vi_ttc,MeanGP-Marginal,21,167,lead_braking,True,False,True,True,False,0.4690264092785674,0.0,1.213816630619065,0.0029685000190511346,0.22178299992810935
20330420,vi_ttc,MeanGP-Marginal,22,153,lead_braking,True,False,True,True,False,0.5485017823498329,0.0,1.2082266167882165,0.0028559999773278832,0.27491809998173267
20330420,vi_ttc,MeanGP-Marginal,23,158,lead_braking,False,False,False,False,True,3.635789115765541,8.348836416019935,0.07440560035590958,0.00319279998075217,0.564239599974826
20330420,vi_ttc,MeanGP-Marginal,24,133,lead_braking,True,False,True,True,False,0.4896611682130903,5.684341886080802e-14,1.2123509920375155,0.0029646999901160598,0.28065859992057085
20330420,vi_ttc,MeanGP-Marginal,25,169,lead_braking,False,False,False,False,True,4.0675256906968364,14.234685613115573,0.06443255520354203,0.0028820999432355165,0.5559344999492168
20330420,vi_ttc,MeanGP-Marginal,26,264,slow_lead_following,False,False,False,False,True,3.234245136648359,3.0844529937056393,0.0850618982048835,0.0028928000247105956,0.5831112000159919
20330420,vi_ttc,MeanGP-Marginal,27,237,stop_and_go,False,False,False,False,True,5.551019289133926,5.725580383650964,0.039295938002471775,0.0036276999162510037,0.5671560999471694
20330420,vi_ttc,MeanGP-Marginal,28,278,slow_lead_following,True,False,True,True,False,0.8525435076438111,0.0,1.1881575697293523,0.002886999980546534,0.2986158999847248
20330420,vi_ttc,MeanGP-Marginal,29,191,lead_braking,True,False,True,True,False,0.33100584589207166,0.0,1.2238834571536816,0.004302999936044216,0.2605525000253692
20330420,vi_ttc,MeanGP-Marginal,30,177,lead_braking,True,False,True,True,False,0.706775416979868,0.0,1.1975257809350985,0.003194199991412461,0.34002840006724
20330420,vi_ttc,MeanGP-Marginal,31,236,stop_and_go,True,False,True,True,False,0.3476112430563918,0.0,1.222647655895786,0.002944400068372488,0.31923540006391704
20330420,vi_ttc,MeanGP-Marginal,32,218,stop_and_go,True,False,True,True,False,0.9651088884314104,0.0,1.1812283711543095,0.004014699952676892,0.37190199992619455
20330420,vi_ttc,MeanGP-Marginal,33,221,stop_and_go,False,False,False,False,True,5.6890581968643925,6.030564705096182,0.03752878301292437,0.002943399944342673,0.5664995999541134
20330420,vi_ttc,MeanGP-Marginal,34,245,stop_and_go,True,False,True,True,False,0.37941469765391134,0.0,1.220299801326789,0.0032189000630751252,0.2992848000722006
20330420,vi_ttc,MeanGP-Marginal,35,226,stop_and_go,True,False,True,True,False,0.5219694572461008,0.0,1.2100763631739406,0.0041102999821305275,0.2383088000351563
20330420,vi_ttc,MeanGP-Marginal,36,214,stop_and_go,True,False,True,True,False,0.7903645457620929,0.0,1.1920980789136273,0.002963299979455769,0.17256900004576892
20330420,vi_ttc,MeanGP-Marginal,37,216,stop_and_go,True,False,True,True,False,0.34851562872366104,0.0,1.22258054622885,0.0031463000923395157,0.2195635000243783
