seed,target,index,mode,frequency_hz,ego_collision,near_miss,min_ttc,min_distance
20290812,vi_ttc,3,fast_intrusion,5,True,False,0.5300397703479153,0.2002730336852193
20290812,vi_ttc,3,fast_intrusion,10,False,True,0.551305305382466,0.23785328017786875
20290812,vi_ttc,3,fast_intrusion,20,False,True,0.5112945621960365,0.15154076711986222
20290812,vi_ttc,75,cutin_braking,5,True,False,0.5413206842498628,0.0
20290812,vi_ttc,75,cutin_braking,10,True,False,0.541254713391359,0.0
20290812,vi_ttc,75,cutin_braking,20,True,False,0.5377466782445699,0.0
20290826,mcts_cv,137,lead_braking,5,True,False,0.8650449452342505,1.4210854715202004e-14
20290826,mcts_cv,137,lead_braking,10,False,True,0.898025392376946,0.3779971112893074
20290826,mcts_cv,137,lead_braking,20,False,True,0.9762396848446419,0.3479915858100775
20290812,mcts_cv,213,stop_and_go,5,True,False,1.0836180736977052,0.11669407495412543
20290812,mcts_cv,213,stop_and_go,10,False,False,2.0965617686130495,1.940896451139139
20290812,mcts_cv,213,stop_and_go,20,False,False,2.0965617686130495,1.964533450601587
20290729,mcts_cv,270,slow_lead_following,5,True,False,2.393563387144476,0.0
20290729,mcts_cv,270,slow_lead_following,10,False,False,2.6742135871045365,1.999818765333056
20290729,mcts_cv,270,slow_lead_following,20,False,False,2.6742135871045365,1.9999137001359597
