method,query,seed,target,index,mode,ego_collision,near_miss,event,min_ttc,min_clearance,elapsed_seconds
HistoryMargin-Residual,1,20291007,vi_ttc,255,stop_and_go,False,True,True,1.472205798727802,1.7025239476608571,0.5919957000296563
HistoryMargin-Residual,2,20291007,vi_ttc,237,stop_and_go,False,False,False,1.5224533271061618,1.1412340419651352,0.5716301000211388
HistoryMargin-Residual,3,20291007,vi_ttc,215,stop_and_go,False,False,False,2.497912279750313,1.9278634850916223,0.5487254000036046
HistoryMargin-Residual,4,20291007,vi_ttc,253,stop_and_go,False,False,False,1.9916343904081382,1.431274609378918,0.5560419999528676
HistoryMargin-Residual,5,20291007,vi_ttc,281,slow_lead_following,False,True,True,1.3973239825067103,1.052918493852534,0.5462052000220865
HistoryMargin-Residual,6,20291007,vi_ttc,297,slow_lead_following,False,True,True,1.9409611875788582,0.9873471507953484,0.5575819999212399
HistoryMargin-Residual,7,20291007,vi_ttc,277,slow_lead_following,False,False,False,2.6308630165345717,1.8059537329297874,0.5419768000720069
HistoryMargin-Residual,8,20291007,vi_ttc,132,lead_braking,False,False,False,1.6897325658903446,1.411027742887888,0.5369601000566036
HistoryMargin-Residual,9,20291007,vi_ttc,81,cutin_braking,False,True,True,0.9094574687691511,1.4015648710686024,0.5498764000367373
HistoryMargin-Residual,10,20291007,vi_ttc,41,fast_intrusion,False,True,True,0.714150722021964,1.1790257090231113,0.5403821000363678
HistoryMargin-Residual,11,20291007,vi_ttc,13,fast_intrusion,False,True,True,0.8058459304484447,1.0024766265732803,0.5516910000005737
HistoryMargin-Residual,12,20291007,vi_ttc,7,fast_intrusion,False,True,True,0.6202360318934531,0.5802409611724263,0.5382110000355169
HistoryMargin-Residual,13,20291007,vi_ttc,61,fast_intrusion,False,True,True,0.8925471171949165,1.3545165120976275,0.5708230999298394
HistoryMargin-Residual,14,20291007,vi_ttc,63,fast_intrusion,True,False,True,0.5937725994145876,0.0,0.12111950002145022
HistoryMargin-Residual,15,20291007,vi_ttc,0,fast_intrusion,False,False,False,1.5802642308842711,1.3148940520262333,0.5786253999685869
HistoryMargin-Residual,16,20291007,vi_ttc,21,fast_intrusion,False,True,True,0.7898160721689736,1.2474791438763215,0.5687511999858543
HistoryMargin-Residual,17,20291007,vi_ttc,25,fast_intrusion,False,True,True,1.4087285414415767,1.8378161200649739,0.5776431000558659
HistoryMargin-Residual,18,20291007,vi_ttc,33,fast_intrusion,False,False,False,2.3226146351876156,1.9733359844421696,0.6074723000638187
HistoryMargin-Residual,19,20291007,vi_ttc,9,fast_intrusion,False,False,False,1.7757644950575602,1.9000453242986532,0.582192900008522
HistoryMargin-Residual,20,20291007,vi_ttc,47,fast_intrusion,False,True,True,0.7260423262076282,0.6471554721524122,0.5726447999477386
HistoryMargin-Residual,21,20291007,vi_ttc,51,fast_intrusion,True,False,True,0.8687049812930651,0.0,0.10884460003580898
HistoryMargin-Residual,22,20291007,vi_ttc,23,fast_intrusion,False,True,True,0.8150512807932825,0.6265695493174145,0.6006645000306889
HistoryMargin-Residual,23,20291007,vi_ttc,40,fast_intrusion,False,False,False,2.6070541715249718,1.9018435630411132,0.6008340999251232
HistoryMargin-Residual,24,20291007,vi_ttc,12,fast_intrusion,True,False,True,2.6401112035908065,0.015105531489329128,0.11101699993014336
HistoryMargin-Residual,25,20291007,vi_ttc,52,fast_intrusion,True,False,True,15.240294208741465,0.0,0.10517310001887381
HistoryMargin-Residual,26,20291007,vi_ttc,20,fast_intrusion,True,False,True,1.7488668333012318,0.0,0.11348689999431372
HistoryMargin-Residual,27,20291007,vi_ttc,48,fast_intrusion,False,False,False,3.1235241309459396,1.8143355907945462,0.5743142999708652
HistoryMargin-Residual,28,20291007,vi_ttc,4,fast_intrusion,True,False,True,inf,0.0,0.13562790001742542
HistoryMargin-Residual,29,20291007,vi_ttc,32,fast_intrusion,False,False,False,inf,1.7266750694621855,0.5688410999719054
HistoryMargin-Residual,30,20291007,vi_ttc,15,fast_intrusion,True,False,True,0.7997468565910296,0.025032628190648776,0.15517969999928027
HistoryMargin-Residual,31,20291007,vi_ttc,53,fast_intrusion,False,True,True,1.4337708455205118,1.7652784428380361,0.5995552999665961
HistoryMargin-Residual,32,20291007,vi_ttc,37,fast_intrusion,True,False,True,0.4972255964352852,0.09033822749253817,0.1858199000125751
HistoryMargin-Residual,33,20291007,vi_ttc,29,fast_intrusion,True,False,True,0.582844126427864,0.0,0.1699821000220254
HistoryMargin-Residual,34,20291007,vi_ttc,1,fast_intrusion,False,True,True,0.5492700728430803,0.5577569298362041,0.5841824000235647
HistoryMargin-Residual,35,20291007,vi_ttc,39,fast_intrusion,False,True,True,1.2908585453417434,1.306656793486922,0.5877671000780538
HistoryMargin-Residual,36,20291007,vi_ttc,34,fast_intrusion,False,False,False,2.389446835710542,1.9312857664623162,0.5851659999461845
HistoryMargin-Residual,37,20291007,vi_ttc,60,fast_intrusion,True,False,True,1.0033107182274201,0.0,0.14584050001576543
HistoryMargin-Residual,38,20291007,vi_ttc,45,fast_intrusion,False,True,True,1.2952360122301805,1.5097629565443629,0.5756469999905676
HistoryMargin-Residual,39,20291007,vi_ttc,24,fast_intrusion,False,False,False,6.657195311013835,1.9999198618757792,0.5953686999855563
HistoryMargin-Residual,40,20291007,vi_ttc,117,cutin_braking,False,True,True,0.6206631313147147,0.511753109324658,0.5894082000013441
HistoryMargin-Residual,41,20291007,vi_ttc,105,cutin_braking,False,False,False,1.9896492716602123,1.8615527419722888,0.5716534000821412
HistoryMargin-Residual,42,20291007,vi_ttc,77,cutin_braking,False,True,True,0.969016619381499,1.0568310070250466,0.5796264000236988
