method,reference,budget,units,mean_CVS_difference,CVS_bootstrap_low,CVS_bootstrap_high,mean_SeveritySum_difference,SeveritySum_bootstrap_low,SeveritySum_bootstrap_high
CoRe-Marginal,FPS-Marginal,10,9,-0.2222222222222222,-0.6666666666666666,0.16666666666666666,-0.2777777777777778,-0.7222222222222222,0.1111111111111111
CoRe-Marginal,FPS-Marginal,20,9,-0.05555555555555555,-0.3333333333333333,0.2222222222222222,-0.3333333333333333,-0.7222222222222222,0.0
CoRe-Marginal,FPS-Marginal,30,9,0.16666666666666666,-0.3333333333333333,0.6111111111111112,0.05555555555555555,-0.4444444444444444,0.5555555555555556
CoRe-Marginal,FPS-Marginal,50,9,-0.3333333333333333,-0.6666666666666666,0.05555555555555555,0.6666666666666666,-0.3888888888888889,2.0555555555555554
CoRe-Marginal,MeanResidual-Marginal,10,9,-0.05555555555555555,-0.3888888888888889,0.2222222222222222,-0.2222222222222222,-0.6666666666666666,0.11249999999999241
CoRe-Marginal,MeanResidual-Marginal,20,9,-0.3333333333333333,-0.7222222222222222,-0.05555555555555555,-0.7777777777777778,-1.5555555555555556,-0.16666666666666666
CoRe-Marginal,MeanResidual-Marginal,30,9,-0.7222222222222222,-1.6111111111111112,0.05555555555555555,-1.3333333333333333,-2.5555555555555554,-0.3333333333333333
CoRe-Marginal,MeanResidual-Marginal,50,9,-1.5,-2.8333333333333335,-0.3888888888888889,-2.6666666666666665,-4.666666666666667,-0.7222222222222222
CoRe-Marginal,TargetOnlyGP-Marginal,10,9,0.8888888888888888,0.3333333333333333,1.5555555555555556,0.9444444444444444,0.3333333333333333,1.5555555555555556
CoRe-Marginal,TargetOnlyGP-Marginal,20,9,1.6111111111111112,0.6111111111111112,2.6666666666666665,2.1666666666666665,0.6666666666666666,3.6666666666666665
CoRe-Marginal,TargetOnlyGP-Marginal,30,9,2.111111111111111,0.8888888888888888,3.6666666666666665,3.111111111111111,1.2222222222222223,5.5
CoRe-Marginal,TargetOnlyGP-Marginal,50,9,1.8888888888888888,0.6666666666666666,3.2777777777777777,4.5,1.1666666666666667,8.5
