seed,target,regime,candidates,critical_events,collisions,critical_rate,all_source_safe_target_failures
20280203,idm_mobil,gap_q1,125,31,0,0.248,18
20280203,idm_mobil,gap_q2,125,25,0,0.2,20
20280203,idm_mobil,gap_q3,125,17,0,0.136,13
20280203,idm_mobil,gap_q4,125,18,0,0.144,17
20280203,idm_mobil,all,500,91,0,0.182,68
20280203,mcts_cv,gap_q1,125,3,0,0.024,0
20280203,mcts_cv,gap_q2,125,0,0,0.0,0
20280203,mcts_cv,gap_q3,125,0,0,0.0,0
20280203,mcts_cv,gap_q4,125,0,0,0.0,0
20280203,mcts_cv,all,500,3,0,0.006,0
20280203,ppo_ece,gap_q1,125,12,0,0.096,0
20280203,ppo_ece,gap_q2,125,5,0,0.04,0
20280203,ppo_ece,gap_q3,125,4,0,0.032,0
20280203,ppo_ece,gap_q4,125,1,0,0.008,0
20280203,ppo_ece,all,500,22,0,0.044,0
