trial,residual_length,residual_amplitude,observation_noise,lambda,include_null,compositional,coverage_length,B_ref,units,mean_CVS20,mean_SeveritySum20
1,0.15,0.15,0.05,0,True,True,0.2,50,6,2.6666666666666665,3.3333333333333335
2,0.15,0.25,0.05,0.1,True,True,0.2,50,6,2.5,2.9166666666666665
3,0.15,0.5,0.05,0.3,True,True,0.2,50,6,2.1666666666666665,2.5833333333333335
4,0.3,0.15,0.05,0.1,True,True,0.2,50,6,2.75,3.6666666666666665
5,0.3,0.25,0.05,0,True,True,0.2,50,6,2.4166666666666665,2.8333333333333335
6,0.3,0.5,0.05,0.3,True,True,0.2,50,6,2.4166666666666665,2.9166666666666665
7,0.6,0.15,0.05,0,True,True,0.2,50,6,2.6666666666666665,3.5
8,0.6,0.25,0.05,0.1,True,True,0.2,50,6,2.6666666666666665,3.8333333333333335
9,0.6,0.5,0.05,0.3,True,True,0.2,50,6,2.5,3.5
10,0.15,0.5,0.05,0.1,True,True,0.2,50,6,1.8333333333333333,2.0833333333333335
11,0.3,0.25,0.05,0.1,True,True,0.2,50,6,2.6666666666666665,3.5
12,0.6,0.15,0.05,0.3,True,True,0.2,50,6,2.5833333333333335,3.6666666666666665
