seed,target,regime,candidates,critical_events,collisions,critical_rate,all_source_safe_target_failures
20270903,idm_mobil,benign,450,0,0,0.0,0
20270903,idm_mobil,challenge,50,50,12,1.0,0
20270903,idm_mobil,all,500,50,12,0.1,0
20270903,vi_ttc,benign,450,19,0,0.042222222222222223,19
20270903,vi_ttc,challenge,50,50,15,1.0,0
20270903,vi_ttc,all,500,69,15,0.138,19
20270903,mcts_cv,benign,450,0,0,0.0,0
20270903,mcts_cv,challenge,50,47,11,0.94,0
20270903,mcts_cv,all,500,47,11,0.094,0
20270903,ppo_ece,benign,450,0,0,0.0,0
20270903,ppo_ece,challenge,50,49,3,0.98,0
20270903,ppo_ece,all,500,49,3,0.098,0
20270917,idm_mobil,benign,450,0,0,0.0,0
20270917,idm_mobil,challenge,50,49,14,0.98,0
20270917,idm_mobil,all,500,49,14,0.098,0
20270917,vi_ttc,benign,450,16,0,0.035555555555555556,16
20270917,vi_ttc,challenge,50,50,18,1.0,0
20270917,vi_ttc,all,500,66,18,0.132,16
20270917,mcts_cv,benign,450,0,0,0.0,0
20270917,mcts_cv,challenge,50,46,12,0.92,0
20270917,mcts_cv,all,500,46,12,0.092,0
20270917,ppo_ece,benign,450,0,0,0.0,0
20270917,ppo_ece,challenge,50,46,3,0.92,0
20270917,ppo_ece,all,500,46,3,0.092,0
20271001,idm_mobil,benign,450,0,0,0.0,0
20271001,idm_mobil,challenge,50,50,10,1.0,0
20271001,idm_mobil,all,500,50,10,0.1,0
20271001,vi_ttc,benign,450,18,0,0.04,18
20271001,vi_ttc,challenge,50,50,15,1.0,0
20271001,vi_ttc,all,500,68,15,0.136,18
20271001,mcts_cv,benign,450,0,0,0.0,0
20271001,mcts_cv,challenge,50,44,9,0.88,0
20271001,mcts_cv,all,500,44,9,0.088,0
20271001,ppo_ece,benign,450,0,0,0.0,0
20271001,ppo_ece,challenge,50,47,2,0.94,0
20271001,ppo_ece,all,500,47,2,0.094,0
20271015,idm_mobil,benign,450,0,0,0.0,0
20271015,idm_mobil,challenge,50,50,13,1.0,0
20271015,idm_mobil,all,500,50,13,0.1,0
20271015,vi_ttc,benign,450,20,0,0.044444444444444446,20
20271015,vi_ttc,challenge,50,50,19,1.0,0
20271015,vi_ttc,all,500,70,19,0.14,20
20271015,mcts_cv,benign,450,0,0,0.0,0
20271015,mcts_cv,challenge,50,47,12,0.94,0
20271015,mcts_cv,all,500,47,12,0.094,0
20271015,ppo_ece,benign,450,0,0,0.0,0
20271015,ppo_ece,challenge,50,47,3,0.94,0
20271015,ppo_ece,all,500,47,3,0.094,0
20271029,idm_mobil,benign,450,0,0,0.0,0
20271029,idm_mobil,challenge,50,50,12,1.0,0
20271029,idm_mobil,all,500,50,12,0.1,0
20271029,vi_ttc,benign,450,22,0,0.04888888888888889,22
20271029,vi_ttc,challenge,50,50,15,1.0,0
20271029,vi_ttc,all,500,72,15,0.144,22
20271029,mcts_cv,benign,450,0,0,0.0,0
20271029,mcts_cv,challenge,50,43,7,0.86,0
20271029,mcts_cv,all,500,43,7,0.086,0
20271029,ppo_ece,benign,450,0,0,0.0,0
20271029,ppo_ece,challenge,50,47,3,0.94,0
20271029,ppo_ece,all,500,47,3,0.094,0
