method,budget,scope,value,units,mean_CollisionCount,mean_CriticalCount,mean_SeveritySum,mean_CVS,mean_F,mean_NewHistoricalFailureCount,mean_selection_seconds
FPS-Risk,10,overall,all,12,4.916666666666667,10.0,7.458333333333333,3.7083333333333335,0.04024423956077174,0.0,0.0849043166769358
FPS-Risk,10,coverage,leave_one_out,12,4.916666666666667,10.0,7.458333333333333,3.7083333333333335,0.04024423956077174,0.0,0.0849043166769358
FPS-Risk,10,heterogeneity,idm_mobil,3,7.666666666666667,10.0,8.833333333333334,3.8333333333333335,0.04145600172167572,0.0,0.08386703336145729
FPS-Risk,20,overall,all,12,8.083333333333334,19.916666666666668,14.0,3.75,0.04988612355632787,0.0,0.0849043166769358
FPS-Risk,20,coverage,leave_one_out,12,8.083333333333334,19.916666666666668,14.0,3.75,0.04988612355632787,0.0,0.0849043166769358
FPS-Risk,20,heterogeneity,idm_mobil,3,11.0,20.0,15.5,4.0,0.0492012046941987,0.0,0.08386703336145729
FPS-Risk,30,overall,all,12,9.416666666666666,29.416666666666668,19.416666666666668,4.25,0.05557883246300314,0.0,0.0849043166769358
FPS-Risk,30,coverage,leave_one_out,12,9.416666666666666,29.416666666666668,19.416666666666668,4.25,0.05557883246300314,0.0,0.0849043166769358
FPS-Risk,30,heterogeneity,idm_mobil,3,11.666666666666666,30.0,20.833333333333332,4.333333333333333,0.056314302730234356,0.0,0.08386703336145729
FPS-Risk,50,overall,all,12,9.833333333333334,45.833333333333336,27.833333333333332,5.0,0.06511614992375832,0.0,0.0849043166769358
FPS-Risk,50,coverage,leave_one_out,12,9.833333333333334,45.833333333333336,27.833333333333332,5.0,0.06511614992375832,0.0,0.0849043166769358
FPS-Risk,50,heterogeneity,idm_mobil,3,11.666666666666666,48.0,29.833333333333332,5.333333333333333,0.06501082877219956,0.0,0.08386703336145729
FPS-Severity,10,overall,all,12,6.0,10.0,8.0,3.7083333333333335,0.04475033189878439,0.0,0.08285328333537716
FPS-Severity,10,coverage,leave_one_out,12,6.0,10.0,8.0,3.7083333333333335,0.04475033189878439,0.0,0.08285328333537716
FPS-Severity,10,heterogeneity,idm_mobil,3,6.333333333333333,10.0,8.166666666666666,3.8333333333333335,0.04658393011030781,0.0,0.083428966657569
FPS-Severity,20,overall,all,12,8.666666666666666,19.666666666666668,14.166666666666666,3.7916666666666665,0.04998504206758985,0.0,0.08285328333537716
FPS-Severity,20,coverage,leave_one_out,12,8.666666666666666,19.666666666666668,14.166666666666666,3.7916666666666665,0.04998504206758985,0.0,0.08285328333537716
