trial,residual_length,residual_amplitude,observation_noise,lambda,include_null,compositional,coverage_length,B_ref,units,mean_CVS20,mean_SeveritySum20
1,0.15,0.15,0.05,0,True,True,0.2,50,8,4.0,9.9375
2,0.15,0.25,0.05,0.1,True,True,0.2,50,8,3.8125,6.4375
3,0.15,0.5,0.05,0.3,True,True,0.2,50,8,1.375,1.375
4,0.3,0.15,0.05,0.1,True,True,0.2,50,8,3.9375,11.5
5,0.3,0.25,0.05,0,True,True,0.2,50,8,3.8125,6.1875
6,0.3,0.5,0.05,0.3,True,True,0.2,50,8,3.75,4.75
7,0.6,0.15,0.05,0,True,True,0.2,50,8,4.125,10.6875
8,0.6,0.25,0.05,0.1,True,True,0.2,50,8,3.8125,10.9375
9,0.6,0.5,0.05,0.3,True,True,0.2,50,8,3.875,10.9375
10,0.15,0.5,0.05,0.1,True,True,0.2,50,8,1.0625,1.0625
11,0.3,0.25,0.05,0.1,True,True,0.2,50,8,3.8125,9.6875
12,0.6,0.15,0.05,0.3,True,True,0.2,50,8,4.0,11.8125
