seed,target,coverage,heterogeneity,budget,CollisionCount,CriticalCount,SeveritySum,CVS,CollisionCells,F,NewHistoricalFailureCount,function_queries,queried_indices,method,repeat,selection_seconds
20271001,Target-idm_mobil-leaveoneout,leave_one_out,idm_mobil,10,8,10,9.0,4.0,8,0.04399999651922509,0,cutin_braking:1;fast_intrusion:1;lead_braking:1;slow_lead_following:6;stop_and_go:1,494;497;490;498;493;492;97;195;295;390,FPS-Risk,0,0.08437950001098216
20271001,Target-idm_mobil-leaveoneout,leave_one_out,idm_mobil,20,9,20,14.5,4.5,9,0.049903636775390676,0,cutin_braking:7;fast_intrusion:2;lead_braking:1;slow_lead_following:9;stop_and_go:1,494;497;490;498;493;492;97;195;295;390;93;199;191;196;192;197;496;193;491;499,FPS-Risk,0,0.08437950001098216
20271001,Target-idm_mobil-leaveoneout,leave_one_out,idm_mobil,30,10,30,20.0,4.5,10,0.056620567950349164,0,cutin_braking:7;fast_intrusion:7;lead_braking:5;slow_lead_following:10;stop_and_go:1,494;497;490;498;493;492;97;195;295;390;93;199;191;196;192;197;496;193;491;499;495;94;95;98;99;91;299;291;296;293,FPS-Risk,0,0.08437950001098216
20271001,Target-idm_mobil-leaveoneout,leave_one_out,idm_mobil,50,10,48,29.0,5.0,10,0.06458461430182202,0,cutin_braking:8;fast_intrusion:10;lead_braking:11;slow_lead_following:10;stop_and_go:11,494;497;490;498;493;492;97;195;295;390;93;199;191;196;192;197;496;193;491;499;495;94;95;98;99;91;299;291;296;293;292;398;393;394;396;392;298;297;397;290;395;399;391;198;294;227;374;90;96;92,FPS-Risk,0,0.08437950001098216
20271001,Target-idm_mobil-leaveoneout,leave_one_out,idm_mobil,10,6,10,8.0,4.0,6,0.05006595733481528,0,cutin_braking:2;fast_intrusion:4;lead_braking:1;slow_lead_following:2;stop_and_go:1,494;497;97;94;93;95;195;199;295;390,FPS-Severity,0,0.08486459997948259
20271001,Target-idm_mobil-leaveoneout,leave_one_out,idm_mobil,20,10,20,15.0,4.5,10,0.05123362227270635,0,cutin_braking:7;fast_intrusion:4;lead_braking:1;slow_lead_following:7;stop_and_go:1,494;497;97;94;93;95;195;199;295;390;191;498;490;493;196;492;192;197;496;193,FPS-Severity,0,0.08486459997948259
20271001,Target-idm_mobil-leaveoneout,leave_one_out,idm_mobil,30,10,30,20.0,4.5,10,0.056620567950349164,0,cutin_braking:7;fast_intrusion:7;lead_braking:5;slow_lead_following:10;stop_and_go:1,494;497;97;94;93;95;195;199;295;390;191;498;490;493;196;492;192;197;496;193;491;499;495;98;99;91;299;291;296;293,FPS-Severity,0,0.08486459997948259
20271001,Target-idm_mobil-leaveoneout,leave_one_out,idm_mobil,50,10,48,29.0,5.0,10,0.06458461430182202,0,cutin_braking:8;fast_intrusion:10;lead_braking:11;slow_lead_following:10;stop_and_go:11,494;497;97;94;93;95;195;199;295;390;191;498;490;493;196;492;192;197;496;193;491;499;495;98;99;91;299;291;296;293;292;398;393;394;396;392;298;297;397;290;395;399;391;198;294;227;374;90;96;92,FPS-Severity,0,0.08486459997948259
20271001,Target-idm_mobil-leaveoneout,leave_one_out,idm_mobil,10,6,10,8.0,4.0,6,0.05100046433720807,0,cutin_braking:2;fast_intrusion:2;lead_braking:2;slow_lead_following:2;stop_and_go:2,494;97;195;295;390;94;199;497;299;398,FPS-Balanced,0,0.09431259997654706
20271001,Target-idm_mobil-leaveoneout,leave_one_out,idm_mobil,20,8,20,14.0,4.0,8,0.0578924303766246,0,cutin_braking:4;fast_intrusion:4;lead_braking:4;slow_lead_following:4;stop_and_go:4,494;97;195;295;390;94;199;497;299;398;93;191;498;291;393;95;490;196;296;394,FPS-Balanced,0,0.09431259997654706
20271001,Target-idm_mobil-leaveoneout,leave_one_out,idm_mobil,30,10,30,20.0,5.0,10,0.061158982025747016,0,cutin_braking:6;fast_intrusion:6;lead_braking:6;slow_lead_following:6;stop_and_go:6,494;97;195;295;390;94;199;497;299;398;93;191;498;291;393;95;490;196;296;394;493;192;98;396;293;492;197;99;292;392,FPS-Balanced,0,0.09431259997654706
