trial,residual_length,residual_amplitude,observation_noise,lambda,include_null,compositional,coverage_length,B_ref,units,mean_CVS20,mean_SeveritySum20,mean_CollisionCount20
1,0.3,0.25,0.05,0.1,True,True,0.2,50,36,9.805555555555555,16.958333333333332,16.055555555555557
2,0.15,0.15,0.05,0,True,True,0.2,50,36,9.833333333333334,16.041666666666668,15.222222222222221
3,0.15,0.25,0.05,0.1,True,True,0.2,50,36,9.916666666666666,16.72222222222222,15.805555555555555
4,0.15,0.5,0.05,0.3,True,True,0.2,50,36,9.791666666666666,16.625,15.833333333333334
5,0.3,0.15,0.05,0.1,True,True,0.2,50,36,9.805555555555555,17.194444444444443,16.416666666666668
6,0.3,0.25,0.05,0,True,True,0.2,50,36,10.0,16.055555555555557,15.055555555555555
7,0.3,0.5,0.05,0.3,True,True,0.2,50,36,9.51388888888889,16.944444444444443,16.055555555555557
8,0.6,0.15,0.05,0,True,True,0.2,50,36,9.63888888888889,16.083333333333332,15.25
9,0.6,0.25,0.05,0.1,True,True,0.2,50,36,9.625,17.23611111111111,16.47222222222222
10,0.6,0.5,0.05,0.3,True,True,0.2,50,36,9.027777777777779,17.208333333333332,16.25
11,0.15,0.5,0.05,0.1,True,True,0.2,50,36,9.25,13.73611111111111,12.916666666666666
12,0.6,0.15,0.05,0.3,True,True,0.2,50,36,9.63888888888889,18.069444444444443,17.333333333333332
