method,target_sut,repeat,critical_score_at_50,collision_count_at_50,critical_event_count_at_50,critical_recall_at_50,collision_recall_at_50,queried_indices,critical_score_curve,critical_recall_curve
DETOUR Hierarchy (K=0),SUT-A,0,25.5,20,31,0.6078431372549019,0.6451612903225806,37;45;177;181;13;5;123;18;234;65;29;93;81;89;34;41;202;99;49;200;169;10;21;113;9;73;51;25;62;157;2;42;165;17;22;94;26;38;61;57;14;6;163;46;127;218;226;30;40;1,0.500;1.500;2.500;3.500;4.500;5.500;6.500;7.500;8.500;9.500;10.500;11.500;12.500;13.500;14.000;14.000;15.000;15.500;16.500;16.500;17.500;18.000;18.000;18.000;18.500;18.500;18.500;18.500;19.500;20.500;21.000;21.000;21.500;22.000;22.000;22.500;22.500;22.500;22.500;23.500;23.500;23.500;23.500;23.500;24.000;25.000;25.500;25.500;25.500;25.500,0.019608;0.039216;0.058824;0.078431;0.098039;0.117647;0.137255;0.156863;0.176471;0.196078;0.215686;0.235294;0.254902;0.274510;0.294118;0.294118;0.313725;0.333333;0.352941;0.352941;0.372549;0.392157;0.392157;0.392157;0.411765;0.411765;0.411765;0.411765;0.431373;0.450980;0.470588;0.470588;0.490196;0.509804;0.509804;0.529412;0.529412;0.529412;0.529412;0.549020;0.549020;0.549020;0.549020;0.549020;0.568627;0.588235;0.607843;0.607843;0.607843;0.607843
Risk Mining + Adaptation,SUT-A,0,36.0,29,43,0.8431372549019608,0.9354838709677419,73;186;10;128;21;189;127;71;173;86;13;18;29;45;49;57;62;65;81;161;202;234;135;218;119;169;145;89;177;94;104;158;34;111;181;5;77;136;103;123;185;2;213;157;190;165;153;194;37;17,0.000;0.000;0.500;1.000;1.000;1.000;1.500;1.500;1.500;1.500;2.500;3.500;4.500;5.500;6.500;7.500;8.500;9.500;10.500;11.500;12.500;13.500;14.500;15.500;16.500;17.500;18.500;19.500;20.500;21.000;22.000;22.500;23.000;24.000;25.000;26.000;27.000;27.500;28.500;29.500;30.500;31.000;31.500;32.500;33.000;33.500;34.000;35.000;35.500;36.000,0.000000;0.000000;0.019608;0.039216;0.039216;0.039216;0.058824;0.058824;0.058824;0.058824;0.078431;0.098039;0.117647;0.137255;0.156863;0.176471;0.196078;0.215686;0.235294;0.254902;0.274510;0.294118;0.313725;0.333333;0.352941;0.372549;0.392157;0.411765;0.431373;0.450980;0.470588;0.490196;0.509804;0.529412;0.549020;0.568627;0.588235;0.607843;0.627451;0.647059;0.666667;0.686275;0.705882;0.725490;0.745098;0.764706;0.784314;0.803922;0.823529;0.843137
Risk Mining + DETOUR Hierarchy,SUT-A,0,36.0,29,43,0.8431372549019608,0.9354838709677419,73;186;10;128;21;189;127;71;173;86;45;13;18;234;65;29;81;202;49;62;57;169;89;218;177;145;161;94;135;34;119;104;158;181;5;77;123;2;111;157;136;103;185;165;153;190;213;194;37;17,0.000;0.000;0.500;1.000;1.000;1.000;1.500;1.500;1.500;1.500;2.500;3.500;4.500;5.500;6.500;7.500;8.500;9.500;10.500;11.500;12.500;13.500;14.500;15.500;16.500;17.500;18.500;19.000;20.000;20.500;21.500;22.500;23.000;24.000;25.000;26.000;27.000;27.500;28.500;29.500;30.000;31.000;32.000;32.500;33.000;33.500;34.000;35.000;35.500;36.000,0.000000;0.000000;0.019608;0.039216;0.039216;0.039216;0.058824;0.058824;0.058824;0.058824;0.078431;0.098039;0.117647;0.137255;0.156863;0.176471;0.196078;0.215686;0.235294;0.254902;0.274510;0.294118;0.313725;0.333333;0.352941;0.372549;0.392157;0.411765;0.431373;0.450980;0.470588;0.490196;0.509804;0.529412;0.549020;0.568627;0.588235;0.607843;0.627451;0.647059;0.666667;0.686275;0.705882;0.725490;0.745098;0.764706;0.784314;0.803922;0.823529;0.843137
DETOUR-Guided Risk Diagnosis,SUT-A,0,37.0,30,44,0.8627450980392157,0.967741935483871,73;186;10;128;21;189;127;71;163;93;13;18;29;45;49;57;62;65;81;161;202;234;135;218;119;169;145;89;177;94;104;158;34;111;181;5;77;103;123;185;157;136;165;153;2;213;190;194;17;37,0.000;0.000;0.500;1.000;1.000;1.000;1.500;1.500;1.500;2.500;3.500;4.500;5.500;6.500;7.500;8.500;9.500;10.500;11.500;12.500;13.500;14.500;15.500;16.500;17.500;18.500;19.500;20.500;21.500;22.000;23.000;23.500;24.000;25.000;26.000;27.000;28.000;29.000;30.000;31.000;32.000;32.500;33.000;33.500;34.000;34.500;35.000;36.000;36.500;37.000,0.000000;0.000000;0.019608;0.039216;0.039216;0.039216;0.058824;0.058824;0.058824;0.078431;0.098039;0.117647;0.137255;0.156863;0.176471;0.196078;0.215686;0.235294;0.254902;0.274510;0.294118;0.313725;0.333333;0.352941;0.372549;0.392157;0.411765;0.431373;0.450980;0.470588;0.490196;0.509804;0.529412;0.549020;0.568627;0.588235;0.607843;0.627451;0.647059;0.666667;0.686275;0.705882;0.725490;0.745098;0.764706;0.784314;0.803922;0.823529;0.843137;0.862745
Random,SUT-A,0,10.0,7,13,0.2549019607843137,0.22580645161290322,4;97;109;35;114;194;29;85;132;60;156;218;66;8;76;101;206;44;118;139;158;80;120;234;167;171;198;205;89;127;98;201;128;100;166;72;116;213;58;173;26;61;142;150;88;77;10;19;18;155,0.000;0.000;0.000;0.000;0.000;1.000;2.000;2.000;2.000;2.000;2.000;3.000;3.000;3.000;3.000;3.000;3.000;3.000;3.000;3.500;4.000;4.000;4.000;5.000;5.000;5.000;5.000;5.000;6.000;6.500;6.500;6.500;7.000;7.000;7.000;7.000;7.000;7.500;7.500;7.500;7.500;7.500;7.500;7.500;7.500;8.500;9.000;9.000;10.000;10.000,0.000000;0.000000;0.000000;0.000000;0.000000;0.019608;0.039216;0.039216;0.039216;0.039216;0.039216;0.058824;0.058824;0.058824;0.058824;0.058824;0.058824;0.058824;0.058824;0.078431;0.098039;0.098039;0.098039;0.117647;0.117647;0.117647;0.117647;0.117647;0.137255;0.156863;0.156863;0.156863;0.176471;0.176471;0.176471;0.176471;0.176471;0.196078;0.196078;0.196078;0.196078;0.196078;0.196078;0.196078;0.196078;0.215686;0.235294;0.235294;0.254902;0.254902
Random,SUT-A,1,11.5,11,12,0.23529411764705882,0.3548387096774194,38;215;124;123;28;166;40;159;114;234;45;105;202;64;213;7;21;189;183;205;156;228;44;24;157;70;14;41;59;23;29;92;238;51;13;97;52;43;77;154;18;65;120;118;113;53;72;235;187;60,0.000;0.000;0.000;1.000;1.000;1.000;1.000;1.000;1.000;2.000;3.000;3.000;4.000;4.000;4.500;4.500;4.500;4.500;4.500;4.500;4.500;4.500;4.500;4.500;5.500;5.500;5.500;5.500;5.500;5.500;6.500;6.500;6.500;6.500;7.500;7.500;7.500;7.500;8.500;8.500;9.500;10.500;10.500;10.500;10.500;11.500;11.500;11.500;11.500;11.500,0.000000;0.000000;0.000000;0.019608;0.019608;0.019608;0.019608;0.019608;0.019608;0.039216;0.058824;0.058824;0.078431;0.078431;0.098039;0.098039;0.098039;0.098039;0.098039;0.098039;0.098039;0.098039;0.098039;0.098039;0.117647;0.117647;0.117647;0.117647;0.117647;0.117647;0.137255;0.137255;0.137255;0.137255;0.156863;0.156863;0.156863;0.156863;0.176471;0.176471;0.196078;0.215686;0.215686;0.215686;0.215686;0.235294;0.235294;0.235294;0.235294;0.235294
Random,SUT-A,2,9.0,7,11,0.21568627450980393,0.22580645161290322,14;111;186;155;179;215;97;134;7;136;185;71;91;161;80;146;37;1;102;171;84;117;158;107;172;203;169;46;211;207;147;123;57;11;4;236;76;23;31;78;226;132;182;48;170;15;167;40;81;69,0.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.500;2.500;2.500;2.500;3.500;3.500;3.500;4.000;4.000;4.000;4.000;4.000;4.000;4.500;4.500;4.500;4.500;5.500;5.500;5.500;5.500;5.500;6.500;7.500;7.500;7.500;7.500;7.500;7.500;7.500;7.500;8.000;8.000;8.000;8.000;8.000;8.000;8.000;8.000;9.000;9.000,0.000000;0.019608;0.019608;0.019608;0.019608;0.019608;0.019608;0.019608;0.019608;0.039216;0.058824;0.058824;0.058824;0.078431;0.078431;0.078431;0.098039;0.098039;0.098039;0.098039;0.098039;0.098039;0.117647;0.117647;0.117647;0.117647;0.137255;0.137255;0.137255;0.137255;0.137255;0.156863;0.176471;0.176471;0.176471;0.176471;0.176471;0.176471;0.176471;0.176471;0.196078;0.196078;0.196078;0.196078;0.196078;0.196078;0.196078;0.196078;0.215686;0.215686
Random,SUT-A,3,8.5,6,11,0.21568627450980393,0.1935483870967742,235;219;127;44;7;47;194;45;38;179;217;225;8;182;39;222;167;166;15;226;80;118;206;180;144;87;50;215;60;236;2;10;75;62;114;163;35;175;227;202;93;148;193;112;189;220;49;186;9;97,0.000;0.000;0.500;0.500;0.500;0.500;1.500;2.500;2.500;2.500;2.500;2.500;2.500;2.500;2.500;2.500;2.500;2.500;2.500;3.000;3.000;3.000;3.000;3.000;3.000;3.000;3.000;3.000;3.000;3.000;3.500;4.000;4.000;5.000;5.000;5.000;5.000;5.000;5.000;6.000;7.000;7.000;7.000;7.000;7.000;7.000;8.000;8.000;8.500;8.500,0.000000;0.000000;0.019608;0.019608;0.019608;0.019608;0.039216;0.058824;0.058824;0.058824;0.058824;0.058824;0.058824;0.058824;0.058824;0.058824;0.058824;0.058824;0.058824;0.078431;0.078431;0.078431;0.078431;0.078431;0.078431;0.078431;0.078431;0.078431;0.078431;0.078431;0.098039;0.117647;0.117647;0.137255;0.137255;0.137255;0.137255;0.137255;0.137255;0.156863;0.176471;0.176471;0.176471;0.176471;0.176471;0.176471;0.196078;0.196078;0.215686;0.215686
Random,SUT-A,4,5.5,4,7,0.13725490196078433,0.12903225806451613,203;75;67;27;128;166;2;87;78;20;231;50;222;144;148;39;8;181;21;225;58;33;191;106;93;188;120;126;68;38;168;55;96;194;159;3;172;163;182;11;30;66;99;40;116;71;70;131;202;100,0.000;0.000;0.000;0.000;0.500;0.500;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;2.000;2.000;2.000;2.000;2.000;2.000;2.000;3.000;3.000;3.000;3.000;3.000;3.000;3.000;3.000;3.000;4.000;4.000;4.000;4.000;4.000;4.000;4.000;4.000;4.000;4.500;4.500;4.500;4.500;4.500;4.500;5.500;5.500,0.000000;0.000000;0.000000;0.000000;0.019608;0.019608;0.039216;0.039216;0.039216;0.039216;0.039216;0.039216;0.039216;0.039216;0.039216;0.039216;0.039216;0.058824;0.058824;0.058824;0.058824;0.058824;0.058824;0.058824;0.078431;0.078431;0.078431;0.078431;0.078431;0.078431;0.078431;0.078431;0.078431;0.098039;0.098039;0.098039;0.098039;0.098039;0.098039;0.098039;0.098039;0.098039;0.117647;0.117647;0.117647;0.117647;0.117647;0.117647;0.137255;0.137255
Random,SUT-A,5,7.0,5,9,0.17647058823529413,0.16129032258064516,92;8;150;191;225;200;145;66;36;127;70;119;236;223;167;93;121;72;120;10;148;51;226;156;41;180;233;214;14;196;69;181;192;27;141;42;151;61;38;183;239;80;163;54;65;31;222;189;11;40,0.000;0.000;0.000;0.000;0.000;0.000;1.000;1.000;1.000;1.500;1.500;2.500;2.500;2.500;2.500;3.500;3.500;3.500;3.500;4.000;4.000;4.000;4.500;4.500;4.500;4.500;4.500;4.500;4.500;4.500;4.500;5.500;5.500;5.500;6.000;6.000;6.000;6.000;6.000;6.000;6.000;6.000;6.000;6.000;7.000;7.000;7.000;7.000;7.000;7.000,0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.019608;0.019608;0.019608;0.039216;0.039216;0.058824;0.058824;0.058824;0.058824;0.078431;0.078431;0.078431;0.078431;0.098039;0.098039;0.098039;0.117647;0.117647;0.117647;0.117647;0.117647;0.117647;0.117647;0.117647;0.117647;0.137255;0.137255;0.137255;0.156863;0.156863;0.156863;0.156863;0.156863;0.156863;0.156863;0.156863;0.156863;0.156863;0.176471;0.176471;0.176471;0.176471;0.176471;0.176471
Random,SUT-A,6,10.5,8,13,0.2549019607843137,0.25806451612903225,49;13;37;117;221;12;202;163;148;7;172;34;100;5;45;95;35;103;225;192;132;159;125;54;57;26;111;213;4;11;134;85;141;105;19;72;216;219;38;165;215;142;184;200;191;61;60;195;126;207,1.000;2.000;2.500;2.500;2.500;2.500;3.500;3.500;3.500;3.500;3.500;4.000;4.000;5.000;6.000;6.000;6.000;7.000;7.000;7.000;7.000;7.000;7.000;7.000;8.000;8.000;9.000;9.500;9.500;9.500;9.500;9.500;10.000;10.000;10.000;10.000;10.000;10.000;10.000;10.500;10.500;10.500;10.500;10.500;10.500;10.500;10.500;10.500;10.500;10.500,0.019608;0.039216;0.058824;0.058824;0.058824;0.058824;0.078431;0.078431;0.078431;0.078431;0.078431;0.098039;0.098039;0.117647;0.137255;0.137255;0.137255;0.156863;0.156863;0.156863;0.156863;0.156863;0.156863;0.156863;0.176471;0.176471;0.196078;0.215686;0.215686;0.215686;0.215686;0.215686;0.235294;0.235294;0.235294;0.235294;0.235294;0.235294;0.235294;0.254902;0.254902;0.254902;0.254902;0.254902;0.254902;0.254902;0.254902;0.254902;0.254902;0.254902
Random,SUT-A,7,8.5,5,12,0.23529411764705882,0.16129032258064516,92;185;198;163;132;143;55;175;156;181;90;74;10;26;34;50;88;12;130;158;73;72;47;62;201;105;45;171;134;56;165;137;192;120;49;71;98;87;233;61;8;222;127;102;155;125;110;109;97;17,0.000;1.000;1.000;1.000;1.000;1.500;1.500;1.500;1.500;2.500;2.500;2.500;3.000;3.000;3.500;3.500;3.500;3.500;3.500;4.000;4.000;4.000;4.000;5.000;5.000;5.000;6.000;6.000;6.000;6.000;6.500;6.500;6.500;6.500;7.500;7.500;7.500;7.500;7.500;7.500;7.500;7.500;8.000;8.000;8.000;8.000;8.000;8.000;8.000;8.500,0.000000;0.019608;0.019608;0.019608;0.019608;0.039216;0.039216;0.039216;0.039216;0.058824;0.058824;0.058824;0.078431;0.078431;0.098039;0.098039;0.098039;0.098039;0.098039;0.117647;0.117647;0.117647;0.117647;0.137255;0.137255;0.137255;0.156863;0.156863;0.156863;0.156863;0.176471;0.176471;0.176471;0.176471;0.196078;0.196078;0.196078;0.196078;0.196078;0.196078;0.196078;0.196078;0.215686;0.215686;0.215686;0.215686;0.215686;0.215686;0.215686;0.235294
Random,SUT-A,8,15.5,13,18,0.35294117647058826,0.41935483870967744,159;2;100;58;156;37;60;115;160;12;10;54;201;155;33;153;232;154;49;71;144;36;194;157;141;104;96;77;62;182;126;80;63;93;61;149;187;225;176;202;218;177;234;145;22;161;121;220;164;27,0.000;0.500;0.500;0.500;0.500;1.000;1.000;1.000;1.000;1.000;1.500;1.500;1.500;1.500;1.500;2.000;2.000;2.000;3.000;3.000;3.000;3.000;4.000;5.000;5.500;6.500;6.500;7.500;8.500;8.500;8.500;8.500;8.500;9.500;9.500;9.500;9.500;9.500;9.500;10.500;11.500;12.500;13.500;14.500;14.500;15.500;15.500;15.500;15.500;15.500,0.000000;0.019608;0.019608;0.019608;0.019608;0.039216;0.039216;0.039216;0.039216;0.039216;0.058824;0.058824;0.058824;0.058824;0.058824;0.078431;0.078431;0.078431;0.098039;0.098039;0.098039;0.098039;0.117647;0.137255;0.156863;0.176471;0.176471;0.196078;0.215686;0.215686;0.215686;0.215686;0.215686;0.235294;0.235294;0.235294;0.235294;0.235294;0.235294;0.254902;0.274510;0.294118;0.313725;0.333333;0.333333;0.352941;0.352941;0.352941;0.352941;0.352941
