method,target_sut,repeat,mode,queries,critical_events_found,critical_events_available,critical_recall_at_50
DETOUR Hierarchy (K=0),SUT-A,0,fast_intrusion,24,11,11,1.0
DETOUR Hierarchy (K=0),SUT-A,0,cutin_braking,11,8,10,0.8
DETOUR Hierarchy (K=0),SUT-A,0,lead_braking,4,3,13,0.23076923076923078
DETOUR Hierarchy (K=0),SUT-A,0,stop_and_go,6,5,11,0.45454545454545453
DETOUR Hierarchy (K=0),SUT-A,0,slow_lead_following,5,4,6,0.6666666666666666
Risk Mining + Adaptation,SUT-A,0,fast_intrusion,11,10,11,0.9090909090909091
Risk Mining + Adaptation,SUT-A,0,cutin_braking,11,8,10,0.8
Risk Mining + Adaptation,SUT-A,0,lead_braking,9,9,13,0.6923076923076923
Risk Mining + Adaptation,SUT-A,0,stop_and_go,14,11,11,1.0
Risk Mining + Adaptation,SUT-A,0,slow_lead_following,5,5,6,0.8333333333333334
Risk Mining + DETOUR Hierarchy,SUT-A,0,fast_intrusion,11,10,11,0.9090909090909091
Risk Mining + DETOUR Hierarchy,SUT-A,0,cutin_braking,11,8,10,0.8
Risk Mining + DETOUR Hierarchy,SUT-A,0,lead_braking,9,9,13,0.6923076923076923
Risk Mining + DETOUR Hierarchy,SUT-A,0,stop_and_go,14,11,11,1.0
Risk Mining + DETOUR Hierarchy,SUT-A,0,slow_lead_following,5,5,6,0.8333333333333334
DETOUR-Guided Risk Diagnosis,SUT-A,0,fast_intrusion,11,10,11,0.9090909090909091
DETOUR-Guided Risk Diagnosis,SUT-A,0,cutin_braking,11,9,10,0.9
DETOUR-Guided Risk Diagnosis,SUT-A,0,lead_braking,9,9,13,0.6923076923076923
DETOUR-Guided Risk Diagnosis,SUT-A,0,stop_and_go,14,11,11,1.0
DETOUR-Guided Risk Diagnosis,SUT-A,0,slow_lead_following,5,5,6,0.8333333333333334
Random,SUT-A,0,fast_intrusion,9,3,11,0.2727272727272727
Random,SUT-A,0,cutin_braking,11,2,10,0.2
Random,SUT-A,0,lead_braking,14,3,13,0.23076923076923078
Random,SUT-A,0,stop_and_go,8,1,11,0.09090909090909091
Random,SUT-A,0,slow_lead_following,8,4,6,0.6666666666666666
Random,SUT-A,1,fast_intrusion,15,4,11,0.36363636363636365
Random,SUT-A,1,cutin_braking,11,3,10,0.3
Random,SUT-A,1,lead_braking,8,1,13,0.07692307692307693
Random,SUT-A,1,stop_and_go,8,1,11,0.09090909090909091
Random,SUT-A,1,slow_lead_following,8,3,6,0.5
Random,SUT-A,2,fast_intrusion,11,1,11,0.09090909090909091
Random,SUT-A,2,cutin_braking,10,2,10,0.2
Random,SUT-A,2,lead_braking,9,3,13,0.23076923076923078
Random,SUT-A,2,stop_and_go,14,4,11,0.36363636363636365
Random,SUT-A,2,slow_lead_following,6,1,6,0.16666666666666666
Random,SUT-A,3,fast_intrusion,12,4,11,0.36363636363636365
Random,SUT-A,3,cutin_braking,8,3,10,0.3
Random,SUT-A,3,lead_braking,5,1,13,0.07692307692307693
Random,SUT-A,3,stop_and_go,11,0,11,0.0
Random,SUT-A,3,slow_lead_following,14,3,6,0.5
Random,SUT-A,4,fast_intrusion,12,1,11,0.09090909090909091
Random,SUT-A,4,cutin_braking,12,1,10,0.1
Random,SUT-A,4,lead_braking,9,2,13,0.15384615384615385
Random,SUT-A,4,stop_and_go,11,1,11,0.09090909090909091
Random,SUT-A,4,slow_lead_following,6,2,6,0.3333333333333333
Random,SUT-A,5,fast_intrusion,11,1,11,0.09090909090909091
Random,SUT-A,5,cutin_braking,11,2,10,0.2
Random,SUT-A,5,lead_braking,5,3,13,0.23076923076923078
Random,SUT-A,5,stop_and_go,12,2,11,0.18181818181818182
Random,SUT-A,5,slow_lead_following,11,1,6,0.16666666666666666
Random,SUT-A,6,fast_intrusion,13,5,11,0.45454545454545453
Random,SUT-A,6,cutin_braking,8,2,10,0.2
Random,SUT-A,6,lead_braking,11,3,13,0.23076923076923078
Random,SUT-A,6,stop_and_go,7,1,11,0.09090909090909091
Random,SUT-A,6,slow_lead_following,11,2,6,0.3333333333333333
Random,SUT-A,7,fast_intrusion,8,4,11,0.36363636363636365
Random,SUT-A,7,cutin_braking,14,2,10,0.2
Random,SUT-A,7,lead_braking,14,2,13,0.15384615384615385
Random,SUT-A,7,stop_and_go,9,4,11,0.36363636363636365
Random,SUT-A,7,slow_lead_following,5,0,6,0.0
Random,SUT-A,8,fast_intrusion,8,3,11,0.2727272727272727
Random,SUT-A,8,cutin_braking,11,4,10,0.4
Random,SUT-A,8,lead_braking,7,2,13,0.15384615384615385
Random,SUT-A,8,stop_and_go,16,5,11,0.45454545454545453
Random,SUT-A,8,slow_lead_following,8,4,6,0.6666666666666666
Random,SUT-A,9,fast_intrusion,8,0,11,0.0
Random,SUT-A,9,cutin_braking,16,5,10,0.5
Random,SUT-A,9,lead_braking,15,4,13,0.3076923076923077
Random,SUT-A,9,stop_and_go,4,0,11,0.0
Random,SUT-A,9,slow_lead_following,7,1,6,0.16666666666666666
Random,SUT-A,10,fast_intrusion,10,3,11,0.2727272727272727
Random,SUT-A,10,cutin_braking,11,1,10,0.1
