build_id,adapter_kind,scenario_id,template_id,selected,applicable_by_static_capability,execution_status,reason
mobil_ref_v2,native_mobil,S01,fbrt_cutin,True,True,selected,
mobil_ref_v2,native_mobil,S02,fbrt_cutout_static,True,True,selected,
mobil_ref_v2,native_mobil,S03,fbrt_lead_emergency_brake,False,True,not_selected,
mobil_ref_v2,native_mobil,S04,fbrt_stop_hold_go,False,True,not_selected,
mobil_ref_v2,native_mobil,S05,fbrt_lane_change_rear,True,True,selected,
mobil_ref_v2,native_mobil,S06,fbrt_moving_lead,True,True,selected,
mobil_ref_v2,native_mobil,S07,fbrt_stationary_lead,False,True,not_selected,
mobil_ref_v2,native_mobil,S08,fbrt_cutin_then_brake,True,True,selected,
mobil_ref_v2,native_mobil,S09,fbrt_cutout_release,False,True,not_selected,
mobil_ref_v2,native_mobil,S10,fbrt_lane_change_bounded_gap,False,True,not_selected,
mobil_ref_v2,native_mobil,S11,fbrt_partial_lane_obstacle,False,True,not_selected,
mobil_ref_v2,native_mobil,S12,fbrt_successive_cutins,False,True,not_selected,
mobil_ref_v2,native_mobil,S13,fbrt_curved_slow_lead,False,True,not_selected,
mobil_ref_v2,native_mobil,S14,fbrt_same_lane_ptw,False,True,not_selected,
mobil_rear_guard_off_v2,native_mobil,S01,fbrt_cutin,True,True,selected,
mobil_rear_guard_off_v2,native_mobil,S02,fbrt_cutout_static,True,True,selected,
mobil_rear_guard_off_v2,native_mobil,S03,fbrt_lead_emergency_brake,False,True,not_selected,
mobil_rear_guard_off_v2,native_mobil,S04,fbrt_stop_hold_go,False,True,not_selected,
mobil_rear_guard_off_v2,native_mobil,S05,fbrt_lane_change_rear,True,True,selected,
mobil_rear_guard_off_v2,native_mobil,S06,fbrt_moving_lead,True,True,selected,
mobil_rear_guard_off_v2,native_mobil,S07,fbrt_stationary_lead,False,True,not_selected,
mobil_rear_guard_off_v2,native_mobil,S08,fbrt_cutin_then_brake,True,True,selected,
mobil_rear_guard_off_v2,native_mobil,S09,fbrt_cutout_release,False,True,not_selected,
mobil_rear_guard_off_v2,native_mobil,S10,fbrt_lane_change_bounded_gap,False,True,not_selected,
mobil_rear_guard_off_v2,native_mobil,S11,fbrt_partial_lane_obstacle,False,True,not_selected,
mobil_rear_guard_off_v2,native_mobil,S12,fbrt_successive_cutins,False,True,not_selected,
mobil_rear_guard_off_v2,native_mobil,S13,fbrt_curved_slow_lead,False,True,not_selected,
mobil_rear_guard_off_v2,native_mobil,S14,fbrt_same_lane_ptw,False,True,not_selected,
ppo_ref_v2,ppo,S01,fbrt_cutin,True,True,selected,
ppo_ref_v2,ppo,S02,fbrt_cutout_static,True,True,selected,
ppo_ref_v2,ppo,S03,fbrt_lead_emergency_brake,False,False,not_selected,NOT_APPLICABLE_ACTION_CAPABILITY
ppo_ref_v2,ppo,S04,fbrt_stop_hold_go,False,True,not_selected,
ppo_ref_v2,ppo,S05,fbrt_lane_change_rear,True,True,selected,
ppo_ref_v2,ppo,S06,fbrt_moving_lead,True,True,selected,
ppo_ref_v2,ppo,S07,fbrt_stationary_lead,False,False,not_selected,NOT_APPLICABLE_ACTION_CAPABILITY
ppo_ref_v2,ppo,S08,fbrt_cutin_then_brake,True,True,selected,
ppo_ref_v2,ppo,S09,fbrt_cutout_release,False,True,not_selected,
ppo_ref_v2,ppo,S10,fbrt_lane_change_bounded_gap,False,True,not_selected,
ppo_ref_v2,ppo,S11,fbrt_partial_lane_obstacle,False,True,not_selected,
ppo_ref_v2,ppo,S12,fbrt_successive_cutins,False,True,not_selected,
ppo_ref_v2,ppo,S13,fbrt_curved_slow_lead,False,True,not_selected,
ppo_ref_v2,ppo,S14,fbrt_same_lane_ptw,False,True,not_selected,
ppo_obs_age020_v2,ppo,S01,fbrt_cutin,True,True,selected,
ppo_obs_age020_v2,ppo,S02,fbrt_cutout_static,True,True,selected,
ppo_obs_age020_v2,ppo,S03,fbrt_lead_emergency_brake,False,False,not_selected,NOT_APPLICABLE_ACTION_CAPABILITY
ppo_obs_age020_v2,ppo,S04,fbrt_stop_hold_go,False,True,not_selected,
ppo_obs_age020_v2,ppo,S05,fbrt_lane_change_rear,True,True,selected,
ppo_obs_age020_v2,ppo,S06,fbrt_moving_lead,True,True,selected,
ppo_obs_age020_v2,ppo,S07,fbrt_stationary_lead,False,False,not_selected,NOT_APPLICABLE_ACTION_CAPABILITY
ppo_obs_age020_v2,ppo,S08,fbrt_cutin_then_brake,True,True,selected,
ppo_obs_age020_v2,ppo,S09,fbrt_cutout_release,False,True,not_selected,
ppo_obs_age020_v2,ppo,S10,fbrt_lane_change_bounded_gap,False,True,not_selected,
ppo_obs_age020_v2,ppo,S11,fbrt_partial_lane_obstacle,False,True,not_selected,
ppo_obs_age020_v2,ppo,S12,fbrt_successive_cutins,False,True,not_selected,
ppo_obs_age020_v2,ppo,S13,fbrt_curved_slow_lead,False,True,not_selected,
ppo_obs_age020_v2,ppo,S14,fbrt_same_lane_ptw,False,True,not_selected,
