scenario_id,catalogue_id,template_id,parameter_name,value,unit,lower_bound,upper_bound,range_status,sampling_kind,fixed_context,context_id,source_ids
4179901:S01:anchor_like:0,S01,fbrt_cutin,initial_clearance_m,21.0,m,8,60,RESEARCH_RANGE,anchor_like,"{""duration_s"": 12, ""ego_speed_mps"": 25, ""event_start_s"": 1, ""lane_count"": 2, ""lead_speed_mps"": 20}",S01:research_v2:30802d1dbb,S3;S4;L1;L2;L3
4179901:S01:anchor_like:0,S01,fbrt_cutin,lane_change_time_scale_s,1.875,s,1.5,3.0,RESEARCH_RANGE,anchor_like,"{""duration_s"": 12, ""ego_speed_mps"": 25, ""event_start_s"": 1, ""lane_count"": 2, ""lead_speed_mps"": 20}",S01:research_v2:30802d1dbb,S3;S4;L1;L2;L3
4179901:S01:anchor_like:1,S01,fbrt_cutin,initial_clearance_m,21.0,m,8,60,RESEARCH_RANGE,anchor_like,"{""duration_s"": 12, ""ego_speed_mps"": 25, ""event_start_s"": 1, ""lane_count"": 2, ""lead_speed_mps"": 20}",S01:research_v2:30802d1dbb,S3;S4;L1;L2;L3
4179901:S01:anchor_like:1,S01,fbrt_cutin,lane_change_time_scale_s,2.625,s,1.5,3.0,RESEARCH_RANGE,anchor_like,"{""duration_s"": 12, ""ego_speed_mps"": 25, ""event_start_s"": 1, ""lane_count"": 2, ""lead_speed_mps"": 20}",S01:research_v2:30802d1dbb,S3;S4;L1;L2;L3
4179901:S01:anchor_like:2,S01,fbrt_cutin,initial_clearance_m,47.0,m,8,60,RESEARCH_RANGE,anchor_like,"{""duration_s"": 12, ""ego_speed_mps"": 25, ""event_start_s"": 1, ""lane_count"": 2, ""lead_speed_mps"": 20}",S01:research_v2:30802d1dbb,S3;S4;L1;L2;L3
4179901:S01:anchor_like:2,S01,fbrt_cutin,lane_change_time_scale_s,1.875,s,1.5,3.0,RESEARCH_RANGE,anchor_like,"{""duration_s"": 12, ""ego_speed_mps"": 25, ""event_start_s"": 1, ""lane_count"": 2, ""lead_speed_mps"": 20}",S01:research_v2:30802d1dbb,S3;S4;L1;L2;L3
4179901:S01:anchor_like:3,S01,fbrt_cutin,initial_clearance_m,47.0,m,8,60,RESEARCH_RANGE,anchor_like,"{""duration_s"": 12, ""ego_speed_mps"": 25, ""event_start_s"": 1, ""lane_count"": 2, ""lead_speed_mps"": 20}",S01:research_v2:30802d1dbb,S3;S4;L1;L2;L3
4179901:S01:anchor_like:3,S01,fbrt_cutin,lane_change_time_scale_s,2.625,s,1.5,3.0,RESEARCH_RANGE,anchor_like,"{""duration_s"": 12, ""ego_speed_mps"": 25, ""event_start_s"": 1, ""lane_count"": 2, ""lead_speed_mps"": 20}",S01:research_v2:30802d1dbb,S3;S4;L1;L2;L3
4179901:S01:space_filling:4,S01,fbrt_cutin,initial_clearance_m,10.89738578721881,m,8,60,RESEARCH_RANGE,space_filling,"{""duration_s"": 12, ""ego_speed_mps"": 25, ""event_start_s"": 1, ""lane_count"": 2, ""lead_speed_mps"": 20}",S01:research_v2:30802d1dbb,S3;S4;L1;L2;L3
4179901:S01:space_filling:4,S01,fbrt_cutin,lane_change_time_scale_s,2.4904952282086015,s,1.5,3.0,RESEARCH_RANGE,space_filling,"{""duration_s"": 12, ""ego_speed_mps"": 25, ""event_start_s"": 1, ""lane_count"": 2, ""lead_speed_mps"": 20}",S01:research_v2:30802d1dbb,S3;S4;L1;L2;L3
4179901:S01:space_filling:5,S01,fbrt_cutin,initial_clearance_m,56.56066131591797,m,8,60,RESEARCH_RANGE,space_filling,"{""duration_s"": 12, ""ego_speed_mps"": 25, ""event_start_s"": 1, ""lane_count"": 2, ""lead_speed_mps"": 20}",S01:research_v2:30802d1dbb,S3;S4;L1;L2;L3
4179901:S01:space_filling:5,S01,fbrt_cutin,lane_change_time_scale_s,2.0903482642024755,s,1.5,3.0,RESEARCH_RANGE,space_filling,"{""duration_s"": 12, ""ego_speed_mps"": 25, ""event_start_s"": 1, ""lane_count"": 2, ""lead_speed_mps"": 20}",S01:research_v2:30802d1dbb,S3;S4;L1;L2;L3
