method,rank,scenario_id,template_id,selection_reason,selected_build_id,session_id,mode,ego_collision,inconclusive,regression,execution_id,episode_cost,contributing_pattern_ids,new_pattern_id,target_observations_before_query,history_source_count
FBRT-Memory,1,4179901:S08:space_filling:11,fbrt_cutin_then_brake,posterior_mean_failure_probability,mobil_ref_v2,cross_agent_FBRT-Memory_mobil_to_next,cross_agent,False,False,False,new-54329726cfbefe6a8557ddc7,1,[],,0,0
FBRT-Memory,2,4179901:S01:space_filling:9,fbrt_cutin,posterior_mean_failure_probability,mobil_ref_v2,cross_agent_FBRT-Memory_mobil_to_next,cross_agent,False,False,False,new-827f49aabb6d25d8177239c4,1,[],,1,0
FBRT-Memory,3,4179901:S02:space_filling:12,fbrt_cutout_static,posterior_mean_failure_probability,mobil_ref_v2,cross_agent_FBRT-Memory_mobil_to_next,cross_agent,False,False,False,new-f5d5bdcd942041f07df995c6,1,[],,2,0
FBRT-Memory,4,4179901:S05:space_filling:5,fbrt_lane_change_rear,posterior_mean_failure_probability,mobil_ref_v2,cross_agent_FBRT-Memory_mobil_to_next,cross_agent,False,False,False,new-98a702ffc479d5c279460f43,1,[],,3,0
FBRT-Memory,5,4179901:S06:anchor_like:2,fbrt_moving_lead,posterior_mean_failure_probability,mobil_ref_v2,cross_agent_FBRT-Memory_mobil_to_next,cross_agent,False,False,False,new-91baa97b050586f691f46b08,1,[],,4,0
FBRT-Memory,6,4179901:S02:space_filling:5,fbrt_cutout_static,posterior_mean_failure_probability,mobil_ref_v2,cross_agent_FBRT-Memory_mobil_to_next,cross_agent,False,False,False,new-afc0921fb6a40688223bb371,1,[],,5,0
FBRT-Memory,7,4179901:S01:anchor_like:1,fbrt_cutin,posterior_mean_failure_probability,mobil_ref_v2,cross_agent_FBRT-Memory_mobil_to_next,cross_agent,False,False,False,new-e3fcb725295fda4bddcc5a7c,1,[],,6,0
FBRT-Memory,8,4179901:S08:space_filling:10,fbrt_cutin_then_brake,posterior_mean_failure_probability,mobil_ref_v2,cross_agent_FBRT-Memory_mobil_to_next,cross_agent,False,False,False,new-1b41f020a6b797e4af5d896b,1,[],,7,0
FBRT-Memory,9,4179901:S05:space_filling:7,fbrt_lane_change_rear,posterior_mean_failure_probability,mobil_ref_v2,cross_agent_FBRT-Memory_mobil_to_next,cross_agent,False,False,False,new-db4544f00613ff7152702777,1,[],,8,0
FBRT-Memory,10,4179901:S06:space_filling:5,fbrt_moving_lead,global_art_maximin,mobil_ref_v2,cross_agent_FBRT-Memory_mobil_to_next,cross_agent,False,False,False,new-86c8e600e258da0223b63cde,1,[],,9,0
FBRT-Memory,11,4179901:S01:space_filling:6,fbrt_cutin,posterior_mean_failure_probability,mobil_ref_v2,cross_agent_FBRT-Memory_mobil_to_next,cross_agent,False,False,False,new-b86221f25a45a1f5d5b04da2,1,[],,10,0
FBRT-Memory,12,4179901:S05:space_filling:8,fbrt_lane_change_rear,posterior_mean_failure_probability,mobil_ref_v2,cross_agent_FBRT-Memory_mobil_to_next,cross_agent,False,False,False,new-99c262830f3b0047d175b19a,1,[],,11,0
FBRT-Memory,13,4179901:S02:space_filling:11,fbrt_cutout_static,posterior_mean_failure_probability,mobil_ref_v2,cross_agent_FBRT-Memory_mobil_to_next,cross_agent,False,False,False,new-57b10a7f2f34f173f5552133,1,[],,12,0
FBRT-Memory,14,4179901:S08:space_filling:13,fbrt_cutin_then_brake,posterior_mean_failure_probability,mobil_ref_v2,cross_agent_FBRT-Memory_mobil_to_next,cross_agent,False,False,False,new-dcd5e1b4bedac224cab19414,1,[],,13,0
FBRT-Memory,15,4179901:S06:space_filling:14,fbrt_moving_lead,posterior_mean_failure_probability,mobil_ref_v2,cross_agent_FBRT-Memory_mobil_to_next,cross_agent,False,False,False,new-6503a6fc6176d926a8f89257,1,[],,14,0
FBRT-Memory,16,4179901:S05:space_filling:10,fbrt_lane_change_rear,posterior_mean_failure_probability,mobil_ref_v2,cross_agent_FBRT-Memory_mobil_to_next,cross_agent,False,False,False,new-081c56c4c310e4e88c536912,1,[],,15,0
FBRT-Memory,17,4179901:S02:anchor_like:2,fbrt_cutout_static,posterior_mean_failure_probability,mobil_ref_v2,cross_agent_FBRT-Memory_mobil_to_next,cross_agent,False,False,False,new-4b35655223881b1cd925f749,1,[],,16,0
FBRT-Memory,18,4179901:S01:space_filling:5,fbrt_cutin,posterior_mean_failure_probability,mobil_ref_v2,cross_agent_FBRT-Memory_mobil_to_next,cross_agent,False,False,False,new-b907a0492b54e86e2bf88904,1,[],,17,0
FBRT-Memory,19,4179901:S08:space_filling:4,fbrt_cutin_then_brake,posterior_mean_failure_probability,mobil_ref_v2,cross_agent_FBRT-Memory_mobil_to_next,cross_agent,False,False,False,new-aa4687df1ab620035ebba764,1,[],,18,0
FBRT-Memory,20,4179901:S02:anchor_like:1,fbrt_cutout_static,global_art_maximin,mobil_ref_v2,cross_agent_FBRT-Memory_mobil_to_next,cross_agent,False,False,False,new-a49a9d025034ebc37b065763,1,[],,19,0
