method,rank,scenario_id,template_id,selection_reason,selected_build_id,session_id,mode,ego_collision,inconclusive,regression,execution_id,episode_cost,contributing_pattern_ids,new_pattern_id,target_observations_before_query,history_source_count
FailureDistance-v2,1,4179901:S01:anchor_like:2,fbrt_cutin,nearest_observed_failure,mobil_ref_v2,cross_agent_FailureDistance-v2_mobil_to_next,cross_agent,False,False,False,new-54af71d3c73ce835ed50f848,1,[],,0,0
FailureDistance-v2,2,4179901:S05:space_filling:6,fbrt_lane_change_rear,nearest_observed_failure,mobil_ref_v2,cross_agent_FailureDistance-v2_mobil_to_next,cross_agent,False,False,False,new-32695f768fc787bb350a7e4b,1,[],,1,0
FailureDistance-v2,3,4179901:S01:space_filling:14,fbrt_cutin,nearest_observed_failure,mobil_ref_v2,cross_agent_FailureDistance-v2_mobil_to_next,cross_agent,False,False,False,new-6aa0a4514cc79999db8175f7,1,[],,2,0
FailureDistance-v2,4,4179901:S01:space_filling:10,fbrt_cutin,nearest_observed_failure,mobil_ref_v2,cross_agent_FailureDistance-v2_mobil_to_next,cross_agent,False,False,False,new-cff21d594213f7fba221aeaf,1,[],,3,0
FailureDistance-v2,5,4179901:S01:space_filling:12,fbrt_cutin,nearest_observed_failure,mobil_ref_v2,cross_agent_FailureDistance-v2_mobil_to_next,cross_agent,False,False,False,new-6ad612075a2adefadf31028c,1,[],,4,0
FailureDistance-v2,6,4179901:S05:space_filling:8,fbrt_lane_change_rear,nearest_observed_failure,mobil_ref_v2,cross_agent_FailureDistance-v2_mobil_to_next,cross_agent,False,False,False,new-99c262830f3b0047d175b19a,1,[],,5,0
FailureDistance-v2,7,4179901:S08:space_filling:12,fbrt_cutin_then_brake,nearest_observed_failure,mobil_ref_v2,cross_agent_FailureDistance-v2_mobil_to_next,cross_agent,False,False,False,new-6002f7d24099fa36b105e6e2,1,[],,6,0
FailureDistance-v2,8,4179901:S08:space_filling:8,fbrt_cutin_then_brake,nearest_observed_failure,mobil_ref_v2,cross_agent_FailureDistance-v2_mobil_to_next,cross_agent,False,False,False,new-9d3718631ea756883e66f481,1,[],,7,0
FailureDistance-v2,9,4179901:S05:anchor_like:2,fbrt_lane_change_rear,nearest_observed_failure,mobil_ref_v2,cross_agent_FailureDistance-v2_mobil_to_next,cross_agent,False,False,False,new-9dbc5ad146eafebdfb2e44a6,1,[],,8,0
FailureDistance-v2,10,4179901:S06:anchor_like:1,fbrt_moving_lead,global_art_maximin,mobil_ref_v2,cross_agent_FailureDistance-v2_mobil_to_next,cross_agent,False,False,False,new-bdf474420dcb67289c2c244f,1,[],,9,0
FailureDistance-v2,11,4179901:S08:space_filling:5,fbrt_cutin_then_brake,nearest_observed_failure,mobil_ref_v2,cross_agent_FailureDistance-v2_mobil_to_next,cross_agent,False,False,False,new-57f34a96d685c83f87378834,1,[],,10,0
FailureDistance-v2,12,4179901:S06:anchor_like:3,fbrt_moving_lead,nearest_observed_failure,mobil_ref_v2,cross_agent_FailureDistance-v2_mobil_to_next,cross_agent,False,False,False,new-93e8ceb1e58884bb7bef4f9f,1,[],,11,0
FailureDistance-v2,13,4179901:S08:space_filling:6,fbrt_cutin_then_brake,nearest_observed_failure,mobil_ref_v2,cross_agent_FailureDistance-v2_mobil_to_next,cross_agent,False,False,False,new-dae23bbfcfb71200e7f0c66d,1,[],,12,0
FailureDistance-v2,14,4179901:S01:space_filling:4,fbrt_cutin,nearest_observed_failure,mobil_ref_v2,cross_agent_FailureDistance-v2_mobil_to_next,cross_agent,False,False,False,new-f051f4d95fe986aff3b3b763,1,[],,13,0
FailureDistance-v2,15,4179901:S06:space_filling:8,fbrt_moving_lead,nearest_observed_failure,mobil_ref_v2,cross_agent_FailureDistance-v2_mobil_to_next,cross_agent,False,False,False,new-14c98b5ad7fd8fee2af9d31f,1,[],,14,0
FailureDistance-v2,16,4179901:S02:space_filling:14,fbrt_cutout_static,nearest_observed_failure,mobil_ref_v2,cross_agent_FailureDistance-v2_mobil_to_next,cross_agent,False,False,False,new-ed44a309ebf810a943fa8b14,1,[],,15,0
FailureDistance-v2,17,4179901:S06:space_filling:6,fbrt_moving_lead,nearest_observed_failure,mobil_ref_v2,cross_agent_FailureDistance-v2_mobil_to_next,cross_agent,False,False,False,new-7dbd9568e8847b7354735959,1,[],,16,0
FailureDistance-v2,18,4179901:S02:space_filling:5,fbrt_cutout_static,nearest_observed_failure,mobil_ref_v2,cross_agent_FailureDistance-v2_mobil_to_next,cross_agent,False,False,False,new-afc0921fb6a40688223bb371,1,[],,17,0
FailureDistance-v2,19,4179901:S02:space_filling:8,fbrt_cutout_static,nearest_observed_failure,mobil_ref_v2,cross_agent_FailureDistance-v2_mobil_to_next,cross_agent,False,False,False,new-c23bfbf44252d137bbd84c13,1,[],,18,0
FailureDistance-v2,20,4179901:S05:space_filling:7,fbrt_lane_change_rear,global_art_maximin,mobil_ref_v2,cross_agent_FailureDistance-v2_mobil_to_next,cross_agent,False,False,False,new-db4544f00613ff7152702777,1,[],,19,0
