method,rank,scenario_id,template_id,selection_reason,selected_build_id,session_id,mode,ego_collision,inconclusive,regression,execution_id,episode_cost,contributing_pattern_ids,new_pattern_id,target_observations_before_query,history_source_count
Random,1,4179901:S06:space_filling:4,fbrt_moving_lead,seeded_random_without_replacement,ppo_ref_v2,cross_agent_Random_ppo_ref_after_mobil,cross_agent,False,False,False,new-3e22b910e42bd02024fe4a06,1,[],,0,1
Random,2,4179901:S01:space_filling:15,fbrt_cutin,seeded_random_without_replacement,ppo_ref_v2,cross_agent_Random_ppo_ref_after_mobil,cross_agent,False,False,False,new-c29fa70846bd2ec9b419c9b0,1,[],,1,1
Random,3,4179901:S02:anchor_like:1,fbrt_cutout_static,seeded_random_without_replacement,ppo_ref_v2,cross_agent_Random_ppo_ref_after_mobil,cross_agent,True,False,False,new-18b0ff59e7429b93528a4881,1,[],,2,1
Random,4,4179901:S06:anchor_like:3,fbrt_moving_lead,seeded_random_without_replacement,ppo_ref_v2,cross_agent_Random_ppo_ref_after_mobil,cross_agent,False,False,False,new-eb33a8201a965bbec0d35977,1,[],,3,1
Random,5,4179901:S08:space_filling:12,fbrt_cutin_then_brake,seeded_random_without_replacement,ppo_ref_v2,cross_agent_Random_ppo_ref_after_mobil,cross_agent,False,False,False,new-a78c81c3f23dd0ccf6f2e6e5,1,[],,4,1
Random,6,4179901:S02:anchor_like:3,fbrt_cutout_static,seeded_random_without_replacement,ppo_ref_v2,cross_agent_Random_ppo_ref_after_mobil,cross_agent,True,False,False,new-6794727c4e6e0d436b1e66fc,1,[],,5,1
Random,7,4179901:S06:space_filling:7,fbrt_moving_lead,seeded_random_without_replacement,ppo_ref_v2,cross_agent_Random_ppo_ref_after_mobil,cross_agent,False,False,False,new-ad85e4845f4a29cf051af933,1,[],,6,1
Random,8,4179901:S06:space_filling:8,fbrt_moving_lead,seeded_random_without_replacement,ppo_ref_v2,cross_agent_Random_ppo_ref_after_mobil,cross_agent,False,False,False,new-a428b5abb74af55721c442f4,1,[],,7,1
Random,9,4179901:S08:space_filling:11,fbrt_cutin_then_brake,seeded_random_without_replacement,ppo_ref_v2,cross_agent_Random_ppo_ref_after_mobil,cross_agent,False,False,False,new-a6fe4da8ea381e8b675742a1,1,[],,8,1
Random,10,4179901:S02:space_filling:15,fbrt_cutout_static,seeded_random_without_replacement,ppo_ref_v2,cross_agent_Random_ppo_ref_after_mobil,cross_agent,True,False,False,new-0b79f927f61413787a8406ad,1,[],,9,1
Random,11,4179901:S08:anchor_like:0,fbrt_cutin_then_brake,seeded_random_without_replacement,ppo_ref_v2,cross_agent_Random_ppo_ref_after_mobil,cross_agent,False,False,False,new-bad3657efe18f23453c48fe3,1,[],,10,1
Random,12,4179901:S06:space_filling:15,fbrt_moving_lead,seeded_random_without_replacement,ppo_ref_v2,cross_agent_Random_ppo_ref_after_mobil,cross_agent,False,False,False,new-8f7b93ed926ef30db017eadc,1,[],,11,1
Random,13,4179901:S02:space_filling:9,fbrt_cutout_static,seeded_random_without_replacement,ppo_ref_v2,cross_agent_Random_ppo_ref_after_mobil,cross_agent,True,False,False,new-e25c0132a3b4281493f5a686,1,[],,12,1
Random,14,4179901:S05:anchor_like:1,fbrt_lane_change_rear,seeded_random_without_replacement,ppo_ref_v2,cross_agent_Random_ppo_ref_after_mobil,cross_agent,False,False,False,new-ba08f7446ef64248200f6dde,1,[],,13,1
Random,15,4179901:S06:space_filling:6,fbrt_moving_lead,seeded_random_without_replacement,ppo_ref_v2,cross_agent_Random_ppo_ref_after_mobil,cross_agent,False,False,False,new-a195bd4cbb85f54b3e313a82,1,[],,14,1
Random,16,4179901:S06:anchor_like:0,fbrt_moving_lead,seeded_random_without_replacement,ppo_ref_v2,cross_agent_Random_ppo_ref_after_mobil,cross_agent,False,False,False,new-7856c817d75fb2f0e77b3bc0,1,[],,15,1
Random,17,4179901:S05:anchor_like:3,fbrt_lane_change_rear,seeded_random_without_replacement,ppo_ref_v2,cross_agent_Random_ppo_ref_after_mobil,cross_agent,False,False,False,new-f0314f0e2720ca18ecbce2fa,1,[],,16,1
Random,18,4179901:S08:anchor_like:2,fbrt_cutin_then_brake,seeded_random_without_replacement,ppo_ref_v2,cross_agent_Random_ppo_ref_after_mobil,cross_agent,False,False,False,new-ea8aa9fff32f1115ad6afbb9,1,[],,17,1
Random,19,4179901:S01:space_filling:12,fbrt_cutin,seeded_random_without_replacement,ppo_ref_v2,cross_agent_Random_ppo_ref_after_mobil,cross_agent,False,False,False,new-31fe60b4d239445e5f497589,1,[],,18,1
Random,20,4179901:S01:space_filling:7,fbrt_cutin,seeded_random_without_replacement,ppo_ref_v2,cross_agent_Random_ppo_ref_after_mobil,cross_agent,False,False,False,new-dc41ab6e5c0add90ad897d13,1,[],,19,1
