method,rank,scenario_id,template_id,selection_reason,selected_build_id,session_id,mode,ego_collision,inconclusive,regression,execution_id,episode_cost,contributing_pattern_ids,new_pattern_id,target_observations_before_query,history_source_count
FBRT-Memory,1,4179901:S01:space_filling:6,fbrt_cutin,posterior_mean_failure_probability,mobil_rear_guard_off_v2,compact_regression_mobil_ref_to_rear_guard_off:FBRT-Memory:0,regression,False,False,False,new-70554bf2271fa59d21af8575,1,[],,0,1
FBRT-Memory,2,4179901:S08:space_filling:13,fbrt_cutin_then_brake,posterior_mean_failure_probability,mobil_rear_guard_off_v2,compact_regression_mobil_ref_to_rear_guard_off:FBRT-Memory:0,regression,False,False,False,new-288612112438dda6d7f1f545,1,[],,1,1
FBRT-Memory,3,4179901:S08:space_filling:7,fbrt_cutin_then_brake,posterior_mean_failure_probability,mobil_rear_guard_off_v2,compact_regression_mobil_ref_to_rear_guard_off:FBRT-Memory:0,regression,False,False,False,new-535a4620b41b130158a7ed5c,1,[],,2,1
FBRT-Memory,4,4179901:S01:space_filling:12,fbrt_cutin,posterior_mean_failure_probability,mobil_rear_guard_off_v2,compact_regression_mobil_ref_to_rear_guard_off:FBRT-Memory:0,regression,False,False,False,new-39b095b12cdf959d3021e4ec,1,[],,3,1
FBRT-Memory,5,4179901:S05:space_filling:7,fbrt_lane_change_rear,posterior_mean_failure_probability,mobil_rear_guard_off_v2,compact_regression_mobil_ref_to_rear_guard_off:FBRT-Memory:0,regression,False,False,False,new-7b258f36608b98d500f6b82c,1,[],,4,1
FBRT-Memory,6,4179901:S06:space_filling:5,fbrt_moving_lead,posterior_mean_failure_probability,mobil_rear_guard_off_v2,compact_regression_mobil_ref_to_rear_guard_off:FBRT-Memory:0,regression,False,False,False,new-fdeba20511a44dce6c5e2090,1,[],,5,1
FBRT-Memory,7,4179901:S02:space_filling:5,fbrt_cutout_static,posterior_mean_failure_probability,mobil_rear_guard_off_v2,compact_regression_mobil_ref_to_rear_guard_off:FBRT-Memory:0,regression,False,False,False,new-d74f64a35f8405bb608307fb,1,[],,6,1
FBRT-Memory,8,4179901:S06:space_filling:14,fbrt_moving_lead,posterior_mean_failure_probability,mobil_rear_guard_off_v2,compact_regression_mobil_ref_to_rear_guard_off:FBRT-Memory:0,regression,False,False,False,new-5b74c53cbf5ca4b31bfa8488,1,[],,7,1
FBRT-Memory,9,4179901:S01:space_filling:13,fbrt_cutin,posterior_mean_failure_probability,mobil_rear_guard_off_v2,compact_regression_mobil_ref_to_rear_guard_off:FBRT-Memory:0,regression,False,False,False,new-ac330f3a5545cb3737152201,1,[],,8,1
FBRT-Memory,10,4179901:S05:space_filling:10,fbrt_lane_change_rear,global_art_maximin,mobil_rear_guard_off_v2,compact_regression_mobil_ref_to_rear_guard_off:FBRT-Memory:0,regression,True,False,True,new-e7a946a18102b2dabddd5c1a,1,[],pat-8b89960488d7e294,9,1
FBRT-Memory,11,4179901:S05:anchor_like:3,fbrt_lane_change_rear,posterior_mean_failure_probability,mobil_rear_guard_off_v2,compact_regression_mobil_ref_to_rear_guard_off:FBRT-Memory:0,regression,True,False,True,new-17dc3f7c06772e582087d6ba,1,"[""pat-8b89960488d7e294""]",pat-e804a8bb3fff856e,10,1
FBRT-Memory,12,4179901:S05:space_filling:14,fbrt_lane_change_rear,posterior_mean_failure_probability,mobil_rear_guard_off_v2,compact_regression_mobil_ref_to_rear_guard_off:FBRT-Memory:0,regression,True,False,True,new-223ad8b409679a9a93be5992,1,"[""pat-8b89960488d7e294""]",pat-6be7ac71fab0f140,11,1
FBRT-Memory,13,4179901:S05:space_filling:6,fbrt_lane_change_rear,posterior_mean_failure_probability,mobil_rear_guard_off_v2,compact_regression_mobil_ref_to_rear_guard_off:FBRT-Memory:0,regression,True,False,True,new-7a934b5507d34555107bfe3f,1,[],pat-dcd581cf793e289f,12,1
FBRT-Memory,14,4179901:S05:space_filling:12,fbrt_lane_change_rear,posterior_mean_failure_probability,mobil_rear_guard_off_v2,compact_regression_mobil_ref_to_rear_guard_off:FBRT-Memory:0,regression,True,False,True,new-b31a80b3641735aaf882b10d,1,"[""pat-dcd581cf793e289f""]",pat-f48082883dcb3372,13,1
FBRT-Memory,15,4179901:S05:space_filling:4,fbrt_lane_change_rear,posterior_mean_failure_probability,mobil_rear_guard_off_v2,compact_regression_mobil_ref_to_rear_guard_off:FBRT-Memory:0,regression,True,False,True,new-f50a868a6984e064b5213a43,1,"[""pat-dcd581cf793e289f""]",pat-3c838254c764c78b,14,1
FBRT-Memory,16,4179901:S05:anchor_like:1,fbrt_lane_change_rear,posterior_mean_failure_probability,mobil_rear_guard_off_v2,compact_regression_mobil_ref_to_rear_guard_off:FBRT-Memory:0,regression,True,False,True,new-29c06bea3b77f61ef62cd56f,1,"[""pat-3c838254c764c78b""]",pat-4263c3706de4e1ec,15,1
FBRT-Memory,17,4179901:S05:space_filling:8,fbrt_lane_change_rear,posterior_mean_failure_probability,mobil_rear_guard_off_v2,compact_regression_mobil_ref_to_rear_guard_off:FBRT-Memory:0,regression,True,False,True,new-d9cd39d37757f224eccfdfed,1,[],pat-c5969aba81e7dd51,16,1
FBRT-Memory,18,4179901:S05:space_filling:15,fbrt_lane_change_rear,posterior_mean_failure_probability,mobil_rear_guard_off_v2,compact_regression_mobil_ref_to_rear_guard_off:FBRT-Memory:0,regression,True,False,True,new-0250bdb83e46ff83abf11e1d,1,"[""pat-c5969aba81e7dd51""]",pat-71c7f25fb188d3e0,17,1
FBRT-Memory,19,4179901:S05:space_filling:5,fbrt_lane_change_rear,posterior_mean_failure_probability,mobil_rear_guard_off_v2,compact_regression_mobil_ref_to_rear_guard_off:FBRT-Memory:0,regression,True,False,True,new-d219a9492abe8aa3876ce6f4,1,[],pat-95683271e54a27fe,18,1
FBRT-Memory,20,4179901:S02:space_filling:12,fbrt_cutout_static,global_art_maximin,mobil_rear_guard_off_v2,compact_regression_mobil_ref_to_rear_guard_off:FBRT-Memory:0,regression,False,False,False,new-6bd6ab7132d216f74ec29614,1,[],,19,1
