method,rank,scenario_id,template_id,selection_reason,selected_build_id,session_id,mode,ego_collision,inconclusive,regression,execution_id,episode_cost,contributing_pattern_ids,new_pattern_id,target_observations_before_query,history_source_count
FailureDistance-v2,1,4179901:S01:space_filling:13,fbrt_cutin,nearest_observed_failure,mobil_rear_guard_off_v2,compact_regression_mobil_ref_to_rear_guard_off:FailureDistance-v2:0,regression,False,False,False,new-ac330f3a5545cb3737152201,1,[],,0,1
FailureDistance-v2,2,4179901:S02:space_filling:7,fbrt_cutout_static,nearest_observed_failure,mobil_rear_guard_off_v2,compact_regression_mobil_ref_to_rear_guard_off:FailureDistance-v2:0,regression,False,False,False,new-aa5ac9f72853e9d7367cc2b4,1,[],,1,1
FailureDistance-v2,3,4179901:S08:anchor_like:1,fbrt_cutin_then_brake,nearest_observed_failure,mobil_rear_guard_off_v2,compact_regression_mobil_ref_to_rear_guard_off:FailureDistance-v2:0,regression,False,False,False,new-221274f749d6ebca1cbe0530,1,[],,2,1
FailureDistance-v2,4,4179901:S06:anchor_like:3,fbrt_moving_lead,nearest_observed_failure,mobil_rear_guard_off_v2,compact_regression_mobil_ref_to_rear_guard_off:FailureDistance-v2:0,regression,False,False,False,new-7cefe95e45976fe3066aa2da,1,[],,3,1
FailureDistance-v2,5,4179901:S08:space_filling:10,fbrt_cutin_then_brake,nearest_observed_failure,mobil_rear_guard_off_v2,compact_regression_mobil_ref_to_rear_guard_off:FailureDistance-v2:0,regression,False,False,False,new-e1d5f15804d15d5d0b28e5d2,1,[],,4,1
FailureDistance-v2,6,4179901:S08:anchor_like:2,fbrt_cutin_then_brake,nearest_observed_failure,mobil_rear_guard_off_v2,compact_regression_mobil_ref_to_rear_guard_off:FailureDistance-v2:0,regression,False,False,False,new-af3637b3a0efd12ac7582db0,1,[],,5,1
FailureDistance-v2,7,4179901:S01:space_filling:12,fbrt_cutin,nearest_observed_failure,mobil_rear_guard_off_v2,compact_regression_mobil_ref_to_rear_guard_off:FailureDistance-v2:0,regression,False,False,False,new-39b095b12cdf959d3021e4ec,1,[],,6,1
FailureDistance-v2,8,4179901:S08:space_filling:4,fbrt_cutin_then_brake,nearest_observed_failure,mobil_rear_guard_off_v2,compact_regression_mobil_ref_to_rear_guard_off:FailureDistance-v2:0,regression,False,False,False,new-c0e6953a545b4ae251c33061,1,[],,7,1
FailureDistance-v2,9,4179901:S01:space_filling:14,fbrt_cutin,nearest_observed_failure,mobil_rear_guard_off_v2,compact_regression_mobil_ref_to_rear_guard_off:FailureDistance-v2:0,regression,False,False,False,new-63076a04f75c8803637a2a4d,1,[],,8,1
FailureDistance-v2,10,4179901:S05:anchor_like:2,fbrt_lane_change_rear,global_art_maximin,mobil_rear_guard_off_v2,compact_regression_mobil_ref_to_rear_guard_off:FailureDistance-v2:0,regression,False,False,False,new-7cb08d1588f68aa3f60dc932,1,[],,9,1
FailureDistance-v2,11,4179901:S02:space_filling:5,fbrt_cutout_static,nearest_observed_failure,mobil_rear_guard_off_v2,compact_regression_mobil_ref_to_rear_guard_off:FailureDistance-v2:0,regression,False,False,False,new-d74f64a35f8405bb608307fb,1,[],,10,1
FailureDistance-v2,12,4179901:S01:space_filling:7,fbrt_cutin,nearest_observed_failure,mobil_rear_guard_off_v2,compact_regression_mobil_ref_to_rear_guard_off:FailureDistance-v2:0,regression,False,False,False,new-93e381a6117e07b17127d793,1,[],,11,1
FailureDistance-v2,13,4179901:S06:space_filling:4,fbrt_moving_lead,nearest_observed_failure,mobil_rear_guard_off_v2,compact_regression_mobil_ref_to_rear_guard_off:FailureDistance-v2:0,regression,False,False,False,new-36db820dca294862d4f9cfce,1,[],,12,1
FailureDistance-v2,14,4179901:S02:space_filling:13,fbrt_cutout_static,nearest_observed_failure,mobil_rear_guard_off_v2,compact_regression_mobil_ref_to_rear_guard_off:FailureDistance-v2:0,regression,False,False,False,new-b62266f0d438f63699b67059,1,[],,13,1
FailureDistance-v2,15,4179901:S01:space_filling:5,fbrt_cutin,nearest_observed_failure,mobil_rear_guard_off_v2,compact_regression_mobil_ref_to_rear_guard_off:FailureDistance-v2:0,regression,False,False,False,new-720943cc28216ed79ef72303,1,[],,14,1
FailureDistance-v2,16,4179901:S06:space_filling:8,fbrt_moving_lead,nearest_observed_failure,mobil_rear_guard_off_v2,compact_regression_mobil_ref_to_rear_guard_off:FailureDistance-v2:0,regression,False,False,False,new-5372730362ea9c6f74ac44a2,1,[],,15,1
FailureDistance-v2,17,4179901:S06:space_filling:7,fbrt_moving_lead,nearest_observed_failure,mobil_rear_guard_off_v2,compact_regression_mobil_ref_to_rear_guard_off:FailureDistance-v2:0,regression,False,False,False,new-744fa20ca27103f7e4f6de05,1,[],,16,1
FailureDistance-v2,18,4179901:S08:space_filling:9,fbrt_cutin_then_brake,nearest_observed_failure,mobil_rear_guard_off_v2,compact_regression_mobil_ref_to_rear_guard_off:FailureDistance-v2:0,regression,False,False,False,new-791851d58f5796c29b54119f,1,[],,17,1
FailureDistance-v2,19,4179901:S01:anchor_like:3,fbrt_cutin,nearest_observed_failure,mobil_rear_guard_off_v2,compact_regression_mobil_ref_to_rear_guard_off:FailureDistance-v2:0,regression,False,False,False,new-d0a4bace3e15e57d9ff5bba5,1,[],,18,1
FailureDistance-v2,20,4179901:S05:space_filling:8,fbrt_lane_change_rear,global_art_maximin,mobil_rear_guard_off_v2,compact_regression_mobil_ref_to_rear_guard_off:FailureDistance-v2:0,regression,True,False,True,new-d9cd39d37757f224eccfdfed,1,[],,19,1
